university,familiarity_num,mean_centered,sd_centered,n,n_participants
Durham University,0.0,1.7038461538461538,9.300267986213331,26,26
Durham University,0.33,8.555263157894734,12.028137090644794,19,19
Durham University,0.6,9.012500000000003,11.517767072368382,4,4
Durham University,1.0,7.450000000000003,,1,1
Heidelberg University,0.0,-4.654054054054055,11.177267222024916,37,37
Heidelberg University,0.33,-2.1599999999999993,12.37820216707131,10,10
Heidelberg University,0.6,17.71666666666667,20.180828360930416,3,3
KTH Royal Institute of Technology,0.0,4.549999999999999,11.809548458032115,47,47
KTH Royal Institute of Technology,0.33,-0.1999999999999993,0.21213203435596728,2,2
KTH Royal Institute of Technology,0.6,-1.0999999999999943,,1,1
Karlsruhe Institute of Technology,0.0,-2.2195652173913047,16.538780951518735,46,46
Karlsruhe Institute of Technology,0.33,5.516666666666668,5.1052260805309455,3,3
Karlsruhe Institute of Technology,1.0,3.9000000000000057,,1,1
Lund University,0.0,-4.95909090909091,10.854284722115626,44,44
Lund University,0.33,-0.6700000000000003,4.938825771375214,5,5
Lund University,0.6,-7.099999999999994,,1,1
Osaka University,0.0,2.57,13.986706924370559,35,35
Osaka University,0.33,11.081818181818182,11.902274419775253,11,11
Osaka University,0.6,4.883333333333334,7.821817776791618,3,3
Osaka University,1.0,22.849999999999994,,1,1
Politecnico di Milano,0.0,-9.20217391304348,14.689848938493167,46,46
Politecnico di Milano,0.33,2.3000000000000007,3.747665940288705,2,2
Politecnico di Milano,0.6,19.525000000000002,12.19759197546794,2,2
Sorbonne University,0.0,-8.754166666666668,10.598526683324568,36,36
Sorbonne University,0.33,5.983333333333335,14.008479574886064,9,9
Sorbonne University,0.6,11.4375,8.540138074605899,4,4
Sorbonne University,1.0,10.900000000000006,,1,1
The University of Western Australia,0.0,-0.49523809523809587,13.381976455081926,42,42
The University of Western Australia,0.33,3.75,5.7452154006616665,7,7
The University of Western Australia,0.6,-4.099999999999994,,1,1
Tokyo Institute of Technology,0.0,7.677631578947368,16.300512748395295,38,38
Tokyo Institute of Technology,0.33,10.838888888888889,12.227064697265288,9,9
Tokyo Institute of Technology,0.6,11.35,9.938687036022412,3,3
Trinity College Dublin,0.0,-6.538709677419355,11.346289479219037,31,31
Trinity College Dublin,0.33,10.208333333333334,11.480434607970153,12,12
Trinity College Dublin,0.6,7.487499999999999,13.549500298288986,4,4
Trinity College Dublin,1.0,4.200000000000003,14.947491428330041,3,3
Universidad de Buenos Aires,0.0,-6.958536585365854,15.329627777766753,41,41
Universidad de Buenos Aires,0.33,-4.1000000000000005,19.075333111988726,7,7
Universidad de Buenos Aires,0.6,6.449999999999999,,1,1
Universidad de Buenos Aires,1.0,2.9000000000000057,,1,1
University of Adelaide,0.0,-4.231250000000001,7.899267147929544,40,40
University of Adelaide,0.33,4.48125,9.24198252927523,8,8
University of Adelaide,0.6,9.375,17.642314190604353,2,2
University of Alberta,0.0,5.458695652173913,19.22063079665555,23,23
University of Alberta,0.33,9.138,9.805857943086878,25,25
University of Alberta,0.6,16.45,,1,1
University of Alberta,1.0,-5.099999999999994,,1,1
University of Glasgow,0.0,-0.6574999999999998,9.674332222296712,20,20
University of Glasgow,0.33,8.046,16.168042810845517,25,25
University of Glasgow,0.6,0.670000000000001,2.894952503928173,5,5
University of Leeds,0.0,0.15833333333333263,14.232920097181525,24,24
University of Leeds,0.33,4.080555555555556,8.287164754800196,18,18
University of Leeds,0.6,8.792857142857143,8.440795211917168,7,7
University of Leeds,1.0,-0.4499999999999993,,1,1
University of Nottingham,0.0,-1.4397058823529416,12.16697454619854,34,34
University of Nottingham,0.33,5.626666666666666,10.037516530259769,15,15
University of Nottingham,0.6,-0.09999999999999432,,1,1
University of Sheffield,0.0,-2.9039473684210533,7.6172491095640975,38,38
University of Sheffield,0.33,5.8950000000000005,6.103161748907964,10,10
University of Sheffield,0.6,9.900000000000006,,1,1
University of Sheffield,1.0,11.849999999999994,,1,1
University of Southampton,0.0,-1.7708333333333335,11.962168789264645,36,36
University of Southampton,0.33,8.195833333333333,26.78874813266106,12,12
University of Southampton,0.6,-11.099999999999994,,1,1
University of Southampton,1.0,8.849999999999994,,1,1
Uppsala University,0.0,-9.539772727272727,12.472745075346797,44,44
Uppsala University,0.33,8.84,12.66315521503231,5,5
Uppsala University,0.6,-2.0999999999999943,,1,1
