university,heard_binary,mean_centered,sd_centered,n,n_participants
Durham University,Heard,8.585416666666665,11.428763096057118,24,24
Durham University,Never heard,1.7038461538461538,9.300267986213331,26,26
Heidelberg University,Heard,2.4269230769230776,16.08632461886772,13,13
Heidelberg University,Never heard,-4.654054054054055,11.177267222024916,37,37
KTH Royal Institute of Technology,Heard,-0.4999999999999976,0.5408326913195962,3,3
KTH Royal Institute of Technology,Never heard,4.549999999999999,11.809548458032115,47,47
Karlsruhe Institute of Technology,Heard,5.1125000000000025,4.246052087920418,4,4
Karlsruhe Institute of Technology,Never heard,-2.2195652173913047,16.538780951518735,46,46
Lund University,Heard,-1.741666666666666,5.138522809783628,6,6
Lund University,Never heard,-4.95909090909091,10.854284722115626,44,44
Osaka University,Heard,10.626666666666667,11.306285651711406,15,15
Osaka University,Never heard,2.57,13.986706924370559,35,35
Politecnico di Milano,Heard,10.912500000000001,12.376414060623537,4,4
Politecnico di Milano,Never heard,-9.20217391304348,14.689848938493167,46,46
Sorbonne University,Heard,7.892857142857145,12.028233727085894,14,14
Sorbonne University,Never heard,-8.754166666666668,10.598526683324568,36,36
The University of Western Australia,Heard,2.7687500000000007,5.999579598367109,8,8
The University of Western Australia,Never heard,-0.49523809523809587,13.381976455081926,42,42
Tokyo Institute of Technology,Heard,10.966666666666667,11.257933229774485,12,12
Tokyo Institute of Technology,Never heard,7.677631578947368,16.300512748395295,38,38
Trinity College Dublin,Heard,8.686842105263159,11.88218603747811,19,19
Trinity College Dublin,Never heard,-6.538709677419355,11.346289479219037,31,31
Universidad de Buenos Aires,Heard,-2.15,16.990033843403612,9,9
Universidad de Buenos Aires,Never heard,-6.958536585365854,15.329627777766753,41,41
University of Adelaide,Heard,5.46,10.260328129905655,10,10
University of Adelaide,Never heard,-4.231250000000001,7.899267147929544,40,40
University of Alberta,Heard,8.881481481481481,9.926897688643601,27,27
University of Alberta,Never heard,5.458695652173913,19.22063079665555,23,23
University of Glasgow,Heard,6.8166666666666655,15.010280002289315,30,30
University of Glasgow,Never heard,-0.6574999999999998,9.674332222296712,20,20
University of Leeds,Heard,5.175000000000001,8.342220927307068,26,26
University of Leeds,Never heard,0.15833333333333263,14.232920097181525,24,24
University of Nottingham,Heard,5.26875,9.80227652129851,16,16
University of Nottingham,Never heard,-1.4397058823529416,12.16697454619854,34,34
University of Sheffield,Heard,6.7250000000000005,5.8657131628720895,12,12
University of Sheffield,Never heard,-2.9039473684210533,7.6172491095640975,38,38
University of Southampton,Heard,6.864285714285714,25.179268246923886,14,14
University of Southampton,Never heard,-1.7708333333333335,11.962168789264645,36,36
Uppsala University,Heard,7.016666666666668,12.175042778843393,6,6
Uppsala University,Never heard,-9.539772727272727,12.472745075346797,44,44
