university,mean_centered,sd_centered,var_centered,n_ratings,n_participants,se_centered,ci95_low,ci95_high
Durham University,5.007,10.839798222762457,117.50122551020412,50,50,1.5329789660018438,2.0023612266363857,8.011638773363615
Heidelberg University,-2.8130000000000006,12.845323178146215,165.00232755102036,50,50,1.8166030251599845,-6.3735419293135696,0.7475419293135688
KTH Royal Institute of Technology,4.247,11.506796616232815,132.40636836734697,50,50,1.6273067834145285,1.057478704507524,7.436521295492476
Karlsruhe Institute of Technology,-1.6330000000000005,16.010728577795476,256.34342959183675,50,50,2.2642589498192858,-6.0709475416458005,2.804947541645799
Lund University,-4.573,10.353690114137656,107.19889897959185,50,50,1.464232898002171,-7.442896480084256,-1.7031035199157452
Osaka University,4.986999999999999,13.644580332460928,186.17457244897957,50,50,1.9296350559055437,1.2049152904251335,8.769084709574866
Politecnico di Milano,-7.593000000000001,15.425317150181176,237.94040918367352,50,50,2.181469271769252,-11.868679772667734,-3.3173202273322673
Sorbonne University,-4.093,13.252439167094902,175.62714387755102,50,50,1.8741779204630014,-7.7663887241074825,-0.41961127589251745
The University of Western Australia,0.0269999999999996,12.507733158950515,156.44338877551024,50,50,1.7688605867931493,-3.4399667501145728,3.493966750114572
Tokyo Institute of Technology,8.466999999999999,15.202012521172241,231.1011846938776,50,50,2.149889228280739,4.25321711256975,12.680782887430247
Trinity College Dublin,-0.7530000000000004,13.653370705897245,186.41453163265302,50,50,1.9308782024387403,-4.537521276779931,3.03152127677993
Universidad de Buenos Aires,-6.093000000000001,15.570661874965037,242.4455112244897,50,50,2.202024119870124,-10.408967274945443,-1.777032725054558
University of Adelaide,-2.2930000000000006,9.183359007087832,84.3340826530612,50,50,1.298723085596473,-4.838497247769087,0.25249724776908655
University of Alberta,7.3069999999999995,14.870289547432822,221.12551122448983,50,50,2.102976515439437,3.1851660297387037,11.428833970261294
University of Glasgow,3.827,13.539485754259504,183.31767448979602,50,50,1.9147724381231104,0.07404602127870374,7.579953978721296
University of Leeds,2.7669999999999995,11.704828979039869,137.0030214285715,50,50,1.6553127887415808,-0.47741306593349897,6.011413065933498
University of Nottingham,0.7069999999999996,11.794213428972839,139.10347040816325,50,50,1.6679536588776274,-2.56218917140015,3.976189171400149
University of Sheffield,-0.5930000000000003,8.294182925892294,68.79347040816326,50,50,1.1729745982600241,-2.8920302125896478,1.706030212589647
University of Southampton,0.6469999999999998,16.904191033285084,285.75167448979585,50,50,2.3906136220217427,-4.038602699162615,5.332602699162615
Uppsala University,-7.553000000000001,13.460427298612199,181.1831030612245,50,50,1.9035918841034414,-11.284040092842746,-3.8219599071572556
