university,mean_familiarity,ever_heard_prop,n
Durham University,0.1934,0.48,50
Heidelberg University,0.102,0.26,50
KTH Royal Institute of Technology,0.0252,0.06,50
Karlsruhe Institute of Technology,0.0398,0.08,50
Lund University,0.045,0.12,50
Osaka University,0.1286,0.3,50
Politecnico di Milano,0.0372,0.08,50
Sorbonne University,0.1274,0.28,50
The University of Western Australia,0.0582,0.16,50
Tokyo Institute of Technology,0.09540000000000001,0.24,50
Trinity College Dublin,0.18719999999999998,0.38,50
Universidad de Buenos Aires,0.0782,0.18,50
University of Adelaide,0.0768,0.2,50
University of Alberta,0.19699999999999998,0.54,50
University of Glasgow,0.225,0.6,50
University of Leeds,0.2228,0.52,50
University of Nottingham,0.11100000000000002,0.32,50
University of Sheffield,0.098,0.24,50
University of Southampton,0.11120000000000001,0.28,50
Uppsala University,0.045,0.12,50
