participantId,familiarity_raw,evaluation_raw,university,familiarity_num,participant_mean_rating,evaluation_centered,heard_binary
BA46C89FF6D74BBD8CBE20E7D403DFC1,I have never heard of this university,0,Durham University,0.0,10.3,-10.3,Never heard
DDF654B04475461CAA83D9BFD3636F52,I have never heard of this university,51,Durham University,0.0,43.85,7.149999999999999,Never heard
8C7EAE2BB6894644BB2220D74032427A,I have never heard of this university,74,Durham University,0.0,71.15,2.8499999999999943,Never heard
0DD374C49EDD48B0A934A11EB3F114A0,"I have heard of it, but I am not familiar with it",70,Durham University,0.33,68.4,1.5999999999999943,Heard
A53D15311E1A4E7BB8D9FDD5135514FC,I have never heard of this university,16,Durham University,0.0,35.8,-19.799999999999997,Never heard
08FA9BA3F2E34DE29AD38FC493DDA89A,I have never heard of this university,50,Durham University,0.0,50.05,-0.04999999999999716,Never heard
68DC5E6A091E45CD956DF8AB911197F6,"I have heard of it, but I am not familiar with it",70,Durham University,0.33,53.45,16.549999999999997,Heard
06F824C0E70043649B07F6BAA528B658,I have never heard of this university,31,Durham University,0.0,21.25,9.75,Never heard
44FFB8F0481344DBACD4C9619DEF7E26,I have never heard of this university,75,Durham University,0.0,59.7,15.299999999999997,Never heard
32CF00ADB1FB42ABA6ECDFD8C63BF3F7,"I have heard of it, but I am not familiar with it",65,Durham University,0.33,42.25,22.75,Heard
BD4E57AB370D4528A3DF938AE8F27B01,I have never heard of this university,86,Durham University,0.0,90.95,-4.950000000000003,Never heard
6AC71943F1C544D1B30EB1036D21CA0D,I have never heard of this university,53,Durham University,0.0,59.85,-6.850000000000001,Never heard
8E6F027C1F914BEEB26C9D5E528BE427,"I have heard of it, but I am not familiar with it",30,Durham University,0.33,41.85,-11.850000000000001,Heard
012B4E05E38645C787ADD8FC4C076D2F,I have never heard of this university,51,Durham University,0.0,43.0,8.0,Never heard
F861EB444C1E4E5E8DFBDC8BE8DA8220,"I have heard of it, but I am not familiar with it",30,Durham University,0.33,28.1,1.8999999999999986,Heard
8E3466454A314C85BB25FB2C97A4B0D7,"I have heard of it, but I am not familiar with it",65,Durham University,0.33,60.0,5.0,Heard
3D7D72CEA1F6413D961CE185176CE502,I am somewhat familiar with it,76,Durham University,0.6,65.05,10.950000000000003,Heard
ED3568FECEB9427CAEEF86F3460C6B8A,"I have heard of it, but I am not familiar with it",88,Durham University,0.33,79.0,9.0,Heard
0A79EE9ED56E4610A3DDC4838DD31548,I have never heard of this university,80,Durham University,0.0,79.0,1.0,Never heard
2649AA17B0054500A9C624077A71F95E,I have never heard of this university,67,Durham University,0.0,63.4,3.6000000000000014,Never heard
086CA0EE50924484BA40BE283B35A167,I have never heard of this university,70,Durham University,0.0,44.55,25.450000000000003,Never heard
09A54B497E63405482AE17D913E2D5C2,I have never heard of this university,15,Durham University,0.0,15.45,-0.4499999999999993,Never heard
4068D798CA4F443EBDA0836A346C7FAA,I have never heard of this university,53,Durham University,0.0,44.0,9.0,Never heard
EE5F963F39674CACA41B0DDC1595BFC0,"I have heard of it, but I am not familiar with it",10,Durham University,0.33,13.55,-3.5500000000000007,Heard
9C9BF153F23143F28476E316F8F2010D,I have never heard of this university,12,Durham University,0.0,19.25,-7.25,Never heard
8BCB509032C148C7B1809382C5D2D30B,I am somewhat familiar with it,72,Durham University,0.6,70.1,1.9000000000000057,Heard
C9A88F513C0D43FEAAB91ABE7D2A2DFB,I have never heard of this university,80,Durham University,0.0,82.25,-2.25,Never heard
