university,mean_centered_trim,sd_centered_trim,var_centered_trim,n_ratings_trim,se_centered_trim,ci95_trim,n_original
Durham University,4.765625,9.009363664744422,81.16863364361703,48,1.3003896342668564,2.5487636831630383,50
Heidelberg University,-3.023958333333334,10.985352867124853,120.67797761524824,48,1.5855991087443904,3.107774253139005,50
KTH Royal Institute of Technology,4.236458333333333,10.591580054023106,112.18156804078012,48,1.5287628988334279,2.9963752817135187,50
Karlsruhe Institute of Technology,-1.6416666666666668,14.085330128282227,198.396524822695,48,2.0330422852971224,3.9847628791823597,50
Lund University,-4.505208333333333,8.800128381457958,77.44225953014184,48,1.2701891224845046,2.4895706800696287,50
Osaka University,4.852083333333334,10.759765274338713,115.77254875886524,48,1.553038344389161,3.043955155002756,50
Politecnico di Milano,-7.96875,12.585159383262798,158.38623670212766,48,1.8165112894302804,3.5603621272833497,50
Sorbonne University,-4.310416666666668,11.446587145062214,131.02435726950353,48,1.652172542376045,3.238258183057048,50
The University of Western Australia,-0.3010416666666668,10.017630679145586,100.35292442375886,48,1.4459204423117396,2.8340040669310094,50
Tokyo Institute of Technology,8.477083333333333,13.48950324122558,181.96669769503546,48,1.9470420818889798,3.8162024805024,50
Trinity College Dublin,-0.8260416666666671,11.850401688062718,140.43202016843972,48,1.7104581511520516,3.352497976258021,50
Universidad de Buenos Aires,-6.151041666666667,13.892277395454983,192.9953712322695,48,2.005177523480722,3.930147946022215,50
University of Adelaide,-2.2520833333333337,7.811379848774732,61.01765514184396,48,1.1274755646081276,2.20985210663193,50
University of Alberta,7.454166666666667,11.699571884026506,136.87998226950353,48,1.6886877441615202,3.3098279785565796,50
University of Glasgow,3.055208333333333,9.401817612768228,88.39417442375886,48,1.3570354824008755,2.6597895455057157,50
University of Leeds,2.598958333333333,8.862564644804197,78.54505208333333,48,1.2792010208470408,2.5072340008602,50
University of Nottingham,0.45624999999999954,8.922083676342627,79.60357712765958,48,1.2877918530671955,2.524072032011703,50
University of Sheffield,-0.3125000000000003,6.454509391840848,41.66069148936171,48,0.9316281837165703,1.8259912400844778,50
University of Southampton,-0.2687500000000003,9.222316971301135,85.05113031914894,48,1.3311267964831912,2.6090085211070546,50
Uppsala University,-7.989583333333333,11.147459200697066,124.26584663120566,48,1.6089971425757055,3.1536343994483826,50
