university,mean_familiarity,sd_familiarity,var_familiarity,n
University of Glasgow,0.225,0.20158808273814408,0.04063775510204082,50
University of Leeds,0.2228,0.24736191777908528,0.061187918367346945,50
University of Alberta,0.19699999999999998,0.20908205595518947,0.04371530612244898,50
Durham University,0.1934,0.23206798792683184,0.05385555102040816,50
Trinity College Dublin,0.18719999999999998,0.2855216493453657,0.08152261224489797,50
Osaka University,0.1286,0.2236525183841931,0.050020448979591826,50
Sorbonne University,0.1274,0.23072919014219564,0.05323595918367347,50
University of Southampton,0.11120000000000001,0.20446685275993032,0.041806693877551024,50
University of Nottingham,0.11100000000000002,0.1676640226458733,0.028111224489795916,50
Heidelberg University,0.102,0.18343658193456597,0.033648979591836735,50
University of Sheffield,0.098,0.20044847676331864,0.040179591836734696,50
Tokyo Institute of Technology,0.09540000000000001,0.18098607455733565,0.03275595918367346,50
Universidad de Buenos Aires,0.0782,0.1925414347137588,0.03707220408163265,50
University of Adelaide,0.0768,0.16264949167721718,0.02645485714285714,50
The University of Western Australia,0.0582,0.13945506188630905,0.019447714285714287,50
Lund University,0.045,0.12803459353962562,0.016392857142857143,50
Uppsala University,0.045,0.12803459353962562,0.016392857142857143,50
Karlsruhe Institute of Technology,0.0398,0.15955921426587327,0.025459142857142854,50
Politecnico di Milano,0.0372,0.13314163089564066,0.017726693877551016,50
KTH Royal Institute of Technology,0.0252,0.10556437246862163,0.01114383673469388,50
