university,mean_familiarity_trim1,var_familiarity_trim1,n_raw,n_used
Durham University,0.185625,0.045905984042553194,50.0,48.0
Heidelberg University,0.09625,0.032245212765957446,50.0,48.0
KTH Royal Institute of Technology,0.01375,0.004440957446808511,50.0,48.0
Karlsruhe Institute of Technology,0.020625,0.006516622340425532,50.0,48.0
Lund University,0.034375,0.010378324468085108,50.0,48.0
Osaka University,0.11687499999999999,0.039341090425531924,50.0,48.0
Politecnico di Milano,0.0275,0.013129787234042555,50.0,48.0
Sorbonne University,0.11687499999999999,0.043975132978723415,50.0,48.0
The University of Western Australia,0.048125,0.013853856382978725,50.0,48.0
Tokyo Institute of Technology,0.089375,0.03123151595744681,50.0,48.0
Trinity College Dublin,0.1791666666666667,0.07464609929078013,50.0,48.0
Universidad de Buenos Aires,0.06187499999999999,0.021577260638297877,50.0,48.0
University of Adelaide,0.06874999999999999,0.022977127659574475,50.0,48.0
University of Alberta,0.185625,0.03200385638297873,50.0,48.0
University of Glasgow,0.22687500000000002,0.04243045212765957,50.0,48.0
University of Leeds,0.21999999999999997,0.05715319148936171,50.0,48.0
University of Nottingham,0.10312500000000001,0.02389428191489362,50.0,48.0
University of Sheffield,0.0825,0.025487234042553195,50.0,48.0
University of Southampton,0.09624999999999999,0.027611170212765962,50.0,48.0
Uppsala University,0.034375,0.010378324468085108,50.0,48.0
