,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,2.1713258688177164,0.4778002762121243,4.544421543728314,1.1682944956494871e-05,1.2268050300468738,3.1158467075885588
C(gender)[T.Male],-0.023529675919966193,0.11270253681895794,-0.2087768082608786,0.8349216618496494,-0.24632128971255515,0.19926193787262278
C(gender)[T.Other],-0.9752690893926815,0.8365260618040549,-1.1658561925607112,0.24562707759031754,-2.6289230048166554,0.6783848260312925
C(gender)[T.Prefer not to say],-0.680095734995627,0.5242128950978812,-1.2973655195350342,0.19660923355698268,-1.7163655490225334,0.3561740790312792
C(race)[T.Asian],-0.6410312045919117,0.2646903608795011,-2.421815446780617,0.016704436950567173,-1.1642740198837784,-0.11778838930004498
C(race)[T.Caucasian],-0.2939680501881339,0.16669012664544272,-1.7635600626389645,0.07995681851567803,-0.6234829250687701,0.03554682469250231
C(race)[T.Latin/x],-0.10733876110088272,0.299206418555656,-0.3587448478513051,0.72031879632044,-0.6988132986633974,0.484135776461632
C(race)[T.Mixed-Race],-0.15607453684376463,0.36056338972545154,-0.4328629619402194,0.6657710660656964,-0.868840209549962,0.5566911358624328
C(race)[T.Native American],0.22484143107485854,0.459547038624658,0.4892675007715612,0.6254072285863629,-0.6835962069639213,1.1332790691136383
C(race)[T.Other],0.12428251559039352,0.40252398574493486,0.3087580367673963,0.7579581142705082,-0.6714313246259699,0.9199963558067569
C(education)[T.Graduate Professional School],-0.013511559321032256,0.13912156486678015,-0.09712052429808878,0.9227676260301572,-0.28852859819931365,0.2615054795572491
C(education)[T.High School],-0.32246264478025355,0.23892501422863613,-1.3496395336474782,0.17927934444835317,-0.7947722395582577,0.14984694999775067
C(education)[T.Other],-0.31250317925729054,0.6518195908851647,-0.47943201405302077,0.6323688752778076,-1.6010273123760332,0.9760209538614522
C(education)[T.Prefer not to say],-1.12503919988718,0.7190291136977136,-1.5646643208944622,0.11988748352103144,-2.5464238565777295,0.29634545680336943
C(education)[T.Some College],0.09058202799069168,0.15106486086817097,0.5996234165252994,0.5497128148799797,-0.20804464972319794,0.3892087057045813
C(political)[T.Extremely Liberal],0.3644829360678979,0.21898159256536673,1.6644455444769795,0.09822851827002621,-0.06840228351575434,0.7973681556515502
C(political)[T.Moderately Conservative],0.3275977924028268,0.24926306490123654,1.3142652824742735,0.19087594488088624,-0.1651481745973754,0.8203437594030291
C(political)[T.Moderately Liberal],0.32871088372733426,0.23529838099874092,1.3969959433298997,0.16459409750506857,-0.1364295426119852,0.7938513100666538
C(political)[T.Prefer not to say],1.0162949304764193,0.4346384585492317,2.3382535771654522,0.020769839405409544,0.15709684736620844,1.8754930135866301
C(political)[T.Slightly Conservative],0.025477513316268383,0.2612912983436548,0.09750616831778272,0.9224619289498048,-0.491045997786735,0.5420010244192718
C(political)[T.Slightly Liberal],0.32250576942472736,0.24398049872635927,1.3218506032584167,0.18834341935264132,-0.1597975626864519,0.8048091015359067
"C(hiringYearsCat, Treatment(reference='Missing'))[T.1–3 years]",0.05937083143417975,0.12412991233086375,0.47829592657673814,0.6331751495737885,-0.18601054389856964,0.3047522067669291
