,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,1.3713703116470406,0.23035182634557003,5.953372861866237,1.3564953473257004e-08,0.9168158010249429,1.8259248222691382
C(experimentFolder)[T.hiring-game-2025-12-17-20-39-38],-0.3491386099734022,0.2936946395794685,-1.1887810089871644,0.23610054734836586,-0.9286878381445036,0.23041061819769926
C(experimentFolder)[T.hiring-game-2025-12-17-21-11-48],-0.34044872015395106,0.2934844823864899,-1.1600228992877857,0.24758438584909226,-0.9195832439941878,0.2386858036862856
C(experimentFolder)[T.hiring-game-2025-12-17-21-48-50],0.07495049645062228,0.29369463957946895,0.255198721222632,0.7988626028657608,-0.50459873172048,0.6544997246217245
C(experimentFolder)[T.hiring-game-2025-12-17-23-09-45],-0.7849863376672765,0.29348448238648983,-2.674711559821169,0.008172336787221884,-1.364120861507513,-0.20585181382704
C(experimentFolder)[T.hiring-game-2025-12-18-17-16-13],-0.4484263421801796,0.2936946395794682,-1.5268455114545731,0.12856447473065535,-1.0279755703512805,0.13112288599092115
C(experimentFolder)[T.hiring-game-2025-12-26-19-21-45],-0.41762179452349407,0.2943242108047842,-1.418917571821807,0.15766193575270324,-0.9984133590144986,0.16316976996751048
C(experimentFolder)[T.hiring-game-2025-12-26-20-15-26],-0.3517407862320983,0.29348448238648955,-1.1984987532284281,0.23230725129045698,-0.9308753100723344,0.2273937376081377
C(experimentFolder)[T.hiring-game-2025-12-27-16-04-01],-0.26365937088491964,0.30095770197720856,-0.8760678632005453,0.38216726352272457,-0.8575408395517821,0.3302220977819428
C(experimentFolder)[T.hiring-game-2025-12-27-16-59-12],-0.3970175391473936,0.29682914287252443,-1.3375288400098095,0.18274706639026747,-0.9827520996990637,0.18871702140427643
C(experimentFolder)[T.hiring-game-2025-12-27-19-04-37],-0.3352758327883302,0.30095770197720845,-1.1140297476544416,0.26676004714235496,-0.9291573014551924,0.258605635878532
C(experimentFolder)[T.hiring-game-2025-12-28-16-09-49],-0.25968257769740855,0.30664431517436086,-0.8468527373473419,0.3982079951701507,-0.8647854710863434,0.3454203156915263
C(experimentFolder)[T.hiring-game-2025-12-28-16-51-33],-0.042844316801120275,0.29869405635678736,-0.1434387992975097,0.8861049893677448,-0.6322589212649232,0.5465702876626826
C(experimentFolder)[T.hiring-game-2025-12-28-17-32-51],-0.40460996519289427,0.29682914287252427,-1.3631072787440464,0.17456086779027294,-0.990344525744564,0.18112459535877545
C(experimentFolder)[T.hiring-game-2025-12-28-18-06-15],-0.5937918665330263,0.30095770197720867,-1.9730077104921335,0.05003420641295532,-1.187673335199889,8.960213383635285e-05
C(experimentFolder)[T.hiring-game-2025-12-28-22-10-47],-0.5257914969743411,0.2986940563567872,-1.760301170326229,0.08006467977001064,-1.1152061014381438,0.06362310748946143
C(experimentFolder)[T.hiring-game-2025-12-29-17-59-52],-0.0715081405440312,0.29369463957946873,-0.24347785389076648,0.807914047563518,-0.6510573687151331,0.5080410876270707
C(experimentFolder)[T.hiring-game-2025-12-29-20-23-52],-0.04273367070232276,0.2934844823864897,-0.1456079393187364,0.884394736276731,-0.621868194542559,0.5364008531379136
C(experimentFolder)[T.hiring-game-2025-12-29-21-50-07-one],-0.6473717302584819,0.2968291428725246,-2.180957449102295,0.03049073440148793,-1.2331062908101522,-0.061637169706811545
C(experimentFolder)[T.hiring-game-2025-12-29-21-50-07-two],0.020530648202123386,0.2953705141785487,0.06950811681125625,0.9446627609994587,-0.5623255924217732,0.6033868888260199
hiringInvolvedFlag,0.07466433931899455,0.11108551482899649,0.6721338910291932,0.5023650881345837,-0.14454131071369666,0.29386998935168573
