,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,1.4275941204947458,0.34734567967076907,4.110009722441022,6.287241420734306e-05,0.7416530616482526,2.113535179341239
C(gender)[T.Male],-0.002832007092664799,0.10802014052409133,-0.026217398708467586,0.9791164062896283,-0.21615105467106974,0.21048704048574016
C(gender)[T.Other],-1.1717540534313717,0.8138661419081272,-1.4397380516213247,0.15188308713377788,-2.7789834960688062,0.43547538920606277
C(gender)[T.Prefer not to say],-0.4781356345602957,0.5055287086034727,-0.9458130199591422,0.3456612807514656,-1.4764578189198214,0.5201865497992302
C(race)[T.Asian],-0.5864425964266445,0.25592128113063894,-2.291496017196342,0.023230803583240745,-1.091838013253171,-0.08104717960011787
C(race)[T.Caucasian],-0.3128517421798388,0.15808056882221339,-1.9790651343853025,0.04951400532708956,-0.6250305286375943,-0.0006729557220832572
C(race)[T.Latin/x],0.04538499762051689,0.2919105479982874,0.15547570285395496,0.8766410652959968,-0.5310823146322113,0.621852309873245
C(race)[T.Mixed-Race],-0.14902587854510874,0.35773339304050744,-0.4165836386658877,0.6775378335115558,-0.8554806778088887,0.5574289207186712
C(race)[T.Native American],-0.10623492808742963,0.44180914429537704,-0.24045434427768414,0.8102839592348368,-0.9787232012488639,0.7662533450740047
C(race)[T.Other],0.22653676260500683,0.39718758687371913,0.5703520706376742,0.569234036496366,-0.5578324978938742,1.010906023103888
C(education)[T.Graduate Professional School],0.03413100637893892,0.13604094882277737,0.2508877413329563,0.8022208066410863,-0.234523760164946,0.3027857729228238
C(education)[T.High School],-0.167721795845359,0.22551322121847123,-0.743733759551395,0.4581215684072205,-0.6130671299030708,0.27762353821235275
C(education)[T.Other],-0.6085459351998425,0.645198878842868,-0.9431912471565965,0.3469962827855758,-1.8826899019235244,0.6655980315238396
C(education)[T.Prefer not to say],-0.576229473264175,0.6930459990524207,-0.8314447728607262,0.40695383783268246,-1.9448623201443764,0.7924033736160264
C(education)[T.Some College],0.0988168468700262,0.1523130689726954,0.6487745768404203,0.5174084260548845,-0.2019722342157633,0.39960592795581573
C(political)[T.Extremely Liberal],0.3141328923931287,0.21337518259718788,1.4722091321470707,0.14291652461616186,-0.10724214477735972,0.7355079295636171
C(political)[T.Moderately Conservative],0.385402913631831,0.23722189550265252,1.6246515222180304,0.10619291796775247,-0.08306480514588832,0.8538706324095503
C(political)[T.Moderately Liberal],0.28468422837645074,0.22495522448664673,1.265515077616477,0.20751511064365338,-0.15955916922008678,0.7289276259729882
C(political)[T.Prefer not to say],1.0574180588887847,0.414700387727063,2.549836195438354,0.011710911691657971,0.23846437755560168,1.8763717402219677
C(political)[T.Slightly Conservative],0.09987712386796134,0.24693827560779696,0.4044618989183861,0.686409900223427,-0.38777858096386714,0.5875328286997898
C(political)[T.Slightly Liberal],0.2686316447706677,0.2371007684429954,1.1329851292120676,0.25890490429471497,-0.19959687130951148,0.7368601608508469
"C(hiringYearsCat, Treatment(reference='Missing'))[T.1–3 years]",0.10151852498603484,0.14834147772983725,0.6843569751335672,0.49473369874714945,-0.1914274255762549,0.39446447554832453
"C(hiringYearsCat, Treatment(reference='Missing'))[T.4–6 years]",-0.057486105099113775,0.1729639277138673,-0.3323589251176843,0.7400505734630511,-0.399056669128452,0.28408445893022444
"C(hiringYearsCat, Treatment(reference='Missing'))[T.7+ years]",0.30276121950922336,0.16213467574700252,1.867344034299342,0.0636714564767558,-0.01742365010840513,0.6229460891268519
"C(hiringYearsCat, Treatment(reference='Missing'))[T.Less than 1 year]",-0.15841595943584538,0.30635527148915487,-0.5170988527985992,0.6057968122364064,-0.7634088285213574,0.44657690964966656
C(employmentStatusCat)[T.Employed part-time],0.1367021774844295,0.20386283844690845,0.6705595709638398,0.5034619095369984,-0.26588780548662405,0.5392921604554831
C(employmentStatusCat)[T.Other],0.12037313103711274,0.3920344380382474,0.3070473391048594,0.7592041199727081,-0.6538196494435126,0.8945659115177381
C(employmentStatusCat)[T.Self-employed],-0.24483125293084154,0.25937377339753975,-0.9439321860641283,0.34661866268476327,-0.7570446794227308,0.26738217356104776
C(employmentStatusCat)[T.Student],-0.1291131734326102,0.23196744885353418,-0.5566003940239612,0.5785733223117016,-0.5872043684500083,0.32897802158478795
C(employmentStatusCat)[T.Unemployed],-0.23033016406223733,0.21695121879939244,-1.0616679884855404,0.2899763862245017,-0.6587671864612124,0.19810685833673763
C(employmentStatusCat)[T.nan],7.543249151667419e-16,8.047040313075718e-16,0.9373942292062731,0.34995985470296986,-8.348111173192532e-16,2.343460947652737e-15
age,-0.008719167187731611,0.0051534064404379154,-1.6919230587585272,0.0925951712401905,-0.01889615592635908,0.0014578215508958582
hasFamiliarUniversity,-0.05657427916145791,0.11087700657427281,-0.5102435654552117,0.6105796537173129,-0.27553508893279277,0.16238653060987693
