roundID,01KCN210JZ6W1K91WR21416PWE,01KCN23KYW0XS746YWWSHMC7CT,01KCN235WTY6Q7S3TGN7ZWCVPB,01KCN2769XMEXX7MZZ8110ZW15,01KCN278PT6W4WD6EE4HV9K8A9,01KCN236K1CT7SC1EANF05QVKA,01KCN26J8F6HCD0C0FACQQESYD,01KCN21SP6RE5QGR35D21ZK1K9,01KCN27WMVZR4D3WST6BYK4CWY,01KCN24FY7H297W6MWCQEBZ65E
01KCN29XBKQ0DVBGC5DKNVPT9W,,,,,,,,,,
01KCN29XC49P39X18QVK1T5B3V,Trinity College Dublin,University of Adelaide,University of Glasgow,University of Sheffield,University of Nottingham,,University of Southampton,The University of Western Australia,Karlsruhe Institute of Technology,University of Leeds
01KCN29XC5Y7GEPX4CG9Y51EBS,The University of Western Australia,Trinity College Dublin,Heidelberg University,University of Leeds,University of Glasgow,,Heidelberg University,Karlsruhe Institute of Technology,Heidelberg University,University of Glasgow
01KCN29XC637JFQS233VNABGDQ,University of Glasgow,Trinity College Dublin,Karlsruhe Institute of Technology,University of Sheffield,University of Nottingham,,University of Nottingham,The University of Western Australia,Heidelberg University,Karlsruhe Institute of Technology
01KCN29XCZCPC135FW2Y3FG8WX,University of Leeds,Trinity College Dublin,University of Adelaide,University of Leeds,University of Nottingham,,University of Sheffield,University of Nottingham,University of Sheffield,Heidelberg University
01KCN29XC5Y7GEPX4CFMQSEKTV,University of Southampton,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Leeds,,University of Nottingham,The University of Western Australia,University of Southampton,Trinity College Dublin
01KCN29XCFEATS271QQYTAA9T0,University of Sheffield,University of Glasgow,Trinity College Dublin,University of Leeds,University of Glasgow,,University of Nottingham,The University of Western Australia,University of Adelaide,The University of Western Australia
01KCN29XCHXYSYZ5MSSJ9JK57M,University of Nottingham,University of Glasgow,Trinity College Dublin,University of Leeds,University of Nottingham,,University of Nottingham,The University of Western Australia,The University of Western Australia,University of Sheffield
01KCN29XCG9PBQE1XDAP7R3AR0,Heidelberg University,University of Glasgow,Trinity College Dublin,University of Leeds,Heidelberg University,,The University of Western Australia,The University of Western Australia,University of Nottingham,University of Adelaide
01KCN29XC637JFQS232HXXKC25,Karlsruhe Institute of Technology,University of Glasgow,University of Adelaide,University of Leeds,University of Nottingham,,University of Adelaide,The University of Western Australia,Trinity College Dublin,University of Southampton
01KCN29XC87MMQC1ZW0RQHSX6T,University of Adelaide,University of Glasgow,Trinity College Dublin,University of Leeds,Heidelberg University,University of Adelaide,University of Adelaide,The University of Western Australia,University of Glasgow,University of Nottingham
01KCN29XC637JFQS2338VJ8HRZ,University of Glasgow,University of Glasgow,University of Adelaide,University of Leeds,University of Leeds,Heidelberg University,University of Adelaide,The University of Western Australia,University of Leeds,The University of Western Australia
