Round,Overall Entropy
1,3.169925001442312
2,3.1813663288914587
3,3.0213904803399845
4,2.905283046088473
5,2.9239280818133557
6,3.024416205359557
7,3.11474895333798
8,3.104530182366079
9,3.145949828647231
10,3.195225550277407
11,3.1646548870699074
12,3.151220299497219
13,3.141601281339874
14,3.1191219536197328
15,3.0705526767308067
16,3.0303428546550064
17,2.980595611657191
18,2.9580416511569068
19,2.936315277287975
20,2.924073565024969
21,2.9000363354495917
22,2.8802988468214763
23,2.846056112998575
24,2.831948498493494
25,2.8012187815747267
26,2.772299582450542
27,2.7582694135356918
28,2.758686795770185
29,2.7374660207298174
30,2.72305004901875
31,2.7005250394870504
32,2.669108217497589
33,2.638756866409972
34,2.616944420327501
35,2.5952063153925056
36,2.5727046159973797
37,2.545635486288474
38,2.520180432866615
39,2.501616710185197
40,2.477083999624675
41,2.4540637893404935
42,2.4317635611979886
43,2.410154631331252
44,2.3961171507637364
45,2.3824288679018957
46,2.3707469472122353
47,2.35976331578426
48,2.348890118827308
49,2.335130923835467
50,2.321726644828857
51,2.316659124967818
