id,batchID,batchIDLastChangedAt,chatEnabled,chatEnabledLastChangedAt,ended,endedLastChangedAt,flag,flagLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,isTutorial,isTutorialLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01KCN4Q41Y2RBFPRG0DZ7SRMSV,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.854651854Z,false,2025-12-17T03:12:33.854651854Z,true,2025-12-17T03:13:36.551362717Z,false,2025-12-17T03:12:33.854651854Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.854651854Z,0,2025-12-17T03:12:33.854651854Z,,,Non-Communication Introduction,2025-12-17T03:12:33.854651854Z,1,2025-12-17T03:12:33.981815481Z,true,2025-12-17T03:12:35.364382611Z
01KCN4Q42T4GGM6CGG0XDJHHZJ,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.882274809Z,false,2025-12-17T03:12:33.882274809Z,true,2025-12-17T03:15:55.704304023Z,true,2025-12-17T03:12:33.882274809Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.882274809Z,7,2025-12-17T03:12:33.882274809Z,false,2025-12-17T03:12:33.882274809Z,Non-Communication Round 6,2025-12-17T03:12:33.882274809Z,1,2025-12-17T03:12:34.062436383Z,true,2025-12-17T03:15:46.935948672Z
01KCN4Q430SHD6NWTMQBN1A80C,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.888712428Z,false,2025-12-17T03:12:33.888712428Z,true,2025-12-17T03:17:17.824982339Z,true,2025-12-17T03:12:33.888712428Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.888712428Z,13,2025-12-17T03:12:33.888712428Z,false,2025-12-17T03:12:33.888712428Z,Non-Communication Round 12,2025-12-17T03:12:33.888712428Z,1,2025-12-17T03:12:34.119067233Z,true,2025-12-17T03:17:07.662690244Z
01KCN4Q42E902HW96VRRBK56Z7,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.870576152Z,false,2025-12-17T03:12:33.870576152Z,true,2025-12-17T03:14:57.822753808Z,true,2025-12-17T03:12:33.870576152Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.870576152Z,2,2025-12-17T03:12:33.870576152Z,false,2025-12-17T03:12:33.870576152Z,Non-Communication Round 1,2025-12-17T03:12:33.870576152Z,1,2025-12-17T03:12:33.999777201Z,true,2025-12-17T03:14:36.765268475Z
01KCN4Q42Y57KP36ZCVXKKQVCD,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.886243268Z,false,2025-12-17T03:12:33.886243268Z,true,2025-12-17T03:17:07.630975266Z,true,2025-12-17T03:12:33.886243268Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.886243268Z,12,2025-12-17T03:12:33.886243268Z,false,2025-12-17T03:12:33.886243268Z,Non-Communication Round 11,2025-12-17T03:12:33.886243268Z,1,2025-12-17T03:12:34.109965961Z,true,2025-12-17T03:16:57.850274702Z
01KCN4Q436PDEFW4W6DMSR5QXC,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.894263622Z,false,2025-12-17T03:12:33.894263622Z,true,2025-12-17T03:19:30.207576066Z,true,2025-12-17T03:12:33.894263622Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.894263622Z,21,2025-12-17T03:12:33.894263622Z,false,2025-12-17T03:12:33.894263622Z,Non-Communication Round 20,2025-12-17T03:12:33.894263622Z,1,2025-12-17T03:12:34.194754324Z,true,2025-12-17T03:19:10.377154136Z
01KCN4Q43D5VS51S401ANGY41Q,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.901846765Z,false,2025-12-17T03:12:33.901846765Z,true,2025-12-17T03:21:28.952514284Z,true,2025-12-17T03:12:33.901846765Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.901846765Z,28,2025-12-17T03:12:33.901846765Z,false,2025-12-17T03:12:33.901846765Z,Non-Communication Round 27,2025-12-17T03:12:33.901846765Z,1,2025-12-17T03:12:34.274547143Z,true,2025-12-17T03:21:13.998987221Z
01KCN4Q43QCB0YET2X31S4N4Q6,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.911516889Z,false,2025-12-17T03:12:33.911516889Z,true,2025-12-17T03:24:25.911166458Z,true,2025-12-17T03:12:33.911516889Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.911516889Z,41,2025-12-17T03:12:33.911516889Z,false,2025-12-17T03:12:33.911516889Z,Non-Communication Round 40,2025-12-17T03:12:33.911516889Z,1,2025-12-17T03:12:34.433134608Z,true,2025-12-17T03:24:12.373543877Z
01KCN4Q44659F1J0PJEZ62S691,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.926232847Z,false,2025-12-17T03:12:33.926232847Z,true,2025-12-17T03:26:09.920063302Z,true,2025-12-17T03:12:33.926232847Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.926232847Z,50,2025-12-17T03:12:33.926232847Z,false,2025-12-17T03:12:33.926232847Z,Non-Communication Round 49,2025-12-17T03:12:33.926232847Z,1,2025-12-17T03:12:34.52983077Z,true,2025-12-17T03:26:02.737269024Z
01KCN4Q43QCB0YET2X3S48V2ZJ,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.911822704Z,false,2025-12-17T03:12:33.911822704Z,true,2025-12-17T03:24:35.276459972Z,true,2025-12-17T03:12:33.911822704Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.911822704Z,42,2025-12-17T03:12:33.911822704Z,false,2025-12-17T03:12:33.911822704Z,Non-Communication Round 41,2025-12-17T03:12:33.911822704Z,1,2025-12-17T03:12:34.442485716Z,true,2025-12-17T03:24:25.95163706Z
