roundID,01KCQ4NTG3053KQV8QN5K10PNY,01KCQ4P948E9T06J87G9ZHY070,01KCQ4V815KKYTHANAV8RBCG6W,01KCQ4V1S87PZK0B8X8Z6A0HD7,01KCQ4W4B7NB48NTQQKV36MSSZ,01KCQ51RMS1Y4DPX2N39JHSEZE,01KCQ4WQ5DF51EKSTNJ24WTHJF,01KCQ4TC0T00YG0WHFAPSMQ1EV,01KCQ4SK2EJAGZHFFX156NSYT1,01KCQ4QGATEDXKA69P6KXZE63B
01KCQ531JJB5DR0PMA8FDBVBVZ,,,,,,,,,,
01KCQ531K6K6X4TBNTFPXHV9X6,Trinity College Dublin,The University of Western Australia,,University of Leeds,University of Sheffield,Karlsruhe Institute of Technology,University of Nottingham,,,University of Glasgow
01KCQ531KWEVB4Z997QMB3B106,Trinity College Dublin,University of Nottingham,,,University of Adelaide,University of Sheffield,University of Nottingham,,,University of Glasgow
01KCQ531M2B54YK7FGR0Z4C33F,The University of Western Australia,University of Southampton,Karlsruhe Institute of Technology,University of Leeds,University of Adelaide,University of Sheffield,University of Nottingham,,,University of Glasgow
01KCQ531K6K6X4TBNTGAH8AA8R,University of Glasgow,University of Adelaide,Trinity College Dublin,University of Leeds,University of Adelaide,University of Sheffield,The University of Western Australia,,University of Southampton,University of Glasgow
01KCQ531K7V28H9NRGRFSKRRYG,Heidelberg University,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Sheffield,University of Sheffield,University of Adelaide,Trinity College Dublin,University of Sheffield,University of Glasgow
01KCQ531K6K6X4TBNTGTD1G1RN,University of Adelaide,University of Adelaide,Trinity College Dublin,The University of Western Australia,University of Sheffield,University of Sheffield,University of Adelaide,University of Sheffield,Karlsruhe Institute of Technology,University of Leeds
01KCQ531M1MAHXEZGYF3ZGP52P,University of Leeds,University of Southampton,Trinity College Dublin,The University of Western Australia,University of Adelaide,University of Sheffield,Karlsruhe Institute of Technology,University of Sheffield,Trinity College Dublin,University of Leeds
01KCQ531MJDBRX1D52NNJ1PYAS,University of Southampton,University of Nottingham,University of Nottingham,University of Sheffield,University of Adelaide,University of Sheffield,Trinity College Dublin,University of Southampton,University of Southampton,University of Leeds
01KCQ531KWEVB4Z997PWNQFW27,University of Sheffield,University of Adelaide,University of Nottingham,University of Sheffield,University of Adelaide,University of Sheffield,Karlsruhe Institute of Technology,University of Nottingham,Heidelberg University,University of Leeds
01KCQ531K7V28H9NRGQSMQ0QZX,University of Nottingham,University of Adelaide,Trinity College Dublin,University of Sheffield,University of Adelaide,University of Sheffield,University of Southampton,University of Nottingham,University of Southampton,University of Leeds
01KCQ531KF326AKN3M4GA0KPCJ,Karlsruhe Institute of Technology,University of Adelaide,Trinity College Dublin,Heidelberg University,University of Adelaide,University of Sheffield,University of Nottingham,University of Nottingham,Trinity College Dublin,University of Leeds
01KCQ531M2B54YK7FGRPCEDXVW,University of Adelaide,University of Nottingham,Trinity College Dublin,University of Leeds,University of Adelaide,University of Nottingham,University of Glasgow,University of Nottingham,University of Sheffield,University of Leeds
01KCQ531KZ4S0QDGR82APX8KTD,University of Leeds,University of Nottingham,Trinity College Dublin,University of Leeds,University of Adelaide,University of Sheffield,Heidelberg University,University of Nottingham,University of Nottingham,University of Leeds
01KCQ531KXJ5VM6C4TVZKCG30T,University of Leeds,University of Nottingham,Trinity College Dublin,University of Leeds,University of Adelaide,Trinity College Dublin,University of Glasgow,University of Nottingham,University of Glasgow,University of Leeds
01KCQ531KBRYC7NRR633XCB2BH,University of Leeds,University of Nottingham,Trinity College Dublin,University of Leeds,University of Nottingham,Trinity College Dublin,University of Sheffield,University of Leeds,University of Sheffield,University of Leeds
01KCQ531KSGM2VJFYKZY0C1Z9H,University of Leeds,University of Nottingham,Trinity College Dublin,University of Leeds,Karlsruhe Institute of Technology,Trinity College Dublin,University of Leeds,University of Leeds,University of Glasgow,University of Leeds
01KCQ531MRM27CN3NRGFN317M9,University of Leeds,University of Nottingham,University of Leeds,University of Leeds,Trinity College Dublin,Trinity College Dublin,University of Glasgow,University of Leeds,Karlsruhe Institute of Technology,University of Leeds
