Round,Average Entropy
1,0.0
2,0.6
3,0.7761404171714761
4,0.8933834373377397
5,1.090251916377884
6,1.2367316175614713
7,1.2826564810000751
8,1.274799844612456
9,1.2956854573451648
10,1.2796654161182681
11,1.3151785248396126
12,1.3224281507225224
13,1.3524293942423622
14,1.3862270455319246
15,1.4051124856497266
16,1.3815495478690125
17,1.3556200181498
18,1.3323372945688159
19,1.3174746281772771
20,1.3034606051761304
21,1.2860396943378138
22,1.2673023195608468
23,1.2459390298984954
24,1.2530919716477324
25,1.2400534778367767
26,1.247630290913179
27,1.247302698203806
28,1.2493863537533396
29,1.2539153414314943
30,1.242839402618086
31,1.2338881948376343
32,1.2213117193862935
33,1.210560273834687
34,1.1993439904932939
35,1.1886566041704332
36,1.1938750686892892
37,1.1928906837251751
38,1.1952189264182935
39,1.1962665359525304
40,1.1899142212219116
41,1.1824766046173765
42,1.174319111536605
43,1.1661742764813283
44,1.1583568621897373
45,1.1494720735473738
46,1.1406281535006397
47,1.1341801002315108
48,1.1276290921862708
49,1.1344792602890663
50,1.1369309278167847
51,1.1382313549344225
