roundID,01KCSDGKKDXB6P1QF9ZKRHNNJA,01KCSDQP8HDHG36KC3G5TQSCYS,01KCSDNYV6G6YJHZ1ARXM4XHD7,01KCSDQMMY8SBZW5QSDCK4TT17,01KCSDRC333KG39C0DTV8N8Q1Y,01KCSDQ2J7XJ7CT1QQ0A9Y035R,01KCSDJ3MY1GW4ZMYH7QY87JXC,01KCSDHE0ACTBYXB4BZV7YEFD2,01KCSDHHGWX11M70CFPMZRKXHH,01KCSDK2H0EX2WDF314Z36C150
01KCSDTNAGVFSPE0MC0GGX0RXV,,,,,,,,,,
01KCSDTNBHZSHPJYYP86G3T4FC,Trinity College Dublin,University of Nottingham,University of Leeds,University of Sheffield,Karlsruhe Institute of Technology,University of Southampton,Heidelberg University,The University of Western Australia,University of Glasgow,University of Adelaide
01KCSDTNCHJY814DKMVWGCEYNM,University of Glasgow,University of Nottingham,University of Leeds,University of Sheffield,University of Southampton,University of Sheffield,University of Adelaide,University of Glasgow,University of Glasgow,University of Glasgow
01KCSDTNE5J81H0KNBHT5X85VX,University of Glasgow,University of Nottingham,University of Leeds,University of Sheffield,University of Southampton,University of Nottingham,University of Adelaide,The University of Western Australia,Heidelberg University,University of Sheffield
01KCSDTNDYBG5F8F7VYEQT3A5Z,University of Glasgow,University of Nottingham,University of Leeds,University of Sheffield,University of Southampton,Karlsruhe Institute of Technology,University of Adelaide,University of Glasgow,University of Adelaide,University of Southampton
01KCSDTNC50S3WQFEX4W3437XW,University of Glasgow,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,Trinity College Dublin,University of Adelaide,Trinity College Dublin,University of Leeds,Trinity College Dublin
01KCSDTNC3FXA9209YSG7FH6FJ,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,The University of Western Australia,University of Adelaide,Heidelberg University,University of Leeds,University of Nottingham
01KCSDTNEMZPV8WTM3Q8PPXFW3,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Glasgow,University of Adelaide,University of Leeds,University of Leeds,University of Nottingham
01KCSDTNC2SFJRXHG7YBJ77ERY,University of Glasgow,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,Heidelberg University,University of Adelaide,Trinity College Dublin,University of Leeds,University of Southampton
01KCSDTNBNRPBFSV1MMRSTMEB9,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Adelaide,University of Adelaide,Trinity College Dublin,University of Leeds,The University of Western Australia
01KCSDTNC0G6FKBT47JXDGSGS8,University of Glasgow,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Leeds,University of Adelaide,Trinity College Dublin,University of Leeds,Trinity College Dublin
01KCSDTNEJ31VAHX3KCEWNDJSM,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Sheffield,University of Leeds,Trinity College Dublin,University of Leeds,Heidelberg University
01KCSDTNEKP6XK02ZMCBRB5947,University of Glasgow,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Karlsruhe Institute of Technology
01KCSDTNEHQYSWWFY3S1VX8HCQ,University of Nottingham,Karlsruhe Institute of Technology,University of Leeds,University of Sheffield,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Glasgow
01KCSDTNEGB69G898QY1GY0G3A,University of Glasgow,University of Glasgow,University of Leeds,University of Sheffield,Trinity College Dublin,The University of Western Australia,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds
01KCSDTNEEBPAF42XAH6S87JWZ,University of Nottingham,Heidelberg University,University of Leeds,University of Sheffield,Trinity College Dublin,University of Adelaide,University of Leeds,Trinity College Dublin,University of Leeds,Karlsruhe Institute of Technology
01KCSDTNECPD4G927VZXWAZ4RX,University of Glasgow,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin
01KCSDTNE6Y4KTNS6VY3N8PCGB,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Sheffield,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin
01KCSDTNE5J81H0KNBH4BVSV6E,University of Glasgow,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,University of Glasgow
01KCSDTNDXPTWEE8WACHWAYW89,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Sheffield
01KCSDTNCF1CFEGH0A97PK9G0E,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,The University of Western Australia,University of Leeds,Trinity College Dublin,University of Leeds,University of Adelaide
01KCSDTNCF1CFEGH0A8JK38TS8,University of Glasgow,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Adelaide,University of Leeds,Trinity College Dublin,University of Leeds,Karlsruhe Institute of Technology
01KCSDTNC49928NPRGNQ70JTKA,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin
01KCSDTNC8XB5T4520M3M7DDGJ,University of Glasgow,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin
01KCSDTNC67QJNYMENZV2EC6GD,University of Glasgow,The University of Western Australia,University of Leeds,University of Sheffield,Trinity College Dublin,University of Sheffield,University of Leeds,Trinity College Dublin,University of Leeds,University of Glasgow
01KCSDTNDWJ0RQ4Z2JVZ905M02,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Nottingham
01KCSDTNCE8PRXZKHXR1G4TJ1R,University of Glasgow,University of Adelaide,University of Leeds,University of Sheffield,Trinity College Dublin,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,University of Nottingham
01KCSDTNEBE0X9Z1606DKTR3XA,University of Nottingham,University of Adelaide,University of Leeds,University of Sheffield,Trinity College Dublin,University of Adelaide,University of Leeds,Trinity College Dublin,University of Leeds,University of Nottingham
01KCSDTNDYBG5F8F7VXW4SGWV4,University of Glasgow,Karlsruhe Institute of Technology,University of Leeds,University of Sheffield,Trinity College Dublin,The University of Western Australia,University of Leeds,Trinity College Dublin,University of Leeds,University of Sheffield
01KCSDTNCF1CFEGH0AA16YH6C2,University of Nottingham,Heidelberg University,University of Leeds,University of Sheffield,Trinity College Dublin,University of Sheffield,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds
01KCSDTNEMZPV8WTM3QZ6RQ0GB,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds
01KCSDTNEJ31VAHX3KC4H705RZ,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,The University of Western Australia
01KCSDTNBZSP1AXASEFTFE745Y,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Glasgow
01KCSDTNEF7B5TR3RV0Q23HMDQ,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,University of Sheffield
01KCSDTNEDFK23NMAMHTW3JMQS,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Adelaide,University of Leeds,Trinity College Dublin,University of Leeds,University of Sheffield
01KCSDTNECPD4G927VZ5ZQ7D99,University of Glasgow,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,The University of Western Australia,University of Leeds,Trinity College Dublin,University of Leeds,University of Sheffield
01KCSDTNEF7B5TR3RV0BPFA23K,University of Nottingham,Trinity College Dublin,University of Leeds,University of Sheffield,Trinity College Dublin,University of Sheffield,University of Leeds,Trinity College Dublin,University of Leeds,University of Sheffield
01KCSDTNEDFK23NMAMGXKMPCR9,University of Nottingham,Trinity College Dublin,University of Leeds,University of Sheffield,Trinity College Dublin,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin
01KCSDTNBY94QE3M2FVSTHZCAG,University of Glasgow,Trinity College Dublin,University of Leeds,University of Sheffield,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,The University of Western Australia
01KCSDTNEGB69G898QX84KH6EC,University of Glasgow,Trinity College Dublin,University of Leeds,University of Sheffield,Trinity College Dublin,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,University of Adelaide
01KCSDTNEHQYSWWFY3SM408C7D,University of Glasgow,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Adelaide,University of Leeds,Trinity College Dublin,University of Leeds,University of Southampton
01KCSDTNEKP6XK02ZMBVF9Q0NX,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,The University of Western Australia,University of Leeds,Trinity College Dublin,University of Leeds,University of Southampton
01KCSDTNG9SPP61VGXRANN539B,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,The University of Western Australia
01KCSDTNC19AJ9AJNQMYPGA24T,University of Nottingham,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,University of Sheffield,University of Leeds,Trinity College Dublin,University of Leeds,The University of Western Australia
01KCSDTNH15HQEEW3B5RR00C54,University of Glasgow,University of Nottingham,University of Leeds,University of Sheffield,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,The University of Western Australia
