id,batchID,batchIDLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,score,scoreLastChangedAt
01KCSGPCTT1G60ZFVGHTJ0CSBB,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:58:50.714667749Z,University of Leeds,2025-12-18T19:58:51.956674791Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:58:50.714667749Z,01KCSFSH23242ASVGMAF78JQXB,2025-12-18T19:58:50.714667749Z,01KCSG2GTDHF4WPPNDKYVSV875,2025-12-18T19:58:50.714667749Z,1,2025-12-18T19:58:51.960863169Z
01KCSGQN5PTB3AX539FTRRVX7S,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:59:32.022689117Z,Trinity College Dublin,2025-12-18T19:59:36.581067397Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:59:32.022689117Z,01KCSFR7QDNAS9EBKZKAH8HT9K,2025-12-18T19:59:32.022689117Z,01KCSG2GT40GRJ225JT7HTVTK0,2025-12-18T19:59:32.022689117Z,0,2025-12-18T19:59:36.575856493Z
01KCSG7CFJ0D1KW69FADM1Q8CD,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:50:38.834917723Z,University of Glasgow,2025-12-18T19:50:41.614227291Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:50:38.834917723Z,01KCSFPV932HCDRDQC3HVXA9SG,2025-12-18T19:50:38.834917723Z,01KCSG2GTQ9EZ0064KZ8TFYH6B,2025-12-18T19:50:38.834917723Z,0,2025-12-18T19:50:41.612454233Z
01KCSG8CB65FDTK3VT6BMQ2KQH,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:51:11.462699695Z,University of Sheffield,2025-12-18T19:51:23.498661533Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:51:11.462699695Z,01KCSFSX1C0NDKHYDK91AH388B,2025-12-18T19:51:11.462699695Z,01KCSG2GTRMJH9G4T26ZWE7XXG,2025-12-18T19:51:11.462699695Z,1,2025-12-18T19:51:23.496702757Z
01KCSG622QEDCFBDKAR53E81D1,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:49:55.415429394Z,University of Leeds,2025-12-18T19:50:01.932911856Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:49:55.415429394Z,01KCSFSH23242ASVGMAF78JQXB,2025-12-18T19:49:55.415429394Z,01KCSG2GT5YFQ1YH301QPDEDKA,2025-12-18T19:49:55.415429394Z,1,2025-12-18T19:50:01.931271035Z
01KCSGFRD0RMPJGXBK2EZWVW4A,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:55:13.184525153Z,University of Leeds,2025-12-18T19:55:19.872532257Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:55:13.184525153Z,01KCSFQBSFQ1E59QCTW44CQJTQ,2025-12-18T19:55:13.184525153Z,01KCSG2GTMCSVR65DDR8R3XFTS,2025-12-18T19:55:13.184525153Z,1,2025-12-18T19:55:19.875322366Z
01KCSGKCYQH1BPKG84B1K4SSFJ,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:57:12.535808057Z,University of Sheffield,2025-12-18T19:57:15.982987162Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:57:12.535808057Z,01KCSFR7QDNAS9EBKZKAH8HT9K,2025-12-18T19:57:12.535808057Z,01KCSG2GSXWAG3JRXJ26DQDS5E,2025-12-18T19:57:12.535808057Z,1,2025-12-18T19:57:15.981622104Z
01KCSGCR0G9GH5M266Q1JX2QC7,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:53:34.480138965Z,The University of Western Australia,2025-12-18T19:53:41.144449993Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:53:34.480138965Z,01KCSFSX1C0NDKHYDK91AH388B,2025-12-18T19:53:34.480138965Z,01KCSG2GTQ9EZ0064KYHEC63NM,2025-12-18T19:53:34.480138965Z,1,2025-12-18T19:53:41.146444756Z
01KCSGQWGBWYGMEGJZPSZVFMC9,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:59:39.53173878Z,University of Glasgow,2025-12-18T19:59:42.314556523Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:59:39.53173878Z,01KCSFPV932HCDRDQC3HVXA9SG,2025-12-18T19:59:39.53173878Z,01KCSG2GTB3GW85ZK6NGA36Z7C,2025-12-18T19:59:39.53173878Z,1,2025-12-18T19:59:42.312575547Z
01KCSGNM9S4PGB45X74X7VKAHV,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:58:25.593976137Z,Trinity College Dublin,2025-12-18T19:58:37.309021197Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:58:25.593976137Z,01KCSFSX1C0NDKHYDK91AH388B,2025-12-18T19:58:25.593976137Z,01KCSG2GT5YFQ1YH30319NMRK9,2025-12-18T19:58:25.593976137Z,1,2025-12-18T19:58:37.310907727Z
01KCSGFRD4P30AYDY9Y4385FZW,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:55:13.188439027Z,University of Leeds,2025-12-18T19:55:17.656321302Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:55:13.188439027Z,01KCSFZ8B7YV42TPJY3NGD4BZB,2025-12-18T19:55:13.188439027Z,01KCSG2GTMCSVR65DDR8R3XFTS,2025-12-18T19:55:13.188439027Z,1,2025-12-18T19:55:17.658236685Z
01KCSGKCYX11Z45E69Q7W1THV4,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:57:12.541177104Z,University of Leeds,2025-12-18T19:57:13.739540866Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:57:12.541177104Z,01KCSFZ8B7YV42TPJY3NGD4BZB,2025-12-18T19:57:12.541177104Z,01KCSG2GSXWAG3JRXJ26DQDS5E,2025-12-18T19:57:12.541177104Z,1,2025-12-18T19:57:13.741828047Z
01KCSG2KE8G2D3PNJX5319H4KX,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:48:02.120649931Z,,,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:48:02.120649931Z,01KCSFSH23242ASVGMAF78JQXB,2025-12-18T19:48:02.120649931Z,01KCSG2GRRVYJV2WP84AAAS0D3,2025-12-18T19:48:02.120649931Z,,
01KCSGJRP7MYB55T019BS9P650,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:56:51.783549865Z,Trinity College Dublin,2025-12-18T19:56:56.007772147Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:56:51.783549865Z,01KCSFQ50W09TP10JVBSM7VCM7,2025-12-18T19:56:51.783549865Z,01KCSG2GT7VCM5ANNESAW7AXEA,2025-12-18T19:56:51.783549865Z,1,2025-12-18T19:56:56.011793119Z
01KCSG6X28PBQNAMC6NDE2NB6Z,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:50:23.048573179Z,University of Glasgow,2025-12-18T19:50:25.453028503Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:50:23.048573179Z,01KCSFT4HH4KK21P57ZHZVGJ9N,2025-12-18T19:50:23.048573179Z,01KCSG2GSMT5ABSDWAMRSF3BV6,2025-12-18T19:50:23.048573179Z,0,2025-12-18T19:50:25.457827493Z
01KCSGC6G5DP5HEMBE5EFF04QE,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:53:16.549144234Z,University of Glasgow,2025-12-18T19:53:19.141790621Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:53:16.549144234Z,01KCSFT4HH4KK21P57ZHZVGJ9N,2025-12-18T19:53:16.549144234Z,01KCSG2GTKKYJKN21Y7K9FG55C,2025-12-18T19:53:16.549144234Z,1,2025-12-18T19:53:19.1432504Z
01KCSGD083RYTC8173T40VK1BR,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:53:42.915038536Z,University of Glasgow,2025-12-18T19:53:44.656508367Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:53:42.915038536Z,01KCSFPV932HCDRDQC3HVXA9SG,2025-12-18T19:53:42.915038536Z,01KCSG2GTP6MRVEYSTEDHKYQHZ,2025-12-18T19:53:42.915038536Z,0,2025-12-18T19:53:44.652407203Z
01KCSGMCGYN887JMRCHB1MW1XR,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:57:44.862229041Z,Trinity College Dublin,2025-12-18T19:57:48.122918812Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:57:44.862229041Z,01KCSFM1YDV9TVAYM6Z6BSVTBT,2025-12-18T19:57:44.862229041Z,01KCSG2GTNHB3BZ7TX2RCZ7ES4,2025-12-18T19:57:44.862229041Z,0,2025-12-18T19:57:48.125296724Z
01KCSGN8P0X5BADK0TTCJXA9J1,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:58:13.696854649Z,University of Glasgow,2025-12-18T19:58:15.374828591Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:58:13.696854649Z,01KCSFQ50W09TP10JVBSM7VCM7,2025-12-18T19:58:13.696854649Z,01KCSG2GT6X6A1RKR22STHCM7K,2025-12-18T19:58:13.696854649Z,1,2025-12-18T19:58:15.376635335Z
01KCSGQN5XJF5PYXW5N568A1S9,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:59:32.029146734Z,Trinity College Dublin,2025-12-18T19:59:34.417571679Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:59:32.029146734Z,01KCSFSX1C0NDKHYDK91AH388B,2025-12-18T19:59:32.029146734Z,01KCSG2GT40GRJ225JT7HTVTK0,2025-12-18T19:59:32.029146734Z,1,2025-12-18T19:59:34.415860415Z
01KCSG7CFPXJ0RBB998Z293RVE,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:50:38.838157305Z,University of Leeds,2025-12-18T19:50:42.394680664Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:50:38.838157305Z,01KCSFZ8B7YV42TPJY3NGD4BZB,2025-12-18T19:50:38.838157305Z,01KCSG2GTQ9EZ0064KZ8TFYH6B,2025-12-18T19:50:38.838157305Z,1,2025-12-18T19:50:42.395499018Z
01KCSGFRCZ38AXRE2FPAPV2MXG,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:55:13.183692374Z,University of Glasgow,2025-12-18T19:55:15.838574804Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:55:13.183692374Z,01KCSFPV932HCDRDQC3HVXA9SG,2025-12-18T19:55:13.183692374Z,01KCSG2GTMCSVR65DDR8R3XFTS,2025-12-18T19:55:13.183692374Z,0,2025-12-18T19:55:15.839647107Z
