roundID,01KCSFSH23242ASVGMAF78JQXB,01KCSFM1YDV9TVAYM6Z6BSVTBT,01KCSFPV932HCDRDQC3HVXA9SG,01KCSG0TJ4H7DFDP5HGZ1RN2YY,01KCSFQ50W09TP10JVBSM7VCM7,01KCSFQBSFQ1E59QCTW44CQJTQ,01KCSFT4HH4KK21P57ZHZVGJ9N,01KCSFZ8B7YV42TPJY3NGD4BZB,01KCSFR7QDNAS9EBKZKAH8HT9K,01KCSFSX1C0NDKHYDK91AH388B
01KCSG2GRRVYJV2WP84AAAS0D3,,,,,,,,,,
01KCSG2GSW7C1CDDNHJV6GP44R,University of Leeds,Trinity College Dublin,The University of Western Australia,Karlsruhe Institute of Technology,University of Glasgow,Heidelberg University,University of Sheffield,University of Nottingham,University of Adelaide,University of Southampton
01KCSG2GSMT5ABSDWAM2VF244C,University of Nottingham,Trinity College Dublin,University of Glasgow,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Glasgow,Karlsruhe Institute of Technology,University of Adelaide,University of Sheffield
01KCSG2GT81SPMY8E319G8NXB6,University of Leeds,Trinity College Dublin,University of Glasgow,University of Nottingham,University of Southampton,University of Nottingham,The University of Western Australia,Trinity College Dublin,University of Glasgow,University of Nottingham
01KCSG2GSTM03SFPCE29SNNYSQ,University of Leeds,Trinity College Dublin,University of Glasgow,Heidelberg University,Trinity College Dublin,University of Nottingham,University of Glasgow,The University of Western Australia,University of Leeds,Karlsruhe Institute of Technology
01KCSG2GT5YFQ1YH301QPDEDKA,University of Leeds,The University of Western Australia,University of Glasgow,University of Adelaide,University of Leeds,University of Southampton,University of Glasgow,University of Glasgow,Trinity College Dublin,Trinity College Dublin
01KCSG2GT40GRJ225JSKNA5EVW,University of Leeds,Trinity College Dublin,University of Glasgow,University of Sheffield,Trinity College Dublin,Trinity College Dublin,University of Glasgow,Heidelberg University,University of Nottingham,The University of Western Australia
01KCSG2GSMT5ABSDWAMRSF3BV6,University of Leeds,Trinity College Dublin,University of Glasgow,Trinity College Dublin,University of Glasgow,Karlsruhe Institute of Technology,University of Glasgow,University of Adelaide,University of Southampton,University of Glasgow
01KCSG2GTQ9EZ0064KZ8TFYH6B,University of Leeds,Trinity College Dublin,University of Glasgow,University of Leeds,University of Sheffield,Trinity College Dublin,University of Glasgow,University of Leeds,University of Sheffield,Heidelberg University
01KCSG2GTT7MEWYXJSR366EKA9,University of Leeds,Trinity College Dublin,University of Glasgow,University of Sheffield,Heidelberg University,Trinity College Dublin,University of Glasgow,University of Southampton,University of Nottingham,University of Adelaide
