id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01KCSG2H0A6DVPJT5G5XSY5H4V,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:47:59.626431792Z,30,2025-12-18T19:47:59.626431792Z,true,2025-12-18T19:51:11.383015419Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:47:59.626431792Z,0,2025-12-18T19:47:59.626431792Z,true,2025-12-18T19:51:01.85001072Z,choice,2025-12-18T19:47:59.626431792Z,01KCSG2GTSDYXYSFBTQDNMQDTJ,2025-12-18T19:47:59.626431792Z,true,2025-12-18T19:51:01.794487835Z,true,2025-12-18T19:51:01.871771717Z,01KCSG2H07XTGSBHXY8J5E07C3,2025-12-18T19:47:59.626431792Z
01KCSG2H4691FKPXXEVNTXYZ7T,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:47:59.750154091Z,30,2025-12-18T19:47:59.750154091Z,true,2025-12-18T19:53:34.369913944Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:47:59.750154091Z,0,2025-12-18T19:47:59.750154091Z,true,2025-12-18T19:53:16.638780822Z,choice,2025-12-18T19:47:59.750154091Z,01KCSG2GTKKYJKN21Y7K9FG55C,2025-12-18T19:47:59.750154091Z,true,2025-12-18T19:53:16.577983814Z,true,2025-12-18T19:53:16.656571379Z,01KCSG2H42WWKS31S73C6K20GK,2025-12-18T19:47:59.750154091Z
01KCSG2GXJ8NKPJNS2SBG9KCDE,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:47:59.538227557Z,30,2025-12-18T19:47:59.538227557Z,true,2025-12-18T19:49:28.491607155Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:47:59.538227557Z,0,2025-12-18T19:47:59.538227557Z,true,2025-12-18T19:49:13.050072327Z,choice,2025-12-18T19:47:59.538227557Z,01KCSG2GSMT5ABSDWAM2VF244C,2025-12-18T19:47:59.538227557Z,true,2025-12-18T19:49:13.000129459Z,true,2025-12-18T19:49:13.06526751Z,01KCSG2GXD6PY1PCN8F0FQ4BH3,2025-12-18T19:47:59.538227557Z
01KCSG2GZ24HTQ9ASMVZHSRCJF,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:47:59.586322592Z,30,2025-12-18T19:47:59.586322592Z,true,2025-12-18T19:50:22.951949649Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:47:59.586322592Z,0,2025-12-18T19:47:59.586322592Z,true,2025-12-18T19:50:09.696505735Z,choice,2025-12-18T19:47:59.586322592Z,01KCSG2GT40GRJ225JSKNA5EVW,2025-12-18T19:47:59.586322592Z,true,2025-12-18T19:50:09.654982301Z,true,2025-12-18T19:50:09.721963195Z,01KCSG2GYZZ817SF16JMGTSDSG,2025-12-18T19:47:59.586322592Z
01KCSG2H9M2DWJBJP2JH9CH8JN,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:47:59.924785583Z,30,2025-12-18T19:47:59.924785583Z,true,2025-12-18T19:56:44.383603543Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:47:59.924785583Z,0,2025-12-18T19:47:59.924785583Z,true,2025-12-18T19:56:30.738107283Z,choice,2025-12-18T19:47:59.924785583Z,01KCSG2GTAS9SX2M0E12YG46CD,2025-12-18T19:47:59.924785583Z,true,2025-12-18T19:56:30.648471471Z,true,2025-12-18T19:56:30.812502508Z,01KCSG2H9JH96PESP2HZHN7QYZ,2025-12-18T19:47:59.924785583Z
01KCSG2HEE4PQ4S0WHSZMN7Q9N,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:48:00.078748691Z,30,2025-12-18T19:48:00.078748691Z,true,2025-12-18T19:57:20.515565533Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:48:00.078748691Z,0,2025-12-18T19:48:00.078748691Z,true,2025-12-18T19:57:12.638016231Z,choice,2025-12-18T19:48:00.078748691Z,01KCSG2GSXWAG3JRXJ26DQDS5E,2025-12-18T19:48:00.078748691Z,true,2025-12-18T19:57:12.574842548Z,true,2025-12-18T19:57:12.659139266Z,01KCSG2HEAHJ7FNJG0YY1KH31Q,2025-12-18T19:48:00.078748691Z
01KCSG2HH4VYCNYNTPW5DH4XFT,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:48:00.164486682Z,30,2025-12-18T19:48:00.164486682Z,true,2025-12-18T19:58:01.630182536Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:48:00.164486682Z,0,2025-12-18T19:48:00.164486682Z,true,2025-12-18T19:57:45.111341654Z,choice,2025-12-18T19:48:00.164486682Z,01KCSG2GTNHB3BZ7TX2RCZ7ES4,2025-12-18T19:48:00.164486682Z,true,2025-12-18T19:57:44.900624498Z,true,2025-12-18T19:57:45.177345398Z,01KCSG2HH1VX22S86A80VWEV58,2025-12-18T19:48:00.164486682Z
01KCSG2HM1MRNN95PC0BXSXY1P,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:48:00.257113006Z,30,2025-12-18T19:48:00.257113006Z,true,2025-12-18T19:59:31.918005674Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:48:00.257113006Z,0,2025-12-18T19:48:00.257113006Z,true,2025-12-18T19:59:23.736526719Z,choice,2025-12-18T19:48:00.257113006Z,01KCSG2GT9YDQ17EFGWB7171K1,2025-12-18T19:48:00.257113006Z,true,2025-12-18T19:59:23.689077564Z,true,2025-12-18T19:59:23.757819828Z,01KCSG2HKXDGJVK9E79Z8R0B3D,2025-12-18T19:48:00.257113006Z
01KCSG2H4XCXK7NJ37SEG1X4GK,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:47:59.773368412Z,30,2025-12-18T19:47:59.773368412Z,true,2025-12-18T19:53:42.822303631Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:47:59.773368412Z,0,2025-12-18T19:47:59.773368412Z,true,2025-12-18T19:53:34.568946505Z,choice,2025-12-18T19:47:59.773368412Z,01KCSG2GTQ9EZ0064KYHEC63NM,2025-12-18T19:47:59.773368412Z,true,2025-12-18T19:53:34.514171122Z,true,2025-12-18T19:53:34.590743209Z,01KCSG2H4NT0GKPM9FY7S1SBWH,2025-12-18T19:47:59.773368412Z
01KCSG2H90ZB1ZQBQAKHRWFNN1,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:47:59.904090633Z,30,2025-12-18T19:47:59.904090633Z,true,2025-12-18T19:56:13.693023807Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:47:59.904090633Z,0,2025-12-18T19:47:59.904090633Z,true,2025-12-18T19:56:04.356538618Z,choice,2025-12-18T19:47:59.904090633Z,01KCSG2GTCWX1MGBTVRZ928VN2,2025-12-18T19:47:59.904090633Z,true,2025-12-18T19:56:04.290045725Z,true,2025-12-18T19:56:04.421350652Z,01KCSG2H8XH47A8EB42R6YXAMC,2025-12-18T19:47:59.904090633Z
