roundID,01KCMZNS1A0YKP4F0M3RVHDHYB,01KCMZT6005G93RHNB49J2EFJ3,01KCMZNXHT12SC8FAESP8ZYG5J,01KCMZPT4VTC396GNT8554T91E,01KCMZ8S1KN49MM5BH8MD3JVCC,01KCMZ9FSE5G16XZ2G4YBEZVW5,01KCMZNK6RENJZBPZHB3NZDRSZ,01KCMZNAXNJ9AK4PBNP028EQ9B,01KCMZSRCBSTKAX6ZGVGWXVP1V,01KCMZSTX98Y6A7XQQX7X82R4Z
01KCMZT71HSMKPRFZS7B003JM4,,,,,,,,,,
01KCMZT71HSMKPRFZS7SB160XK,University of Adelaide,Karlsruhe Institute of Technology,University of Leeds,University of Southampton,,The University of Western Australia,Heidelberg University,University of Glasgow,University of Sheffield,University of Nottingham
01KCMZT721RGTD4XTKNCANEHTT,University of Sheffield,The University of Western Australia,The University of Western Australia,University of Sheffield,University of Glasgow,Karlsruhe Institute of Technology,University of Leeds,University of Sheffield,The University of Western Australia,The University of Western Australia
01KCMZT721RGTD4XTKP2KZ18SJ,University of Sheffield,University of Leeds,University of Sheffield,University of Sheffield,Heidelberg University,University of Sheffield,University of Leeds,University of Sheffield,University of Sheffield,University of Leeds
01KCMZT7224Z0KKK5H5746H63P,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Heidelberg University,University of Sheffield,University of Leeds,University of Sheffield,University of Leeds,University of Leeds
01KCMZT7224Z0KKK5H68WM9Y5F,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Adelaide,University of Leeds,University of Leeds,,University of Leeds,University of Leeds
01KCMZT721RGTD4XTKPKG237WX,University of Leeds,University of Leeds,University of Southampton,University of Leeds,Karlsruhe Institute of Technology,University of Leeds,Karlsruhe Institute of Technology,University of Sheffield,University of Leeds,University of Leeds
01KCMZT723GQNP05EK9ZC7Y56C,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Karlsruhe Institute of Technology,University of Sheffield,University of Glasgow,,University of Leeds,University of Leeds
01KCMZT723GQNP05EKAQ45Q3P5,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Karlsruhe Institute of Technology,University of Leeds,Trinity College Dublin,University of Sheffield,University of Leeds,University of Leeds
01KCMZT7224Z0KKK5H5M5JR86G,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Heidelberg University,University of Leeds,Trinity College Dublin,University of Sheffield,University of Leeds,University of Leeds
