id,batchID,batchIDLastChangedAt,chatEnabled,chatEnabledLastChangedAt,ended,endedLastChangedAt,flag,flagLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,isTutorial,isTutorialLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01KCMZT72ASMBAW8VPXEJDG3GT,01KCMZ3MV1X5H84W9TFCP5FE25,2025-12-17T01:46:52.362075432Z,true,2025-12-17T01:46:52.362075432Z,true,2025-12-17T01:57:00.633630514Z,true,2025-12-17T01:46:52.362075432Z,01KCMZ3MVPVYWBA90H364BF6NW,2025-12-17T01:46:52.362075432Z,30,2025-12-17T01:46:52.362075432Z,false,2025-12-17T01:46:52.362075432Z,Communication Round 29,2025-12-17T01:46:52.362075432Z,1,2025-12-17T01:46:52.752494639Z,true,2025-12-17T01:56:48.155630235Z
01KCMZT72B8DQQ2Q0X7AEN9M5W,01KCMZ3MV1X5H84W9TFCP5FE25,2025-12-17T01:46:52.363306552Z,true,2025-12-17T01:46:52.363306552Z,true,2025-12-17T01:57:19.368986903Z,true,2025-12-17T01:46:52.363306552Z,01KCMZ3MVPVYWBA90H364BF6NW,2025-12-17T01:46:52.363306552Z,31,2025-12-17T01:46:52.363306552Z,false,2025-12-17T01:46:52.363306552Z,Communication Round 30,2025-12-17T01:46:52.363306552Z,1,2025-12-17T01:46:52.76689922Z,true,2025-12-17T01:57:00.658589366Z
01KCMZT72MZ2MXWJ2V922XQN4H,01KCMZ3MV1X5H84W9TFCP5FE25,2025-12-17T01:46:52.372648123Z,true,2025-12-17T01:46:52.372648123Z,true,2025-12-17T01:59:04.30096669Z,true,2025-12-17T01:46:52.372648123Z,01KCMZ3MVPVYWBA90H364BF6NW,2025-12-17T01:46:52.372648123Z,39,2025-12-17T01:46:52.372648123Z,false,2025-12-17T01:46:52.372648123Z,Communication Round 38,2025-12-17T01:46:52.372648123Z,1,2025-12-17T01:46:52.846195301Z,true,2025-12-17T01:58:53.441789412Z
01KCMZT72KFTHMGT81GGSFHYQF,01KCMZ3MV1X5H84W9TFCP5FE25,2025-12-17T01:46:52.371781056Z,true,2025-12-17T01:46:52.371781056Z,true,2025-12-17T02:00:14.227805042Z,true,2025-12-17T01:46:52.371781056Z,01KCMZ3MVPVYWBA90H364BF6NW,2025-12-17T01:46:52.371781056Z,44,2025-12-17T01:46:52.371781056Z,false,2025-12-17T01:46:52.371781056Z,Communication Round 43,2025-12-17T01:46:52.371781056Z,1,2025-12-17T01:46:52.897999495Z,true,2025-12-17T02:00:03.774398126Z
01KCMZT72NR0FV2ESJC582BGBE,01KCMZ3MV1X5H84W9TFCP5FE25,2025-12-17T01:46:52.37375259Z,true,2025-12-17T01:46:52.37375259Z,true,2025-12-17T02:01:25.864879669Z,true,2025-12-17T01:46:52.37375259Z,01KCMZ3MVPVYWBA90H364BF6NW,2025-12-17T01:46:52.37375259Z,50,2025-12-17T01:46:52.37375259Z,false,2025-12-17T01:46:52.37375259Z,Communication Round 49,2025-12-17T01:46:52.37375259Z,1,2025-12-17T01:46:52.95844206Z,true,2025-12-17T02:01:14.360538637Z
01KCMZT72P3VY02HJT62ZJK4Y1,01KCMZ3MV1X5H84W9TFCP5FE25,2025-12-17T01:46:52.374083204Z,true,2025-12-17T01:46:52.374083204Z,true,2025-12-17T02:04:54.373023237Z,,,01KCMZ3MVPVYWBA90H364BF6NW,2025-12-17T01:46:52.374083204Z,52,2025-12-17T01:46:52.374083204Z,,,Post-Survey,2025-12-17T01:46:52.374083204Z,1,2025-12-17T01:46:52.979856916Z,true,2025-12-17T02:01:34.166250751Z
01KCMZT723GQNP05EKB9TC054P,01KCMZ3MV1X5H84W9TFCP5FE25,2025-12-17T01:46:52.355577728Z,true,2025-12-17T01:46:52.355577728Z,true,2025-12-17T01:52:04.311521702Z,true,2025-12-17T01:46:52.355577728Z,01KCMZ3MVPVYWBA90H364BF6NW,2025-12-17T01:46:52.355577728Z,10,2025-12-17T01:46:52.355577728Z,false,2025-12-17T01:46:52.355577728Z,Communication Round 9,2025-12-17T01:46:52.355577728Z,1,2025-12-17T01:46:52.562520401Z,true,2025-12-17T01:51:49.495425761Z
01KCMZT723GQNP05EKBYFRZ9Q6,01KCMZ3MV1X5H84W9TFCP5FE25,2025-12-17T01:46:52.355966379Z,true,2025-12-17T01:46:52.355966379Z,true,2025-12-17T01:53:28.086943616Z,true,2025-12-17T01:46:52.355966379Z,01KCMZ3MVPVYWBA90H364BF6NW,2025-12-17T01:46:52.355966379Z,16,2025-12-17T01:46:52.355966379Z,false,2025-12-17T01:46:52.355966379Z,Communication Round 15,2025-12-17T01:46:52.355966379Z,1,2025-12-17T01:46:52.624069055Z,true,2025-12-17T01:53:10.80347899Z
01KCMZT726T8YWCS4DHKX7DD7G,01KCMZ3MV1X5H84W9TFCP5FE25,2025-12-17T01:46:52.358183193Z,true,2025-12-17T01:46:52.358183193Z,true,2025-12-17T01:53:56.110384614Z,true,2025-12-17T01:46:52.358183193Z,01KCMZ3MVPVYWBA90H364BF6NW,2025-12-17T01:46:52.358183193Z,19,2025-12-17T01:46:52.358183193Z,false,2025-12-17T01:46:52.358183193Z,Communication Round 18,2025-12-17T01:46:52.358183193Z,1,2025-12-17T01:46:52.652701693Z,true,2025-12-17T01:53:47.037788977Z
01KCMZT726T8YWCS4DK1GMGF1G,01KCMZ3MV1X5H84W9TFCP5FE25,2025-12-17T01:46:52.358719841Z,true,2025-12-17T01:46:52.358719841Z,true,2025-12-17T01:54:32.237406597Z,true,2025-12-17T01:46:52.358719841Z,01KCMZ3MVPVYWBA90H364BF6NW,2025-12-17T01:46:52.358719841Z,21,2025-12-17T01:46:52.358719841Z,false,2025-12-17T01:46:52.358719841Z,Communication Round 20,2025-12-17T01:46:52.358719841Z,1,2025-12-17T01:46:52.672755057Z,true,2025-12-17T01:54:15.997237895Z
01KCMZT726T8YWCS4DKGP1P6KW,01KCMZ3MV1X5H84W9TFCP5FE25,2025-12-17T01:46:52.358976102Z,true,2025-12-17T01:46:52.358976102Z,true,2025-12-17T01:55:00.647369439Z,true,2025-12-17T01:46:52.358976102Z,01KCMZ3MVPVYWBA90H364BF6NW,2025-12-17T01:46:52.358976102Z,22,2025-12-17T01:46:52.358976102Z,false,2025-12-17T01:46:52.358976102Z,Communication Round 21,2025-12-17T01:46:52.358976102Z,1,2025-12-17T01:46:52.68122076Z,true,2025-12-17T01:54:32.27022642Z
01KCMZT71HSMKPRFZS7B003JM4,01KCMZ3MV1X5H84W9TFCP5FE25,2025-12-17T01:46:52.337130181Z,true,2025-12-17T01:46:52.337130181Z,true,2025-12-17T01:47:54.972464867Z,false,2025-12-17T01:46:52.337130181Z,01KCMZ3MVPVYWBA90H364BF6NW,2025-12-17T01:46:52.337130181Z,0,2025-12-17T01:46:52.337130181Z,,,Communication Mode Introduction,2025-12-17T01:46:52.337130181Z,1,2025-12-17T01:46:52.447903938Z,true,2025-12-17T01:46:53.702026975Z
01KCMZT721RGTD4XTKNCANEHTT,01KCMZ3MV1X5H84W9TFCP5FE25,2025-12-17T01:46:52.353100486Z,true,2025-12-17T01:46:52.353100486Z,true,2025-12-17T01:49:19.164882836Z,true,2025-12-17T01:46:52.353100486Z,01KCMZ3MVPVYWBA90H364BF6NW,2025-12-17T01:46:52.353100486Z,2,2025-12-17T01:46:52.353100486Z,false,2025-12-17T01:46:52.353100486Z,Communication Round 1,2025-12-17T01:46:52.353100486Z,1,2025-12-17T01:46:52.470445974Z,true,2025-12-17T01:48:55.200466387Z
01KCMZT72NR0FV2ESJARN42CCR,01KCMZ3MV1X5H84W9TFCP5FE25,2025-12-17T01:46:52.373149537Z,true,2025-12-17T01:46:52.373149537Z,true,2025-12-17T02:01:02.140085092Z,true,2025-12-17T01:46:52.373149537Z,01KCMZ3MVPVYWBA90H364BF6NW,2025-12-17T01:46:52.373149537Z,48,2025-12-17T01:46:52.373149537Z,false,2025-12-17T01:46:52.373149537Z,Communication Round 47,2025-12-17T01:46:52.373149537Z,1,2025-12-17T01:46:52.940776087Z,true,2025-12-17T02:00:48.452796576Z
