Round,Average Entropy
1,0.0
2,0.6
3,1.1013033339102583
4,1.441829583405449
5,1.5124447258666205
6,1.6683332266602122
7,1.8672659614350025
8,1.9047204475088164
9,2.0800586121207294
10,2.208620184351396
11,2.1757938342495042
12,2.11559635032795
13,2.05968772041633
14,1.9974165388133929
15,1.931668293606339
16,1.8679458886755267
17,1.807023339098605
18,1.749198904395169
19,1.694525157417975
20,1.6429269050693882
21,1.5942644687390644
22,1.5714875378595754
23,1.527656737462058
24,1.486245071373392
25,1.4470837118183961
26,1.4201728819766795
27,1.3849990657328992
28,1.3516096125411974
29,1.3198795232434162
30,1.2977161762354594
31,1.2871858649476775
32,1.259419638649774
33,1.2329028411024652
34,1.2075548884777976
35,1.1921983913402507
36,1.1841659494965209
37,1.1818289030592468
38,1.1792072714586073
39,1.168280575132417
40,1.1632837288925035
41,1.1515525972568168
42,1.1413917598793035
43,1.1346350003446422
44,1.1229641102806578
45,1.1165509231815005
46,1.107609200336492
47,1.105704278811425
48,1.0993381616433315
49,1.0957510014662675
50,1.0914278152855548
51,1.081963173128834
