id,batchID,batchIDLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,score,scoreLastChangedAt
01KCPYDBWYAPPYBPEYDMBB9CXB,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:00:51.614228418Z,University of Southampton,2025-12-17T20:01:00.689159847Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:00:51.614228418Z,01KCPXYWW43PVTMG9XJ3XZCXKA,2025-12-17T20:00:51.614228418Z,01KCPY7F0XWQ52BD5ZQ7R7DGVR,2025-12-17T20:00:51.614228418Z,1,2025-12-17T20:01:00.687016019Z
01KCPYF6003Q4K1K8X811BSWNT,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:01:51.104445286Z,Trinity College Dublin,2025-12-17T20:01:56.746885157Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:01:51.104445286Z,01KCPXZSMG8SS874KBVCZ25T5W,2025-12-17T20:01:51.104445286Z,01KCPY7F1152ZDK0QS1RP09MYA,2025-12-17T20:01:51.104445286Z,1,2025-12-17T20:01:56.745917866Z
01KCPYZJB4WNJSBV3YHKZ7S0R3,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:10:48.036218535Z,University of Leeds,2025-12-17T20:11:04.600789986Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:10:48.036218535Z,01KCPY3NEJSHMYDA6AVMBGXCTC,2025-12-17T20:10:48.036218535Z,01KCPY7F1HCZD15SKK0PZES5S5,2025-12-17T20:10:48.036218535Z,1,2025-12-17T20:11:04.610125215Z
01KCPZ1QNKPE6PZSB9RQNRR0C2,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:11:59.027118285Z,University of Leeds,2025-12-17T20:12:13.620057974Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:11:59.027118285Z,01KCPY4G5PSR4GZVXYDMAG8SYF,2025-12-17T20:11:59.027118285Z,01KCPY7F1HCZD15SKK191F63X9,2025-12-17T20:11:59.027118285Z,1,2025-12-17T20:12:13.631898466Z
01KCPYGE7QC8YBH3V9H4FBFXPA,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:02:32.311965718Z,University of Leeds,2025-12-17T20:02:36.706642241Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:02:32.311965718Z,01KCPXZTS69VQB2RMCW0Y8MX7F,2025-12-17T20:02:32.311965718Z,01KCPY7F0ZVGTYFGJ6R3GAZPGJ,2025-12-17T20:02:32.311965718Z,1,2025-12-17T20:02:36.705402206Z
01KCPYPQHW0F8KW9BC33J1HMCN,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:05:58.460488266Z,University of Leeds,2025-12-17T20:06:02.318713491Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:05:58.460488266Z,01KCPXZSMG8SS874KBVCZ25T5W,2025-12-17T20:05:58.460488266Z,01KCPY7F17MV2FSHSDEVGA1D10,2025-12-17T20:05:58.460488266Z,1,2025-12-17T20:06:02.316370487Z
01KCPYB7BXK2KH5464CGYK09Z1,01KCPXWMAGGV393451K75FMFKG,2025-12-17T19:59:41.437574928Z,,,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T19:59:41.437574928Z,01KCPXYXA2EY5ZCFTPXEBTTE8G,2025-12-17T19:59:41.437574928Z,01KCPY7F0PM1746JAD5W23SMH3,2025-12-17T19:59:41.437574928Z,,
01KCPYMB2VW8X1Z43AXJME6J36,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:04:40.155625742Z,University of Leeds,2025-12-17T20:04:57.914947985Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:04:40.155625742Z,01KCPY3NEJSHMYDA6AVMBGXCTC,2025-12-17T20:04:40.155625742Z,01KCPY7F13TMT10SPS4EZPZB4F,2025-12-17T20:04:40.155625742Z,1,2025-12-17T20:04:57.981834869Z
01KCPYRBQFZGN8EKS7Y94A44CN,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:06:51.887428883Z,University of Leeds,2025-12-17T20:06:53.755277111Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:06:51.887428883Z,01KCPXYXA2EY5ZCFTPXEBTTE8G,2025-12-17T20:06:51.887428883Z,01KCPY7F16FFBYADTQN0S7YYVA,2025-12-17T20:06:51.887428883Z,1,2025-12-17T20:06:53.756744984Z
01KCPY9CJJA21D79MX9B3N8DA5,01KCPXWMAGGV393451K75FMFKG,2025-12-17T19:58:41.234024828Z,University of Southampton,2025-12-17T19:58:46.536183689Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T19:58:41.234024828Z,01KCPY20QCGA9NB263TN394XP6,2025-12-17T19:58:41.234024828Z,01KCPY7F0NJHM83E91KX6V7J36,2025-12-17T19:58:41.234024828Z,1,2025-12-17T19:58:46.588634431Z
01KCPYBW2YTQT7MT8X8CBJ66R7,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:00:02.654484014Z,,,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:00:02.654484014Z,01KCPXYXA2EY5ZCFTPXEBTTE8G,2025-12-17T20:00:02.654484014Z,01KCPY7F0NJHM83E91MF4XPFBY,2025-12-17T20:00:02.654484014Z,,
01KCPYSZH9HDMMKKCQHB6PAW7K,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:07:44.9371583Z,University of Leeds,2025-12-17T20:07:53.338479124Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:07:44.9371583Z,01KCPXYWW43PVTMG9XJ3XZCXKA,2025-12-17T20:07:44.9371583Z,01KCPY7F1CGV0J66CR30B6085B,2025-12-17T20:07:44.9371583Z,0,2025-12-17T20:07:53.339921039Z
01KCPYWQZASWVJAJ37NQY7SVRA,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:09:15.49887633Z,University of Leeds,2025-12-17T20:09:31.141315259Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:09:15.49887633Z,01KCPY3NEJSHMYDA6AVMBGXCTC,2025-12-17T20:09:15.49887633Z,01KCPY7F16FFBYADTQNGXEMFBA,2025-12-17T20:09:15.49887633Z,1,2025-12-17T20:09:31.137728537Z
01KCPZ5T0X9WRA5D11N2TG0T5M,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:14:12.50988997Z,University of Leeds,2025-12-17T20:14:13.915235932Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:14:12.50988997Z,01KCPY047ZK869J5R8RWVJE2Z0,2025-12-17T20:14:12.50988997Z,01KCPY7F1EJQBG95MNXGQPFQKF,2025-12-17T20:14:12.50988997Z,1,2025-12-17T20:14:13.912709462Z
01KCPY9CJGEHYZ3VXR4J6APQXH,01KCPXWMAGGV393451K75FMFKG,2025-12-17T19:58:41.232970968Z,,,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T19:58:41.232970968Z,01KCPXYXA2EY5ZCFTPXEBTTE8G,2025-12-17T19:58:41.232970968Z,01KCPY7F0NJHM83E91KX6V7J36,2025-12-17T19:58:41.232970968Z,,
01KCPYKX0YS8BEZA4DMHBQD3YS,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:04:25.758284553Z,University of Leeds,2025-12-17T20:04:29.023715041Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:04:25.758284553Z,01KCPY4G5PSR4GZVXYDMAG8SYF,2025-12-17T20:04:25.758284553Z,01KCPY7F13TMT10SPS3CDA5M0R,2025-12-17T20:04:25.758284553Z,1,2025-12-17T20:04:29.030998193Z
01KCPZ0M337AHJQW9314DJH9D4,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:11:22.595220657Z,University of Leeds,2025-12-17T20:11:26.056830589Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:11:22.595220657Z,01KCPY20QCGA9NB263TN394XP6,2025-12-17T20:11:22.595220657Z,01KCPY7F1EJQBG95MNWXNF4X5X,2025-12-17T20:11:22.595220657Z,1,2025-12-17T20:11:26.058612166Z
01KCPYQC142VBAVRFTYN2T9HBN,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:06:19.42810907Z,University of Leeds,2025-12-17T20:06:30.655719988Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:06:19.42810907Z,01KCPY20QCGA9NB263TN394XP6,2025-12-17T20:06:19.42810907Z,01KCPY7F18925DTF5402VCP49Y,2025-12-17T20:06:19.42810907Z,1,2025-12-17T20:06:30.653181981Z
01KCPYZJAWQTKVBMS8GJ4XJTG3,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:10:48.028042461Z,University of Glasgow,2025-12-17T20:10:50.941797481Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:10:48.028042461Z,01KCPY6KSCFSR04EWGHZWGW1VR,2025-12-17T20:10:48.028042461Z,01KCPY7F1HCZD15SKK0PZES5S5,2025-12-17T20:10:48.028042461Z,0,2025-12-17T20:10:50.943552205Z
01KCPZ13K512W00525PR61ASY6,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:11:38.469811924Z,University of Leeds,2025-12-17T20:11:41.590981051Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:11:38.469811924Z,01KCPY4G5PSR4GZVXYDMAG8SYF,2025-12-17T20:11:38.469811924Z,01KCPY7F1JDRKVR6BNM5D5D66E,2025-12-17T20:11:38.469811924Z,0,2025-12-17T20:11:41.597794352Z
01KCPZ29AVCEA4AGTX75KM530M,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:12:17.115772239Z,University of Leeds,2025-12-17T20:12:18.080913926Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:12:17.115772239Z,01KCPY047ZK869J5R8RWVJE2Z0,2025-12-17T20:12:17.115772239Z,01KCPY7F17MV2FSHSDFHB03DA7,2025-12-17T20:12:17.115772239Z,1,2025-12-17T20:12:18.084349573Z
