roundID,01KCPXYWW43PVTMG9XJ3XZCXKA,01KCPY047ZK869J5R8RWVJE2Z0,01KCPY20QCGA9NB263TN394XP6,01KCPXZSMG8SS874KBVCZ25T5W,01KCPY4G5PSR4GZVXYDMAG8SYF,01KCPY6KSCFSR04EWGHZWGW1VR,01KCPXZK6N8JT9VTZG3RX4M6AD,01KCPXZTS69VQB2RMCW0Y8MX7F,01KCPY3NEJSHMYDA6AVMBGXCTC,01KCPXYXA2EY5ZCFTPXEBTTE8G
01KCPY7F03JHBNRFX9WMA2CFHA,,,,,,,,,,
01KCPY7F0NJHM83E91KX6V7J36,Trinity College Dublin,University of Leeds,University of Southampton,Heidelberg University,University of Nottingham,Karlsruhe Institute of Technology,University of Glasgow,University of Adelaide,,
01KCPY7F0PM1746JAD5W23SMH3,Trinity College Dublin,The University of Western Australia,University of Nottingham,Karlsruhe Institute of Technology,Trinity College Dublin,Trinity College Dublin,University of Nottingham,University of Adelaide,University of Sheffield,
01KCPY7F0NJHM83E91MF4XPFBY,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,University of Southampton,Karlsruhe Institute of Technology,Heidelberg University,
01KCPY7F0PM1746JAD6D4SEH8Z,University of Southampton,University of Southampton,University of Southampton,University of Southampton,University of Southampton,University of Southampton,University of Leeds,University of Southampton,Heidelberg University,
01KCPY7F0XWQ52BD5ZQ7R7DGVR,University of Southampton,University of Southampton,University of Southampton,University of Southampton,University of Southampton,University of Southampton,University of Adelaide,University of Southampton,University of Southampton,
01KCPY7F13TMT10SPS3WNWZ6D3,University of Adelaide,University of Southampton,University of Southampton,University of Adelaide,University of Adelaide,University of Adelaide,University of Adelaide,University of Adelaide,University of Adelaide,
01KCPY7F12C23FEPJAN4DP0885,Trinity College Dublin,Heidelberg University,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Glasgow,University of Leeds,University of Leeds,Trinity College Dublin,
01KCPY7F1152ZDK0QS1RP09MYA,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,University of Leeds,University of Glasgow,University of Glasgow,University of Leeds,Trinity College Dublin,University of Southampton
01KCPY7F0ZVGTYFGJ6QDBGS0KR,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,Trinity College Dublin,University of Glasgow,University of Leeds,University of Leeds,University of Leeds
01KCPY7F0ZVGTYFGJ6R3GAZPGJ,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,Trinity College Dublin
01KCPY7F10VVTKBVPEWN3ZJNV1,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
