age,gender,genderOther,race,raceOther,education,educationOther,country,politicalOrientation,experience,engagement,clearity,interference,interferenceOption,keyFactors,strategy,motivation,followUp,additionalFeedback,experienceDetails,familiarityUniversities,employmentStatus,employmentStatusOther,hiringInvolved,hiringExperienceYears,playerID
29,Female,,Caucasian,,College,,United States,Slightly Conservative,No,Moderately Engaging,Moderately Clear,,No,The main things were the success and failure ratings of the different schools.,I paid attention to the success and failure rates and then made my decision based on that information.,I thought this would be a fun experiment that also earns money.,Yes,,,['University of Glasgow'],Employed full-time,,Yes,4–6 years,01KCQ0SQPT90ZRPBZRC76QVSZN
60,Male,,Caucasian,,College,,USA,Moderately Liberal,No,Moderately Engaging,Moderately Clear,"Slow initial load, and the counter sometimes had some lag in the decision process.",Yes,The percentage of successful versus non successful hires that were listed under the schools.,The percentage of successful versus non-successful hires was the basis for my choices.,"It's always interesting to see what a survey or project is going to be, and most of the time when taking these you really have no idea what it's going to be like.  And that's the fun in doing them!",Yes,"It's been a very different project from others, and thanks!",,['Trinity College Dublin'],Student,,Yes,7+ years,01KCQ0VNHJNDD1DM332PQS33ER
27,Female,,Latin/x,,College,,USA,Slightly Conservative,No,Engaging,Clear,,No,Probability of successes.,I checked ratios on which probability was higher than the other.,I wanted to see if the numbers would change suddenly and the ratios would switch.,Yes,,,"['University of Glasgow', 'University of Adelaide', 'University of Nottingham']",Employed part-time,,Yes,Less than 1 year,01KCQ0XAFJYC8BQFAYEW0APHVD
35,Female,,African,,College,,United States of America/New York,Extremely Liberal,No,Very Engaging,Very Clear,,No,I looked at the number of successes and failures. I remembered which universities did well.,I looked at which universities had more successful interns. I tried to avoid universities with a high failure rate.,I wanted to do well and earn the bonus. I was curious about how the task works.,Yes,,,['The University of Western Australia'],Employed full-time,,Yes,4–6 years,01KCQ0RMFE1ZQHBYPTXP6DE053
18,Male,,Caucasian,,Some College,,United States of America,Slightly Conservative,No,Very Engaging,Very Clear,,No,"Definitely the ratios, I don't know much about these schools. It was solely just the ratios for me.","I decided based on the ratios provided, the universities that had 1 success and 2 failures don't offer very accurate ratings. But when you have 200 successes and 40 failures, those ratios are far more pleasant to see.","Curiosity and the pay for the experiment, it was also rather enjoyable.",Yes,No additional feedback.,,['None of the above'],Student,,No,,01KCQ0SJXZH7J91G11Z6GPS08P
26,Male,,Caucasian,,College,,USA,Slightly Conservative,No,Very Engaging,Very Clear,,No,who was successful and who was a failure was key.,I wanted to be successful every single time.,I wanted to share my thoughts and make some extra money.,Yes,none ,,['None of the above'],Employed full-time,,Yes,1–3 years,01KCQ0T9WP9Z5RDG9P0GG8PHGP
60,Male,,Asian,,College,,USA,Extremely Liberal,No,Engaging,Very Clear,,No,The higher the success and the lower number of failureds was my criteria.,I looked at the supplied numbers and made the decision based on the successes and failures.,wanted to be part of your research,Yes,,,"['University of Leeds', 'Trinity College Dublin', 'University of Nottingham', 'University of Southampton', 'University of Glasgow']",Employed full-time,,Yes,7+ years,01KCQ0TX8GAA6G0Z23ZBHQ4FHR
42,Male,,Caucasian,,Some College,,USA,Slightly Liberal,No,Very Engaging,Clear,,No,Success vs failure rate and never underestimating the lower popularity universities as they can be outliers                             ,"I analyzed the trends. when universities had failed more than they succeeded i would stop choosing them. when they continued to succeed at a higher rate, i approved",to assist with data,Yes,nothing to add,,['University of Adelaide'],Employed full-time,,Yes,7+ years,01KCQ0V3MC3YSJT2RSTCWJA9X0
45,Male,,Caucasian,,College,,usa,Slightly Liberal,No,Engaging,Moderately Clear,,No,success over failures,Looking for the best success schools,Fun,Yes,none,,['None of the above'],Employed full-time,,Yes,1–3 years,01KCQ0VS2FQM44KAX4VK9ZT7HJ
43,Male,,Caucasian,,College,,USA,Slightly Conservative,No,Engaging,Very Clear,,No,I looked at the overall success ratio compared to the failures.  ,I looked at the overall success ration for the universities.,It looked interesting and fun!,Yes,,,"['Trinity College Dublin', 'The University of Western Australia', 'University of Glasgow', 'Heidelberg University', 'University of Adelaide', 'University of Leeds', 'University of Nottingham']",Employed full-time,,Yes,7+ years,01KCQ0ZEW9S1JHKNF7B6DNMFK3
