Round,Overall Entropy
1,3.169925001442312
2,2.974937501201927
3,2.625852559372208
4,2.4179881625169424
5,2.2644437320393105
6,2.057529014828702
7,1.950471013833088
8,1.8336204745313893
9,1.7050678406348048
10,1.5929612379953277
11,1.584405961164554
12,1.6151419655819077
13,1.7136840151716184
14,1.747979917160813
15,1.7619268599619573
16,1.7814002159145217
17,1.8605141481843293
18,1.857338283390039
19,1.8833183990664109
20,1.8849437611068522
21,1.894465427091212
22,1.8922690778127107
23,1.8934208721989898
24,1.8922196793480681
25,1.9009330618210472
26,1.9060596572130197
27,1.9076358324683458
28,1.9084639184720587
29,1.9099942568746981
30,1.9111175415327113
31,1.909128854770807
32,1.9058207789581545
33,1.8996482328287976
34,1.890179755695163
35,1.880164266163218
36,1.8668386743332812
37,1.868544986687548
38,1.8532373775546889
39,1.8373337436603014
40,1.8383890891622332
41,1.8367987000257937
42,1.8334437380190374
43,1.8287913424045397
44,1.8366943292086924
45,1.8300943457563643
46,1.822874337639645
47,1.8151594138717793
48,1.8070493142103148
49,1.7986249430042514
50,1.7899527697331663
51,1.7810879339401484
