roundID,01KCQ2N41GPJRS10JH6XTKW15W,01KCQ2SJ6MQWE9X9WVRT17GVN7,01KCQ2JQBZNVQSXGW7RQG26ZES,01KCQ2REZK80ZJZCBB7BHTJ285,01KCQ2VJME04ZY65SKN0RJFP92,01KCQ2QMYFNGHW0JQM42RA7YXY,01KCQ2RSJ1X35MPCQY5HT24E7B,01KCQ2PQ2XQNEXS1ZEYHHPP4SY,01KCQ301HA8ZM5HHRMQQDWQZTS,01KCQ2KZK8Z2KTV9XT2F24PB3J
01KCQ30HK0DRFHRDFHRG2W27JS,,,,,,,,,,
01KCQ30HM7WBECT93C912N7JXE,University of Glasgow,University of Sheffield,Trinity College Dublin,University of Leeds,University of Nottingham,University of Adelaide,University of Southampton,,Karlsruhe Institute of Technology,The University of Western Australia
01KCQ30HM90JCAY19MFH7XNP9C,Trinity College Dublin,University of Nottingham,University of Glasgow,The University of Western Australia,The University of Western Australia,University of Sheffield,University of Nottingham,,University of Glasgow,University of Glasgow
01KCQ30HM7WBECT93C9EYFHV82,University of Nottingham,University of Nottingham,University of Glasgow,University of Nottingham,University of Nottingham,University of Glasgow,University of Nottingham,,University of Nottingham,University of Nottingham
01KCQ30HMBYFE6M7EMXSGXXK7T,University of Glasgow,University of Nottingham,University of Glasgow,University of Nottingham,University of Nottingham,University of Nottingham,University of Glasgow,Karlsruhe Institute of Technology,University of Nottingham,University of Nottingham
01KCQ30HMD8TQYB4REKWZ5JEQE,University of Nottingham,University of Glasgow,University of Nottingham,University of Nottingham,University of Nottingham,University of Glasgow,University of Glasgow,University of Nottingham,University of Nottingham,Trinity College Dublin
01KCQ30HNFT1D686A3HQY8MRG0,University of Nottingham,University of Nottingham,University of Nottingham,University of Glasgow,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham
01KCQ30HMD8TQYB4REMNB084F7,University of Glasgow,University of Glasgow,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Glasgow,University of Nottingham,University of Nottingham,University of Glasgow
01KCQ30HMAXYQPPCGXNXCGHJK9,University of Nottingham,University of Glasgow,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Glasgow,University of Nottingham,University of Nottingham,University of Nottingham
01KCQ30HNHC795RN5V0KQW2B4E,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham
01KCQ30HNJTXM3KCVZKM5HWY5Y,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham
01KCQ30HNCHG4M7HF8T18WH87A,University of Nottingham,University of Nottingham,University of Glasgow,University of Nottingham,University of Nottingham,Heidelberg University,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham
01KCQ30HN3CPPQHGWPM2R61T7F,University of Glasgow,Trinity College Dublin,University of Glasgow,University of Nottingham,University of Nottingham,University of Southampton,University of Nottingham,University of Nottingham,University of Nottingham,University of Nottingham
01KCQ30HNHC795RN5V02PEYTF1,Trinity College Dublin,Trinity College Dublin,University of Glasgow,University of Nottingham,Trinity College Dublin,University of Adelaide,Trinity College Dublin,University of Nottingham,University of Nottingham,University of Nottingham
01KCQ30HNMJ4CDPZ2J7E8BZ44K,University of Glasgow,Trinity College Dublin,University of Nottingham,University of Nottingham,University of Glasgow,University of Adelaide,University of Glasgow,University of Nottingham,University of Nottingham,University of Glasgow
01KCQ30HNKX217K2J93RR5EYAW,University of Nottingham,Trinity College Dublin,University of Nottingham,University of Nottingham,University of Glasgow,University of Adelaide,University of Glasgow,University of Nottingham,University of Nottingham,University of Glasgow
01KCQ30HME7E3D1NDX5R1HTF3J,University of Glasgow,Trinity College Dublin,University of Nottingham,University of Nottingham,Trinity College Dublin,University of Adelaide,University of Nottingham,University of Nottingham,University of Nottingham,University of Glasgow
01KCQ30HN9FZHXV0J87PQHSERY,Trinity College Dublin,Trinity College Dublin,University of Glasgow,University of Glasgow,Trinity College Dublin,University of Sheffield,Trinity College Dublin,University of Glasgow,University of Nottingham,Trinity College Dublin
01KCQ30HNFT1D686A3H7NTJ7ZD,Trinity College Dublin,Trinity College Dublin,University of Nottingham,University of Glasgow,University of Nottingham,Trinity College Dublin,University of Nottingham,University of Glasgow,University of Nottingham,University of Nottingham
01KCQ30HNGK1RKW9W9VKX9J6B2,Trinity College Dublin,Trinity College Dublin,University of Nottingham,University of Glasgow,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Glasgow,University of Nottingham,University of Glasgow
01KCQ30HMAXYQPPCGXPN3GW47A,University of Glasgow,Trinity College Dublin,University of Nottingham,University of Nottingham,Trinity College Dublin,Trinity College Dublin,University of Nottingham,Trinity College Dublin,University of Nottingham,University of Glasgow
01KCQ30HNV070YQ27FCX96YXNV,Trinity College Dublin,Trinity College Dublin,University of Nottingham,University of Nottingham,Trinity College Dublin,Trinity College Dublin,University of Glasgow,Trinity College Dublin,University of Nottingham,Trinity College Dublin
01KCQ30HNMJ4CDPZ2J85Y1HDWJ,Trinity College Dublin,Trinity College Dublin,University of Nottingham,University of Nottingham,Trinity College Dublin,Trinity College Dublin,University of Nottingham,Trinity College Dublin,University of Nottingham,Trinity College Dublin
01KCQ30HNXGVG7HH3HKB6E3MSG,Trinity College Dublin,Trinity College Dublin,University of Nottingham,University of Glasgow,Trinity College Dublin,University of Glasgow,University of Nottingham,Trinity College Dublin,University of Nottingham,Trinity College Dublin
01KCQ30HP1M9T93XWPTCPQ7E2V,Trinity College Dublin,Trinity College Dublin,University of Nottingham,University of Nottingham,Trinity College Dublin,Trinity College Dublin,University of Glasgow,Trinity College Dublin,University of Nottingham,Trinity College Dublin
01KCQ30HP1M9T93XWPVWBHC7N7,Trinity College Dublin,Trinity College Dublin,University of Glasgow,University of Glasgow,Trinity College Dublin,Trinity College Dublin,University of Glasgow,Trinity College Dublin,University of Nottingham,University of Glasgow
01KCQ30HP4EH48WA4Q6AAQ8CBV,Trinity College Dublin,Trinity College Dublin,University of Glasgow,University of Glasgow,Trinity College Dublin,Trinity College Dublin,University of Glasgow,Trinity College Dublin,University of Nottingham,Trinity College Dublin
01KCQ30HP4EH48WA4Q71WX5RWC,Trinity College Dublin,Trinity College Dublin,University of Glasgow,University of Glasgow,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Nottingham,Trinity College Dublin
01KCQ30HNNNKH8QJGKS6Y5CED5,University of Nottingham,Trinity College Dublin,University of Glasgow,University of Glasgow,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Glasgow
01KCQ30HNNNKH8QJGKRN5KH9Z4,Trinity College Dublin,Trinity College Dublin,University of Glasgow,University of Glasgow,Trinity College Dublin,University of Glasgow,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
