id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01KCQ36NKFP39A4Y0QV1CTMTW9,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:24:35.055678019Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:24:35.055678019Z,01KCQ2PQ2XQNEXS1ZEYHHPP4SY,2025-12-17T21:24:35.055678019Z,01KCQ30HMD8TQYB4REKWZ5JEQE,2025-12-17T21:24:35.055678019Z,01KCQ30HZK1ZF01EE26370CSY1,2025-12-17T21:24:35.055678019Z,true,2025-12-17T21:24:37.018112747Z
01KCQ38JC47YQ7ZXC2GXMT80BN,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:25:37.284993177Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:25:37.284993177Z,01KCQ2SJ6MQWE9X9WVRT17GVN7,2025-12-17T21:25:37.284993177Z,01KCQ30HN3CPPQHGWPM2R61T7F,2025-12-17T21:25:37.284993177Z,01KCQ30J3F9A0J3724PFDQ2QS5,2025-12-17T21:25:37.284993177Z,true,2025-12-17T21:25:44.165494079Z
01KCQ3DC7B14A5RGDFB0X49CK6,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:28:14.827601141Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:28:14.827601141Z,01KCQ2VJME04ZY65SKN0RJFP92,2025-12-17T21:28:14.827601141Z,01KCQ30HP4EH48WA4Q6AAQ8CBV,2025-12-17T21:28:14.827601141Z,01KCQ30JAZNEY2EK99P3Z98THF,2025-12-17T21:28:14.827601141Z,true,2025-12-17T21:28:23.613761806Z
01KCQ3NH381YE9089E2KG0K7H5,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:32:41.960680144Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:32:41.960680144Z,01KCQ2VJME04ZY65SKN0RJFP92,2025-12-17T21:32:41.960680144Z,01KCQ30HP317K3R2W4QCXX2V6B,2025-12-17T21:32:41.960680144Z,01KCQ30JPSWRHG110ZVCA75JST,2025-12-17T21:32:41.960680144Z,true,2025-12-17T21:32:42.678324767Z
01KCQ37G0Q068SWC3PZZM8MSM8,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:25:02.104009627Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:25:02.104009627Z,01KCQ2KZK8Z2KTV9XT2F24PB3J,2025-12-17T21:25:02.104009627Z,01KCQ30HMAXYQPPCGXNXCGHJK9,2025-12-17T21:25:02.104009627Z,01KCQ30J0Z0MVFMZD4ZDSFWFHD,2025-12-17T21:25:02.104009627Z,true,2025-12-17T21:25:05.846037051Z
01KCQ3E5JG56NQECP477XJB901,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:28:40.784396239Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:28:40.784396239Z,01KCQ2JQBZNVQSXGW7RQG26ZES,2025-12-17T21:28:40.784396239Z,01KCQ30HNNNKH8QJGKS6Y5CED5,2025-12-17T21:28:40.784396239Z,01KCQ30JBRGZ1ZJQ64R5WZ90MV,2025-12-17T21:28:40.784396239Z,true,2025-12-17T21:28:41.910440717Z
01KCQ3F74EPY8EPGP32R026YB3,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:29:15.150827952Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:29:15.150827952Z,01KCQ2VJME04ZY65SKN0RJFP92,2025-12-17T21:29:15.150827952Z,01KCQ30HNNNKH8QJGKSRGEG0D8,2025-12-17T21:29:15.150827952Z,01KCQ30JEY9VECE1A5M6QQYBHE,2025-12-17T21:29:15.150827952Z,true,2025-12-17T21:29:28.078836646Z
01KCQ3GTTHYPB4NZC2AR0H04NS,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:30:08.081807825Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:30:08.081807825Z,01KCQ2JQBZNVQSXGW7RQG26ZES,2025-12-17T21:30:08.081807825Z,01KCQ30HNXGVG7HH3HJ4CGF4XQ,2025-12-17T21:30:08.081807825Z,01KCQ30JGDJWGEW5D7GS7DEGCW,2025-12-17T21:30:08.081807825Z,true,2025-12-17T21:30:08.90550659Z
01KCQ3JGRSQ0NE51AVMQQJWX17,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:31:03.321585905Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:31:03.321585905Z,01KCQ2N41GPJRS10JH6XTKW15W,2025-12-17T21:31:03.321585905Z,01KCQ30HNP7K97NMKN3X1QZ1TX,2025-12-17T21:31:03.321585905Z,01KCQ30JJE7GMHC90GND3AD919,2025-12-17T21:31:03.321585905Z,true,2025-12-17T21:31:13.662351046Z
01KCQ3JZJ28V9YET8DXPQZVGD0,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:31:18.466451516Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:31:18.466451516Z,01KCQ2QMYFNGHW0JQM42RA7YXY,2025-12-17T21:31:18.466451516Z,01KCQ30HP203PF10KKKTG0TEXB,2025-12-17T21:31:18.466451516Z,01KCQ30JJVDC8BXD7VTR5R4XM4,2025-12-17T21:31:18.466451516Z,true,2025-12-17T21:31:19.547313754Z
