id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01KCQ30JF87P7585T3DQ2650W3,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:21:15.24034761Z,30,2025-12-17T21:21:15.24034761Z,true,2025-12-17T21:29:37.977166781Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:21:15.24034761Z,0,2025-12-17T21:21:15.24034761Z,true,2025-12-17T21:29:28.253589965Z,choice,2025-12-17T21:21:15.24034761Z,01KCQ30HP4EH48WA4Q5H27S159,2025-12-17T21:21:15.24034761Z,true,2025-12-17T21:29:28.199744939Z,true,2025-12-17T21:29:28.266717746Z,01KCQ30JF5TYRAJWH7VJZ7J4M2,2025-12-17T21:21:15.24034761Z
01KCQ30JJVDC8BXD7VTR5R4XM4,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:21:15.35507527Z,30,2025-12-17T21:21:15.35507527Z,true,2025-12-17T21:31:28.185546319Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:21:15.35507527Z,0,2025-12-17T21:21:15.35507527Z,true,2025-12-17T21:31:18.477104483Z,choice,2025-12-17T21:21:15.35507527Z,01KCQ30HP203PF10KKKTG0TEXB,2025-12-17T21:21:15.35507527Z,true,2025-12-17T21:31:18.402746139Z,true,2025-12-17T21:31:18.486378723Z,01KCQ30JJR1XEAC6NM87HAZQ02,2025-12-17T21:21:15.35507527Z
01KCQ30HZK1ZF01EE26370CSY1,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:21:14.739977663Z,30,2025-12-17T21:21:14.739977663Z,true,2025-12-17T21:24:44.668095783Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:21:14.739977663Z,0,2025-12-17T21:21:14.739977663Z,true,2025-12-17T21:24:35.067804882Z,choice,2025-12-17T21:21:14.739977663Z,01KCQ30HMD8TQYB4REKWZ5JEQE,2025-12-17T21:21:14.739977663Z,true,2025-12-17T21:24:34.997741998Z,true,2025-12-17T21:24:35.08306855Z,01KCQ30HZFNYC3TBPMS76FV63K,2025-12-17T21:21:14.739977663Z
01KCQ30J0H3C4M69ZCP5835YQ7,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:21:14.769751814Z,30,2025-12-17T21:21:14.769751814Z,true,2025-12-17T21:25:01.949011259Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:21:14.769751814Z,0,2025-12-17T21:21:14.769751814Z,true,2025-12-17T21:24:53.772794237Z,choice,2025-12-17T21:21:14.769751814Z,01KCQ30HMD8TQYB4REMNB084F7,2025-12-17T21:21:14.769751814Z,true,2025-12-17T21:24:53.729572083Z,true,2025-12-17T21:24:53.793168567Z,01KCQ30J0A5TVZ1K95R57R2J1X,2025-12-17T21:21:14.769751814Z
01KCQ30JHRWBCXDBA3G4C00EYS,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:21:15.320954092Z,30,2025-12-17T21:21:15.320954092Z,true,2025-12-17T21:30:47.083152096Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:21:15.320954092Z,0,2025-12-17T21:21:15.320954092Z,true,2025-12-17T21:30:38.256780134Z,choice,2025-12-17T21:21:15.320954092Z,01KCQ30HNQZAVF18CX83A2V8HK,2025-12-17T21:21:15.320954092Z,true,2025-12-17T21:30:38.191042519Z,true,2025-12-17T21:30:38.287915069Z,01KCQ30JHNRF6PJSRMCS81Z4EY,2025-12-17T21:21:15.320954092Z
01KCQ30JFNKQXB2A5Y0ART51VW,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:21:15.253502511Z,30,2025-12-17T21:21:15.253502511Z,true,2025-12-17T21:29:55.021605955Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:21:15.253502511Z,0,2025-12-17T21:21:15.253502511Z,true,2025-12-17T21:29:38.198793749Z,choice,2025-12-17T21:21:15.253502511Z,01KCQ30HNY4HJS1V5G1P6QFGS0,2025-12-17T21:21:15.253502511Z,true,2025-12-17T21:29:38.127148574Z,true,2025-12-17T21:29:38.217519709Z,01KCQ30JFJ2AQTWGRV9HHBZYP7,2025-12-17T21:21:15.253502511Z
01KCQ30J4DRMAF8W4YTK1Q7RMZ,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:21:14.893128248Z,30,2025-12-17T21:21:14.893128248Z,true,2025-12-17T21:25:55.099886569Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:21:14.893128248Z,0,2025-12-17T21:21:14.893128248Z,true,2025-12-17T21:25:44.376686254Z,choice,2025-12-17T21:21:14.893128248Z,01KCQ30HNHC795RN5V02PEYTF1,2025-12-17T21:21:14.893128248Z,true,2025-12-17T21:25:44.294403644Z,true,2025-12-17T21:25:44.402639271Z,01KCQ30J48K2RKACWYJ2JQBTD8,2025-12-17T21:21:14.893128248Z
01KCQ30J4XPNZH25YCJM5QQWDW,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:21:14.909184337Z,30,2025-12-17T21:21:14.909184337Z,true,2025-12-17T21:26:10.53495365Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:21:14.909184337Z,0,2025-12-17T21:21:14.909184337Z,true,2025-12-17T21:25:55.267490767Z,choice,2025-12-17T21:21:14.909184337Z,01KCQ30HNMJ4CDPZ2J7E8BZ44K,2025-12-17T21:21:14.909184337Z,true,2025-12-17T21:25:55.212659928Z,true,2025-12-17T21:25:55.276037889Z,01KCQ30J4ST12HKD81QZ668CVD,2025-12-17T21:21:14.909184337Z
01KCQ30J82J1HMK5NAFQ6QA0C3,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:21:15.011275026Z,30,2025-12-17T21:21:15.011275026Z,true,2025-12-17T21:27:35.612535855Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:21:15.011275026Z,0,2025-12-17T21:21:15.011275026Z,true,2025-12-17T21:27:26.144347747Z,choice,2025-12-17T21:21:15.011275026Z,01KCQ30HNMJ4CDPZ2J85Y1HDWJ,2025-12-17T21:21:15.011275026Z,true,2025-12-17T21:27:26.089085428Z,true,2025-12-17T21:27:26.167268407Z,01KCQ30J7V21HBWBA3SAAPYQ6X,2025-12-17T21:21:15.011275026Z
01KCQ30JBAAW3NN2VZAV64M1N3,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:21:15.11465685Z,30,2025-12-17T21:21:15.11465685Z,true,2025-12-17T21:28:40.528260188Z,01KCQ2HKM1M6MJ96T2BXESBV3M,2025-12-17T21:21:15.11465685Z,0,2025-12-17T21:21:15.11465685Z,true,2025-12-17T21:28:30.184159821Z,choice,2025-12-17T21:21:15.11465685Z,01KCQ30HP4EH48WA4Q71WX5RWC,2025-12-17T21:21:15.11465685Z,true,2025-12-17T21:28:30.113782669Z,true,2025-12-17T21:28:30.204510874Z,01KCQ30JB7KMN60VRWE5SVG19N,2025-12-17T21:21:15.11465685Z
