roundID,01KCQ6QPG3ECKQZM08SE35STM4,01KCQ6QT08BF25T9MA5TWZ69SY,01KCQ6S79G084G6EKF6T4VDV94,01KCQ6WZB0DXKB0KXM3F7YGNPR,01KCQ6SX2Z1B8XCMGGS45BAFER,01KCQ6VQS3NKMS788SJZB486WM,01KCQ6RD6J53K7F564C4R9CN72,01KCQ6RQE1YGGY1A1ARD2Y0D4P,01KCQ6SMSY6SDM4HDTSG5V30NB,01KCQ71EQSDDA2YYE0KJYNVVKK
01KCQ71RBFXNFCNS3S3QFW59TN,,,,,,,,,,
01KCQ71RBW7APDW9HE60XZTYQ0,,The University of Western Australia,University of Adelaide,University of Nottingham,University of Southampton,University of Sheffield,University of Glasgow,Heidelberg University,University of Leeds,Karlsruhe Institute of Technology
01KCQ71RBW7APDW9HE6P5JD0MS,,University of Glasgow,University of Leeds,Karlsruhe Institute of Technology,University of Sheffield,University of Leeds,University of Adelaide,University of Glasgow,University of Sheffield,
01KCQ71RC5DWN7H0TH50BKV20P,,University of Leeds,University of Leeds,The University of Western Australia,University of Glasgow,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RC0HJECGKAQQXW44WVA,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Adelaide
01KCQ71RBZYYGFV9YRV3V2JTQT,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Nottingham
01KCQ71RBX2X3BDZVGP78J8T3F,,University of Nottingham,University of Nottingham,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RC6BFZTRJAT1KD7W0BD,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Glasgow,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RBX2X3BDZVGPWV28KQM,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RBX2X3BDZVGQKNS0FJ1,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RBYXB0S1MGXY8G6G14F,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Glasgow
01KCQ71RBZYYGFV9YRVKTA9WAY,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Nottingham
01KCQ71RC27RKEZEW96RMDXH1V,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Glasgow
01KCQ71RC27RKEZEW97AH83Q06,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RBYXB0S1MGXYQ8QAJNZ,Heidelberg University,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RC27RKEZEW95FWBBFPW,University of Southampton,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Glasgow
01KCQ71RC34BB5YJP5ZDZRCK0Z,Karlsruhe Institute of Technology,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,,University of Leeds,University of Leeds,University of Adelaide
01KCQ71RC4QEMG23HN93ME25V1,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Glasgow
01KCQ71RC0HJECGKAQPSBMSKAD,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RC730KDYTQWBXPTWKPB,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,,University of Leeds,University of Leeds,University of Leeds
01KCQ71RBZYYGFV9YRW9GAQFJN,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RC8Q7HN59S7Q490FMMJ,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RC0HJECGKAQQCXBF1H8,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Glasgow
01KCQ71RC1A2KREPWATARTMM22,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Glasgow
01KCQ71RC5DWN7H0TH4EP0E8AW,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RC27RKEZEW961TNGK3H,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RC730KDYTQWD4NJGW7G,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RC6BFZTRJAT123YP8RH,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RCB08R7C01R9DWF5H8Z,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,,University of Leeds,University of Leeds,University of Leeds
01KCQ71RC730KDYTQWCGW5S5PR,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Glasgow
01KCQ71RC8Q7HN59S7QR5M866N,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Adelaide
01KCQ71RC8Q7HN59S7RF5PQ8ZR,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,,University of Leeds,University of Leeds,University of Adelaide
01KCQ71RC34BB5YJP5YT87NQVP,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Adelaide
01KCQ71RC9BQCKC7VMFPH7QYYM,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RC9BQCKC7VMG8137VK7,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Glasgow
01KCQ71RCA482G9WNHX860Y7CM,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RC9BQCKC7VMGXTWZ9CV,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Glasgow
01KCQ71RCA482G9WNHXWPHF3V2,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Glasgow
01KCQ71RCA482G9WNHYKCAGSNV,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RCCCT432T4RH9QP1F8C,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RCB08R7C01R9Z3MSNTX,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RCWE6DD2C95T78CS4P9,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds
01KCQ71RCVM3PR7M50A9H92367,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin
01KCQ71RCWE6DD2C95SMEEA8Z7,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin
01KCQ71RCXZ565R5G7R19X09W6,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin
01KCQ71RCXZ565R5G7Q94DK9VN,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin
01KCQ71RCYW56GVWSWNXPAW30X,,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,Trinity College Dublin
