id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01KCQ71RQ0BXCHNF4E5BMW3T54,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.704055648Z,30,2025-12-17T22:31:48.704055648Z,true,2025-12-17T22:46:15.946238465Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.704055648Z,0,2025-12-17T22:31:48.704055648Z,true,2025-12-17T22:45:45.917367449Z,choice,2025-12-17T22:31:48.704055648Z,01KCQ71RC730KDYTQWD4NJGW7G,2025-12-17T22:31:48.704055648Z,true,2025-12-17T22:45:45.852584644Z,true,2025-12-17T22:45:45.934285998Z,,,01KCQ71RPXV5K5QTT564QAXYM4,2025-12-17T22:31:48.704055648Z
01KCQ71RSJ16XFFD2P06H4STS0,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.786879944Z,30,2025-12-17T22:31:48.786879944Z,true,2025-12-17T22:49:47.689405428Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.786879944Z,0,2025-12-17T22:31:48.786879944Z,true,2025-12-17T22:49:17.664048836Z,choice,2025-12-17T22:31:48.786879944Z,01KCQ71RC9BQCKC7VMFPH7QYYM,2025-12-17T22:31:48.786879944Z,true,2025-12-17T22:49:17.602008643Z,true,2025-12-17T22:49:17.68841032Z,,,01KCQ71RSGXZ6P9PG02P126W5R,2025-12-17T22:31:48.786879944Z
01KCQ71RKDAEJ74ABT2E9CQV0E,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.589840873Z,30,2025-12-17T22:31:48.589840873Z,true,2025-12-17T22:40:54.7772897Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.589840873Z,0,2025-12-17T22:31:48.589840873Z,true,2025-12-17T22:40:24.748331436Z,choice,2025-12-17T22:31:48.589840873Z,01KCQ71RC27RKEZEW95FWBBFPW,2025-12-17T22:31:48.589840873Z,true,2025-12-17T22:40:24.680495085Z,true,2025-12-17T22:40:24.770466724Z,,,01KCQ71RKB22X4PGEDHR5TJHKT,2025-12-17T22:31:48.589840873Z
01KCQ71RSWWENQQVARQYQVWPHT,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.796091539Z,30,2025-12-17T22:31:48.796091539Z,true,2025-12-17T22:50:17.878730669Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.796091539Z,0,2025-12-17T22:31:48.796091539Z,true,2025-12-17T22:49:47.84749795Z,choice,2025-12-17T22:31:48.796091539Z,01KCQ71RC9BQCKC7VMG8137VK7,2025-12-17T22:31:48.796091539Z,true,2025-12-17T22:49:47.797412862Z,true,2025-12-17T22:49:47.871818102Z,,,01KCQ71RSS0G219EE6DPXP45FV,2025-12-17T22:31:48.796091539Z
01KCQ71RXW51KS88FB71HW5CXZ,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.924788443Z,30,2025-12-17T22:31:48.924788443Z,true,2025-12-17T22:54:50.027909876Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.924788443Z,0,2025-12-17T22:31:48.924788443Z,true,2025-12-17T22:54:19.991905695Z,choice,2025-12-17T22:31:48.924788443Z,01KCQ71RCWE6DD2C95SMEEA8Z7,2025-12-17T22:31:48.924788443Z,true,2025-12-17T22:54:19.893182777Z,true,2025-12-17T22:54:20.024258596Z,,,01KCQ71RXN27VJGAZA30Z3FX7D,2025-12-17T22:31:48.924788443Z
01KCQ71RY7RF83ZZTVHVBYAVHX,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.935338875Z,30,2025-12-17T22:31:48.935338875Z,true,2025-12-17T22:55:20.291432788Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.935338875Z,0,2025-12-17T22:31:48.935338875Z,true,2025-12-17T22:54:50.251749455Z,choice,2025-12-17T22:31:48.935338875Z,01KCQ71RCXZ565R5G7R19X09W6,2025-12-17T22:31:48.935338875Z,true,2025-12-17T22:54:50.16870068Z,true,2025-12-17T22:54:50.274148798Z,,,01KCQ71RY3XNPYA93CNHT4FR8B,2025-12-17T22:31:48.935338875Z
01KCQ71RHV888XSZ65DPTMQT3J,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.539487994Z,30,2025-12-17T22:31:48.539487994Z,true,2025-12-17T22:38:23.555827144Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.539487994Z,0,2025-12-17T22:31:48.539487994Z,true,2025-12-17T22:37:53.517204503Z,choice,2025-12-17T22:31:48.539487994Z,01KCQ71RBYXB0S1MGXY8G6G14F,2025-12-17T22:31:48.539487994Z,true,2025-12-17T22:37:53.461131859Z,true,2025-12-17T22:37:53.54849871Z,,,01KCQ71RHRSXK95VENTH5XEEG0,2025-12-17T22:31:48.539487994Z
01KCQ71RN9TAXEH6VV3MT2E5KE,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.649277924Z,30,2025-12-17T22:31:48.649277924Z,true,2025-12-17T22:43:44.498190026Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.649277924Z,0,2025-12-17T22:31:48.649277924Z,true,2025-12-17T22:43:26.239482032Z,choice,2025-12-17T22:31:48.649277924Z,01KCQ71RC8Q7HN59S7Q490FMMJ,2025-12-17T22:31:48.649277924Z,true,2025-12-17T22:43:26.174448426Z,true,2025-12-17T22:43:26.279843874Z,,,01KCQ71RN6G9GAX7M36VWYQJ2J,2025-12-17T22:31:48.649277924Z
01KCQ71S0Y8XT7FXWR6KVFJ527,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:49.022359103Z,30,2025-12-17T22:31:49.022359103Z,false,2025-12-17T22:31:49.022359103Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:49.022359103Z,0,2025-12-17T22:31:49.022359103Z,,,choice,2025-12-17T22:31:49.022359103Z,01KCQ71RD1P7WGM9EHSCY25RDF,2025-12-17T22:31:49.022359103Z,false,2025-12-17T22:31:49.022359103Z,,,,,01KCQ71S0VX5HVC401XW4CZZBR,2025-12-17T22:31:49.022359103Z
01KCQ71RJ5G5ZKQYNGJH95GK8S,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.549792804Z,30,2025-12-17T22:31:48.549792804Z,true,2025-12-17T22:38:53.765041625Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.549792804Z,0,2025-12-17T22:31:48.549792804Z,true,2025-12-17T22:38:23.732068268Z,choice,2025-12-17T22:31:48.549792804Z,01KCQ71RBZYYGFV9YRVKTA9WAY,2025-12-17T22:31:48.549792804Z,true,2025-12-17T22:38:23.696859794Z,true,2025-12-17T22:38:23.756976231Z,,,01KCQ71RJ3ZNQA0B7ETQ6BKJFJ,2025-12-17T22:31:48.549792804Z
01KCQ71RS9X5XXBF0K6CR0PR5A,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.777214855Z,30,2025-12-17T22:31:48.777214855Z,true,2025-12-17T22:49:17.501504651Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.777214855Z,0,2025-12-17T22:31:48.777214855Z,true,2025-12-17T22:48:47.478300341Z,choice,2025-12-17T22:31:48.777214855Z,01KCQ71RC34BB5YJP5YT87NQVP,2025-12-17T22:31:48.777214855Z,true,2025-12-17T22:48:47.400826826Z,true,2025-12-17T22:48:47.498304296Z,,,01KCQ71RS6SPK9SPFZ5QZGVY8D,2025-12-17T22:31:48.777214855Z
01KCQ71RTVR6N2D0D3Z0XYQGFZ,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.827318492Z,30,2025-12-17T22:31:48.827318492Z,true,2025-12-17T22:51:18.301991612Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.827318492Z,0,2025-12-17T22:31:48.827318492Z,true,2025-12-17T22:50:48.283684525Z,choice,2025-12-17T22:31:48.827318492Z,01KCQ71RC9BQCKC7VMGXTWZ9CV,2025-12-17T22:31:48.827318492Z,true,2025-12-17T22:50:48.223624032Z,true,2025-12-17T22:50:48.298671394Z,,,01KCQ71RTQFT5P99S6NQHF3VEM,2025-12-17T22:31:48.827318492Z
01KCQ71RFAB6Z5FRPCQR12QF4V,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.458390078Z,30,2025-12-17T22:31:48.458390078Z,true,2025-12-17T22:34:21.901961544Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.458390078Z,0,2025-12-17T22:31:48.458390078Z,true,2025-12-17T22:33:51.871755786Z,choice,2025-12-17T22:31:48.458390078Z,01KCQ71RBW7APDW9HE6P5JD0MS,2025-12-17T22:31:48.458390078Z,true,2025-12-17T22:33:51.814510196Z,true,2025-12-17T22:33:51.897858124Z,,,01KCQ71RF73CDTYA0GY5QNHCBP,2025-12-17T22:31:48.458390078Z
