Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Crimson,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 1}",{},"{""Crimson"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 2}",{},"{""Crimson"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 3}",{},"{""Crimson"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 4}",{},"{""Crimson"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 5}",{},"{""Crimson"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 6}",{},"{""Crimson"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 7}",{},"{""Crimson"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 8}",{},"{""Crimson"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 9}",{},"{""Crimson"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 10}",{},"{""Crimson"": 1.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 11}",{},"{""Crimson"": 1.0}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 12}",{},"{""Crimson"": 1.0}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 13}",{},"{""Crimson"": 1.0}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 14}",{},"{""Crimson"": 1.0}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 15}",{},"{""Crimson"": 1.0}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 16}",{},"{""Crimson"": 1.0}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 17}",{},"{""Crimson"": 1.0}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 18}",{},"{""Crimson"": 1.0}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 19}",{},"{""Crimson"": 1.0}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 20}",{},"{""Crimson"": 1.0}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 21}",{},"{""Crimson"": 1.0}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 22}",{},"{""Crimson"": 1.0}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 23}",{},"{""Crimson"": 1.0}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 24}",{},"{""Crimson"": 1.0}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 25}",{},"{""Crimson"": 1.0}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 26}",{},"{""Crimson"": 1.0}"
28,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 27}",{},"{""Crimson"": 1.0}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 28}",{},"{""Crimson"": 1.0}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 29}",{},"{""Crimson"": 1.0}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 30}",{},"{""Crimson"": 1.0}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 31}",{},"{""Crimson"": 1.0}"
33,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 32}",{},"{""Crimson"": 1.0}"
34,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 33}",{},"{""Crimson"": 1.0}"
35,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 34}",{},"{""Crimson"": 1.0}"
36,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 35}",{},"{""Crimson"": 1.0}"
37,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 36}",{},"{""Crimson"": 1.0}"
38,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 37}",{},"{""Crimson"": 1.0}"
39,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 38}",{},"{""Crimson"": 1.0}"
40,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 39}",{},"{""Crimson"": 1.0}"
41,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 40}",{},"{""Crimson"": 1.0}"
42,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 41}",{},"{""Crimson"": 1.0}"
43,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,0.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 42}",{},"{""Crimson"": 1.0}"
44,Exploit,Lose-Stay,Exploit+Lose-Stay,Crimson,1.0,Crimson,0.0,Crimson,Crimson,Crimson,"{""Crimson"": 42}","{""Crimson"": 1}","{""Crimson"": 0.9767441860465116}"
45,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 43}","{""Crimson"": 1}","{""Crimson"": 0.9772727272727273}"
46,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 44}","{""Crimson"": 1}","{""Crimson"": 0.9777777777777777}"
47,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 45}","{""Crimson"": 1}","{""Crimson"": 0.9782608695652174}"
48,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 46}","{""Crimson"": 1}","{""Crimson"": 0.9787234042553191}"
49,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 47}","{""Crimson"": 1}","{""Crimson"": 0.9791666666666666}"
50,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 48}","{""Crimson"": 1}","{""Crimson"": 0.9795918367346939}"
51,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 49}","{""Crimson"": 1}","{""Crimson"": 0.98}"
52,N/A,N/A,N/A+N/A,,,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 50}","{""Crimson"": 1}","{""Crimson"": 0.9803921568627451}"
