Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 1}",{},"{""Bright Green"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 2}",{},"{""Bright Green"": 1.0}"
4,Explore,Switch-After-Win,Explore+Switch-After-Win,Purple,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 3}",{},"{""Bright Green"": 1.0}"
5,Explore,Switch-After-Win,Explore+Switch-After-Win,Orange,1.0,Purple,1.0,Bright Green,"Bright Green, Purple",,"{""Bright Green"": 3, ""Purple"": 1}",{},"{""Bright Green"": 1.0, ""Purple"": 1.0}"
6,Explore,Switch-After-Win,Explore+Switch-After-Win,Amber,1.0,Orange,1.0,Bright Green,"Bright Green, Purple, Orange",,"{""Bright Green"": 3, ""Purple"": 1, ""Orange"": 1}",{},"{""Bright Green"": 1.0, ""Purple"": 1.0, ""Orange"": 1.0}"
7,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Bright Green,1.0,Amber,1.0,Bright Green,"Bright Green, Purple, Amber, Orange",,"{""Bright Green"": 3, ""Purple"": 1, ""Orange"": 1, ""Amber"": 1}",{},"{""Bright Green"": 1.0, ""Purple"": 1.0, ""Orange"": 1.0, ""Amber"": 1.0}"
8,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,1.0,Bright Green,1.0,Bright Green,"Bright Green, Purple, Amber, Orange",,"{""Bright Green"": 4, ""Purple"": 1, ""Orange"": 1, ""Amber"": 1}",{},"{""Bright Green"": 1.0, ""Purple"": 1.0, ""Orange"": 1.0, ""Amber"": 1.0}"
9,Explore,Switch-After-Win,Explore+Switch-After-Win,Slate,0.0,Indigo,1.0,Bright Green,"Indigo, Bright Green, Purple, Amber, Orange",,"{""Bright Green"": 4, ""Purple"": 1, ""Orange"": 1, ""Amber"": 1, ""Indigo"": 1}",{},"{""Bright Green"": 1.0, ""Purple"": 1.0, ""Orange"": 1.0, ""Amber"": 1.0, ""Indigo"": 1.0}"
10,Exploit,Lose-Shift,Exploit+Lose-Shift,Amber,1.0,Slate,0.0,Bright Green,"Indigo, Bright Green, Purple, Amber, Orange",Slate,"{""Bright Green"": 4, ""Purple"": 1, ""Orange"": 1, ""Amber"": 1, ""Indigo"": 1}","{""Slate"": 1}","{""Bright Green"": 1.0, ""Purple"": 1.0, ""Orange"": 1.0, ""Amber"": 1.0, ""Indigo"": 1.0, ""Slate"": 0.0}"
11,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Purple,1.0,Amber,1.0,Bright Green,"Indigo, Bright Green, Purple, Amber, Orange",Slate,"{""Bright Green"": 4, ""Purple"": 1, ""Orange"": 1, ""Amber"": 2, ""Indigo"": 1}","{""Slate"": 1}","{""Bright Green"": 1.0, ""Purple"": 1.0, ""Orange"": 1.0, ""Amber"": 1.0, ""Indigo"": 1.0, ""Slate"": 0.0}"
