Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Amber,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 1}",{},"{""Amber"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,,"{""Amber"": 2}",{},"{""Amber"": 1.0}"
4,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 2}","{""Amber"": 1}","{""Amber"": 0.6666666666666666}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 3}","{""Amber"": 1}","{""Amber"": 0.75}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 4}","{""Amber"": 1}","{""Amber"": 0.8}"
7,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 4}","{""Amber"": 2}","{""Amber"": 0.6666666666666666}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 5}","{""Amber"": 2}","{""Amber"": 0.7142857142857143}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 6}","{""Amber"": 2}","{""Amber"": 0.75}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 7}","{""Amber"": 2}","{""Amber"": 0.7777777777777778}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 8}","{""Amber"": 2}","{""Amber"": 0.8}"
12,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,0.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 8}","{""Amber"": 3}","{""Amber"": 0.7272727272727273}"
13,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 8}","{""Amber"": 4}","{""Amber"": 0.6666666666666666}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 9}","{""Amber"": 4}","{""Amber"": 0.6923076923076923}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 10}","{""Amber"": 4}","{""Amber"": 0.7142857142857143}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 11}","{""Amber"": 4}","{""Amber"": 0.7333333333333333}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 12}","{""Amber"": 4}","{""Amber"": 0.75}"
18,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 12}","{""Amber"": 5}","{""Amber"": 0.7058823529411765}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 13}","{""Amber"": 5}","{""Amber"": 0.7222222222222222}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 14}","{""Amber"": 5}","{""Amber"": 0.7368421052631579}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 15}","{""Amber"": 5}","{""Amber"": 0.75}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 16}","{""Amber"": 5}","{""Amber"": 0.7619047619047619}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 17}","{""Amber"": 5}","{""Amber"": 0.7727272727272727}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 18}","{""Amber"": 5}","{""Amber"": 0.782608695652174}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 19}","{""Amber"": 5}","{""Amber"": 0.7916666666666666}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 20}","{""Amber"": 5}","{""Amber"": 0.8}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 21}","{""Amber"": 5}","{""Amber"": 0.8076923076923077}"
28,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 22}","{""Amber"": 5}","{""Amber"": 0.8148148148148148}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 23}","{""Amber"": 5}","{""Amber"": 0.8214285714285714}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 24}","{""Amber"": 5}","{""Amber"": 0.8275862068965517}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 25}","{""Amber"": 5}","{""Amber"": 0.8333333333333334}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 26}","{""Amber"": 5}","{""Amber"": 0.8387096774193549}"
33,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 26}","{""Amber"": 6}","{""Amber"": 0.8125}"
34,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 27}","{""Amber"": 6}","{""Amber"": 0.8181818181818182}"
35,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 27}","{""Amber"": 7}","{""Amber"": 0.7941176470588235}"
36,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 28}","{""Amber"": 7}","{""Amber"": 0.8}"
37,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 29}","{""Amber"": 7}","{""Amber"": 0.8055555555555556}"
38,N/A,N/A,N/A+N/A,,,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 30}","{""Amber"": 7}","{""Amber"": 0.8108108108108109}"
39,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Amber,1.0,,,Amber,Amber,Amber,"{""Amber"": 30}","{""Amber"": 7}","{""Amber"": 0.8108108108108109}"
40,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 31}","{""Amber"": 7}","{""Amber"": 0.8157894736842105}"
41,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 32}","{""Amber"": 7}","{""Amber"": 0.8205128205128205}"
42,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 33}","{""Amber"": 7}","{""Amber"": 0.825}"
43,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 34}","{""Amber"": 7}","{""Amber"": 0.8292682926829268}"
44,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 35}","{""Amber"": 7}","{""Amber"": 0.8333333333333334}"
45,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 36}","{""Amber"": 7}","{""Amber"": 0.8372093023255814}"
46,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 37}","{""Amber"": 7}","{""Amber"": 0.8409090909090909}"
47,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 38}","{""Amber"": 7}","{""Amber"": 0.8444444444444444}"
48,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 39}","{""Amber"": 7}","{""Amber"": 0.8478260869565217}"
49,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 40}","{""Amber"": 7}","{""Amber"": 0.851063829787234}"
50,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 41}","{""Amber"": 7}","{""Amber"": 0.8541666666666666}"
51,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 42}","{""Amber"": 7}","{""Amber"": 0.8571428571428571}"
52,N/A,N/A,N/A+N/A,,,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 43}","{""Amber"": 7}","{""Amber"": 0.86}"
