Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Purple,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 1}",{},"{""Purple"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 2}",{},"{""Purple"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 3}",{},"{""Purple"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 4}",{},"{""Purple"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 5}",{},"{""Purple"": 1.0}"
7,Explore,Switch-After-Win,Explore+Switch-After-Win,Slate,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 6}",{},"{""Purple"": 1.0}"
8,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,1.0,Slate,1.0,Purple,"Slate, Purple",,"{""Purple"": 6, ""Slate"": 1}",{},"{""Purple"": 1.0, ""Slate"": 1.0}"
9,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,Indigo,1.0,Purple,"Indigo, Slate, Purple",,"{""Purple"": 6, ""Slate"": 1, ""Indigo"": 1}",{},"{""Purple"": 1.0, ""Slate"": 1.0, ""Indigo"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Purple,"Indigo, Slate, Purple, Pink",,"{""Purple"": 6, ""Slate"": 1, ""Indigo"": 1, ""Pink"": 1}",{},"{""Purple"": 1.0, ""Slate"": 1.0, ""Indigo"": 1.0, ""Pink"": 1.0}"
11,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,1.0,Pink,1.0,Purple,"Indigo, Slate, Purple, Pink",,"{""Purple"": 6, ""Slate"": 1, ""Indigo"": 1, ""Pink"": 2}",{},"{""Purple"": 1.0, ""Slate"": 1.0, ""Indigo"": 1.0, ""Pink"": 1.0}"
12,Explore,Switch-After-Win,Explore+Switch-After-Win,Orange,1.0,Sky Blue,1.0,Purple,"Indigo, Sky Blue, Pink, Slate, Purple",,"{""Purple"": 6, ""Slate"": 1, ""Indigo"": 1, ""Pink"": 2, ""Sky Blue"": 1}",{},"{""Purple"": 1.0, ""Slate"": 1.0, ""Indigo"": 1.0, ""Pink"": 1.0, ""Sky Blue"": 1.0}"
13,Explore,Switch-After-Win,Explore+Switch-After-Win,Black,0.0,Orange,1.0,Purple,"Indigo, Sky Blue, Pink, Slate, Purple, Orange",,"{""Purple"": 6, ""Slate"": 1, ""Indigo"": 1, ""Pink"": 2, ""Sky Blue"": 1, ""Orange"": 1}",{},"{""Purple"": 1.0, ""Slate"": 1.0, ""Indigo"": 1.0, ""Pink"": 1.0, ""Sky Blue"": 1.0, ""Orange"": 1.0}"
