Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,0.0,,,,,,{},{},{}
2,Explore,Lose-Shift,Explore+Lose-Shift,Pink,1.0,Sky Blue,0.0,,Sky Blue,Sky Blue,{},"{""Sky Blue"": 1}","{""Sky Blue"": 0.0}"
3,N/A,N/A,N/A+N/A,,,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 1}","{""Sky Blue"": 1}","{""Sky Blue"": 0.0, ""Pink"": 1.0}"
4,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Pink,1.0,,,Pink,Pink,Sky Blue,"{""Pink"": 1}","{""Sky Blue"": 1}","{""Sky Blue"": 0.0, ""Pink"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 2}","{""Sky Blue"": 1}","{""Sky Blue"": 0.0, ""Pink"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 3}","{""Sky Blue"": 1}","{""Sky Blue"": 0.0, ""Pink"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 4}","{""Sky Blue"": 1}","{""Sky Blue"": 0.0, ""Pink"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 5}","{""Sky Blue"": 1}","{""Sky Blue"": 0.0, ""Pink"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Pink,0.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 6}","{""Sky Blue"": 1}","{""Sky Blue"": 0.0, ""Pink"": 1.0}"
10,Exploit,Lose-Stay,Exploit+Lose-Stay,Pink,1.0,Pink,0.0,Pink,Pink,"Pink, Sky Blue","{""Pink"": 6}","{""Sky Blue"": 1, ""Pink"": 1}","{""Sky Blue"": 0.0, ""Pink"": 0.8571428571428571}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Pink, Sky Blue","{""Pink"": 7}","{""Sky Blue"": 1, ""Pink"": 1}","{""Sky Blue"": 0.0, ""Pink"": 0.875}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Pink, Sky Blue","{""Pink"": 8}","{""Sky Blue"": 1, ""Pink"": 1}","{""Sky Blue"": 0.0, ""Pink"": 0.8888888888888888}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Pink, Sky Blue","{""Pink"": 9}","{""Sky Blue"": 1, ""Pink"": 1}","{""Sky Blue"": 0.0, ""Pink"": 0.9}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Pink, Sky Blue","{""Pink"": 10}","{""Sky Blue"": 1, ""Pink"": 1}","{""Sky Blue"": 0.0, ""Pink"": 0.9090909090909091}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Pink, Sky Blue","{""Pink"": 11}","{""Sky Blue"": 1, ""Pink"": 1}","{""Sky Blue"": 0.0, ""Pink"": 0.9166666666666666}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Pink,0.0,Pink,1.0,Pink,Pink,"Pink, Sky Blue","{""Pink"": 12}","{""Sky Blue"": 1, ""Pink"": 1}","{""Sky Blue"": 0.0, ""Pink"": 0.9230769230769231}"
17,Exploit,Lose-Stay,Exploit+Lose-Stay,Pink,1.0,Pink,0.0,Pink,Pink,Sky Blue,"{""Pink"": 12}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.8571428571428571}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 13}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.8666666666666667}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 14}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.875}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 15}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.8823529411764706}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 16}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.8888888888888888}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 17}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.8947368421052632}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 18}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 19}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9047619047619048}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 20}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9090909090909091}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 21}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9130434782608695}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 22}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9166666666666666}"
28,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 23}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.92}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 24}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9230769230769231}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 25}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9259259259259259}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 26}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9285714285714286}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 27}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9310344827586207}"
33,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 28}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9333333333333333}"
34,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 29}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9354838709677419}"
35,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 30}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9375}"
36,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 31}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9393939393939394}"
37,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 32}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9411764705882353}"
38,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 33}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9428571428571428}"
39,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 34}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9444444444444444}"
40,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Sky Blue,"{""Pink"": 35}","{""Sky Blue"": 1, ""Pink"": 2}","{""Sky Blue"": 0.0, ""Pink"": 0.9459459459459459}"
