Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,,"{""Pink"": 1}",{},"{""Pink"": 1.0}"
3,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,0.0,Pink,1.0,Pink,Pink,,"{""Pink"": 2}",{},"{""Pink"": 1.0}"
4,Exploit,Lose-Shift,Exploit+Lose-Shift,Pink,1.0,Indigo,0.0,Pink,Pink,Indigo,"{""Pink"": 2}","{""Indigo"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Indigo,"{""Pink"": 3}","{""Indigo"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Indigo,"{""Pink"": 4}","{""Indigo"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Indigo,"{""Pink"": 5}","{""Indigo"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Indigo,"{""Pink"": 6}","{""Indigo"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0}"
9,Explore,Switch-After-Win,Explore+Switch-After-Win,Purple,1.0,Pink,1.0,Pink,Pink,Indigo,"{""Pink"": 7}","{""Indigo"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Purple,0.0,Purple,1.0,Pink,"Purple, Pink",Indigo,"{""Pink"": 7, ""Purple"": 1}","{""Indigo"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 1.0}"
11,Exploit,Lose-Shift,Exploit+Lose-Shift,Pink,1.0,Purple,0.0,Pink,Pink,"Indigo, Purple","{""Pink"": 7, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 8, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 9, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 10, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 11, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 12, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 13, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 14, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 15, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 16, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 17, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 18, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 19, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 20, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 21, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 22, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 23, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
28,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 24, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 25, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 26, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Pink,0.0,Pink,1.0,Pink,Pink,"Indigo, Purple","{""Pink"": 27, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1}","{""Pink"": 1.0, ""Indigo"": 0.0, ""Purple"": 0.5}"
32,Exploit,Lose-Stay,Exploit+Lose-Stay,Pink,1.0,Pink,0.0,Pink,Pink,"Indigo, Purple, Pink","{""Pink"": 27, ""Purple"": 1}","{""Indigo"": 1, ""Purple"": 1, ""Pink"": 1}","{""Pink"": 0.9642857142857143, ""Indigo"": 0.0, ""Purple"": 0.5}"
