Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Slate,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Slate,0.0,Slate,1.0,Slate,Slate,,"{""Slate"": 1}",{},"{""Slate"": 1.0}"
3,Exploit,Lose-Stay,Exploit+Lose-Stay,Slate,1.0,Slate,0.0,Slate,Slate,Slate,"{""Slate"": 1}","{""Slate"": 1}","{""Slate"": 0.5}"
4,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,Slate,1.0,Slate,Slate,Slate,"{""Slate"": 2}","{""Slate"": 1}","{""Slate"": 0.6666666666666666}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Slate,Pink,Slate,"{""Slate"": 2, ""Pink"": 1}","{""Slate"": 1}","{""Slate"": 0.6666666666666666, ""Pink"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Pink,0.0,Pink,1.0,"Slate, Pink",Pink,Slate,"{""Slate"": 2, ""Pink"": 2}","{""Slate"": 1}","{""Slate"": 0.6666666666666666, ""Pink"": 1.0}"
7,Exploit,Lose-Stay,Exploit+Lose-Stay,Pink,1.0,Pink,0.0,"Slate, Pink","Slate, Pink","Slate, Pink","{""Slate"": 2, ""Pink"": 2}","{""Slate"": 1, ""Pink"": 1}","{""Slate"": 0.6666666666666666, ""Pink"": 0.6666666666666666}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Slate, Pink","{""Slate"": 2, ""Pink"": 3}","{""Slate"": 1, ""Pink"": 1}","{""Slate"": 0.6666666666666666, ""Pink"": 0.75}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Slate, Pink","{""Slate"": 2, ""Pink"": 4}","{""Slate"": 1, ""Pink"": 1}","{""Slate"": 0.6666666666666666, ""Pink"": 0.8}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Slate, Pink","{""Slate"": 2, ""Pink"": 5}","{""Slate"": 1, ""Pink"": 1}","{""Slate"": 0.6666666666666666, ""Pink"": 0.8333333333333334}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Slate, Pink","{""Slate"": 2, ""Pink"": 6}","{""Slate"": 1, ""Pink"": 1}","{""Slate"": 0.6666666666666666, ""Pink"": 0.8571428571428571}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Slate, Pink","{""Slate"": 2, ""Pink"": 7}","{""Slate"": 1, ""Pink"": 1}","{""Slate"": 0.6666666666666666, ""Pink"": 0.875}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Slate, Pink","{""Slate"": 2, ""Pink"": 8}","{""Slate"": 1, ""Pink"": 1}","{""Slate"": 0.6666666666666666, ""Pink"": 0.8888888888888888}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Slate, Pink","{""Slate"": 2, ""Pink"": 9}","{""Slate"": 1, ""Pink"": 1}","{""Slate"": 0.6666666666666666, ""Pink"": 0.9}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Slate, Pink","{""Slate"": 2, ""Pink"": 10}","{""Slate"": 1, ""Pink"": 1}","{""Slate"": 0.6666666666666666, ""Pink"": 0.9090909090909091}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Slate, Pink","{""Slate"": 2, ""Pink"": 11}","{""Slate"": 1, ""Pink"": 1}","{""Slate"": 0.6666666666666666, ""Pink"": 0.9166666666666666}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,"Slate, Pink","{""Slate"": 2, ""Pink"": 12}","{""Slate"": 1, ""Pink"": 1}","{""Slate"": 0.6666666666666666, ""Pink"": 0.9230769230769231}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Pink,0.0,Pink,1.0,Pink,Pink,"Slate, Pink","{""Slate"": 2, ""Pink"": 13}","{""Slate"": 1, ""Pink"": 1}","{""Slate"": 0.6666666666666666, ""Pink"": 0.9285714285714286}"
19,Exploit,Lose-Stay,Exploit+Lose-Stay,Pink,1.0,Pink,0.0,Pink,Pink,Slate,"{""Slate"": 2, ""Pink"": 13}","{""Slate"": 1, ""Pink"": 2}","{""Slate"": 0.6666666666666666, ""Pink"": 0.8666666666666667}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Slate,"{""Slate"": 2, ""Pink"": 14}","{""Slate"": 1, ""Pink"": 2}","{""Slate"": 0.6666666666666666, ""Pink"": 0.875}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Slate,"{""Slate"": 2, ""Pink"": 15}","{""Slate"": 1, ""Pink"": 2}","{""Slate"": 0.6666666666666666, ""Pink"": 0.8823529411764706}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Slate,"{""Slate"": 2, ""Pink"": 16}","{""Slate"": 1, ""Pink"": 2}","{""Slate"": 0.6666666666666666, ""Pink"": 0.8888888888888888}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Slate,"{""Slate"": 2, ""Pink"": 17}","{""Slate"": 1, ""Pink"": 2}","{""Slate"": 0.6666666666666666, ""Pink"": 0.8947368421052632}"
