Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Orange,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,,"{""Orange"": 1}",{},"{""Orange"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,,"{""Orange"": 2}",{},"{""Orange"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,,"{""Orange"": 3}",{},"{""Orange"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,,"{""Orange"": 4}",{},"{""Orange"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,,"{""Orange"": 5}",{},"{""Orange"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Orange,0.0,Orange,1.0,Orange,Orange,,"{""Orange"": 6}",{},"{""Orange"": 1.0}"
8,Exploit,Lose-Stay,Exploit+Lose-Stay,Orange,1.0,Orange,0.0,Orange,Orange,Orange,"{""Orange"": 6}","{""Orange"": 1}","{""Orange"": 0.8571428571428571}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Orange,"{""Orange"": 7}","{""Orange"": 1}","{""Orange"": 0.875}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Orange,"{""Orange"": 8}","{""Orange"": 1}","{""Orange"": 0.8888888888888888}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Orange,"{""Orange"": 9}","{""Orange"": 1}","{""Orange"": 0.9}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Orange,"{""Orange"": 10}","{""Orange"": 1}","{""Orange"": 0.9090909090909091}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Orange,"{""Orange"": 11}","{""Orange"": 1}","{""Orange"": 0.9166666666666666}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Orange,"{""Orange"": 12}","{""Orange"": 1}","{""Orange"": 0.9230769230769231}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Orange,"{""Orange"": 13}","{""Orange"": 1}","{""Orange"": 0.9285714285714286}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Orange,"{""Orange"": 14}","{""Orange"": 1}","{""Orange"": 0.9333333333333333}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Orange,"{""Orange"": 15}","{""Orange"": 1}","{""Orange"": 0.9375}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Orange,"{""Orange"": 16}","{""Orange"": 1}","{""Orange"": 0.9411764705882353}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Orange,1.0,Orange,1.0,Orange,Orange,Orange,"{""Orange"": 17}","{""Orange"": 1}","{""Orange"": 0.9444444444444444}"
