id,batchID,batchIDLastChangedAt,chatEnabled,chatEnabledLastChangedAt,ended,endedLastChangedAt,flag,flagLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,isTutorial,isTutorialLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01JVR98DF876H8TK173Y3VA2NN,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.144590456Z,false,2025-05-21T02:02:47.144590456Z,true,2025-05-21T02:06:38.802281712Z,true,2025-05-21T02:02:47.144590456Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.144590456Z,10,2025-05-21T02:02:47.144590456Z,false,2025-05-21T02:02:47.144590456Z,Non-Communication Round 9,2025-05-21T02:02:47.144590456Z,1,2025-05-21T02:02:47.447831058Z,true,2025-05-21T02:06:32.60235054Z
01JVR98DGWAFSD48AR6VW06GMQ,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.196619048Z,false,2025-05-21T02:02:47.196619048Z,true,2025-05-21T02:12:02.543714473Z,true,2025-05-21T02:02:47.196619048Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.196619048Z,44,2025-05-21T02:02:47.196619048Z,false,2025-05-21T02:02:47.196619048Z,Non-Communication Round 43,2025-05-21T02:02:47.196619048Z,1,2025-05-21T02:02:48.006709242Z,true,2025-05-21T02:11:53.385234621Z
01JVR98DF5B2MB84F6K3WE0FAT,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.141549734Z,false,2025-05-21T02:02:47.141549734Z,true,2025-05-21T02:08:06.635022881Z,true,2025-05-21T02:02:47.141549734Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.141549734Z,22,2025-05-21T02:02:47.141549734Z,false,2025-05-21T02:02:47.141549734Z,Non-Communication Round 21,2025-05-21T02:02:47.141549734Z,1,2025-05-21T02:02:47.626228189Z,true,2025-05-21T02:08:00.408411927Z
01JVR98DF7Q4FZKSHRST4W3K37,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.1435982Z,false,2025-05-21T02:02:47.1435982Z,true,2025-05-21T02:09:36.875198769Z,true,2025-05-21T02:02:47.1435982Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.1435982Z,35,2025-05-21T02:02:47.1435982Z,false,2025-05-21T02:02:47.1435982Z,Non-Communication Round 34,2025-05-21T02:02:47.1435982Z,1,2025-05-21T02:02:47.837841073Z,true,2025-05-21T02:09:29.310363886Z
01JVR98DF2JQEC26SYZZ25ME0S,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.138898378Z,false,2025-05-21T02:02:47.138898378Z,true,2025-05-21T02:07:45.068428053Z,true,2025-05-21T02:02:47.138898378Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.138898378Z,19,2025-05-21T02:02:47.138898378Z,false,2025-05-21T02:02:47.138898378Z,Non-Communication Round 18,2025-05-21T02:02:47.138898378Z,1,2025-05-21T02:02:47.596852799Z,true,2025-05-21T02:07:40.380575215Z
01JVR98DGZ4J4A3QYP5698QCKA,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.199931015Z,false,2025-05-21T02:02:47.199931015Z,true,2025-05-21T02:16:16.210916653Z,,,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.199931015Z,52,2025-05-21T02:02:47.199931015Z,,,Post-Survey,2025-05-21T02:02:47.199931015Z,1,2025-05-21T02:02:48.149782044Z,true,2025-05-21T02:12:55.988606999Z
01JVR98DFFBCEAHS37MT1NNGXS,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.151228464Z,false,2025-05-21T02:02:47.151228464Z,true,2025-05-21T02:07:01.294199291Z,true,2025-05-21T02:02:47.151228464Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.151228464Z,13,2025-05-21T02:02:47.151228464Z,false,2025-05-21T02:02:47.151228464Z,Non-Communication Round 12,2025-05-21T02:02:47.151228464Z,1,2025-05-21T02:02:47.503685516Z,true,2025-05-21T02:06:51.230759341Z
01JVR98DFGSMS5MSFQPP8MJ5FV,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.156677899Z,false,2025-05-21T02:02:47.156677899Z,true,2025-05-21T02:06:05.154351312Z,true,2025-05-21T02:02:47.156677899Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.156677899Z,7,2025-05-21T02:02:47.156677899Z,false,2025-05-21T02:02:47.156677899Z,Non-Communication Round 6,2025-05-21T02:02:47.156677899Z,1,2025-05-21T02:02:47.401009533Z,true,2025-05-21T02:05:50.835458016Z
01JVR98DG9XMB0C2EDXHQC1E2C,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.177746947Z,false,2025-05-21T02:02:47.177746947Z,true,2025-05-21T02:09:15.616420297Z,true,2025-05-21T02:02:47.177746947Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.177746947Z,32,2025-05-21T02:02:47.177746947Z,false,2025-05-21T02:02:47.177746947Z,Non-Communication Round 31,2025-05-21T02:02:47.177746947Z,1,2025-05-21T02:02:47.788881695Z,true,2025-05-21T02:09:10.342258069Z
01JVR98DGBNKDQCY00M0DG6MBZ,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.17941041Z,false,2025-05-21T02:02:47.17941041Z,true,2025-05-21T02:10:17.380172821Z,true,2025-05-21T02:02:47.17941041Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.17941041Z,37,2025-05-21T02:02:47.17941041Z,false,2025-05-21T02:02:47.17941041Z,Non-Communication Round 36,2025-05-21T02:02:47.17941041Z,1,2025-05-21T02:02:47.873259608Z,true,2025-05-21T02:09:55.144183815Z
01JVR98DGNETJ1F4R2CTEW829X,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.189189341Z,false,2025-05-21T02:02:47.189189341Z,true,2025-05-21T02:12:08.339371739Z,true,2025-05-21T02:02:47.189189341Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.189189341Z,45,2025-05-21T02:02:47.189189341Z,false,2025-05-21T02:02:47.189189341Z,Non-Communication Round 44,2025-05-21T02:02:47.189189341Z,1,2025-05-21T02:02:48.028627812Z,true,2025-05-21T02:12:02.581182989Z
01JVR98DF1T66XEZPG7V0067R1,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.137689248Z,false,2025-05-21T02:02:47.137689248Z,true,2025-05-21T02:05:50.817602651Z,true,2025-05-21T02:02:47.137689248Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.137689248Z,6,2025-05-21T02:02:47.137689248Z,false,2025-05-21T02:02:47.137689248Z,Non-Communication Round 5,2025-05-21T02:02:47.137689248Z,1,2025-05-21T02:02:47.385454835Z,true,2025-05-21T02:05:40.026300827Z
01JVR98DF356ACYK8ZAFJ934KC,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.139342789Z,false,2025-05-21T02:02:47.139342789Z,true,2025-05-21T02:07:06.720136349Z,true,2025-05-21T02:02:47.139342789Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.139342789Z,14,2025-05-21T02:02:47.139342789Z,false,2025-05-21T02:02:47.139342789Z,Non-Communication Round 13,2025-05-21T02:02:47.139342789Z,1,2025-05-21T02:02:47.522557207Z,true,2025-05-21T02:07:01.324601762Z
01JVR98DFTBRKP0FZQATWM5SAQ,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.162943525Z,false,2025-05-21T02:02:47.162943525Z,true,2025-05-21T02:08:19.79378411Z,true,2025-05-21T02:02:47.162943525Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.162943525Z,24,2025-05-21T02:02:47.162943525Z,false,2025-05-21T02:02:47.162943525Z,Non-Communication Round 23,2025-05-21T02:02:47.162943525Z,1,2025-05-21T02:02:47.678183909Z,true,2025-05-21T02:08:13.206605183Z
01JVR98DGJR40SHTNMKK4M6P67,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.186548474Z,false,2025-05-21T02:02:47.186548474Z,true,2025-05-21T02:11:30.085229411Z,true,2025-05-21T02:02:47.186548474Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.186548474Z,41,2025-05-21T02:02:47.186548474Z,false,2025-05-21T02:02:47.186548474Z,Non-Communication Round 40,2025-05-21T02:02:47.186548474Z,1,2025-05-21T02:02:47.948137816Z,true,2025-05-21T02:11:19.245561602Z
01JVR98DF455CB2T6WJS47N7RT,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.140745341Z,false,2025-05-21T02:02:47.140745341Z,true,2025-05-21T02:08:13.164699362Z,true,2025-05-21T02:02:47.140745341Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.140745341Z,23,2025-05-21T02:02:47.140745341Z,false,2025-05-21T02:02:47.140745341Z,Non-Communication Round 22,2025-05-21T02:02:47.140745341Z,1,2025-05-21T02:02:47.666689012Z,true,2025-05-21T02:08:06.666354264Z
01JVR98DF608VVBVFRQKD29YXC,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.142587782Z,false,2025-05-21T02:02:47.142587782Z,true,2025-05-21T02:09:55.11685455Z,true,2025-05-21T02:02:47.142587782Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.142587782Z,36,2025-05-21T02:02:47.142587782Z,false,2025-05-21T02:02:47.142587782Z,Non-Communication Round 35,2025-05-21T02:02:47.142587782Z,1,2025-05-21T02:02:47.860793137Z,true,2025-05-21T02:09:36.911697891Z
01JVR98DFRHKTFKPHRW00NRWQ0,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.160207783Z,false,2025-05-21T02:02:47.160207783Z,true,2025-05-21T02:07:53.860180606Z,true,2025-05-21T02:02:47.160207783Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.160207783Z,20,2025-05-21T02:02:47.160207783Z,false,2025-05-21T02:02:47.160207783Z,Non-Communication Round 19,2025-05-21T02:02:47.160207783Z,1,2025-05-21T02:02:47.606683864Z,true,2025-05-21T02:07:45.104433702Z
01JVR98DFRHKTFKPHRWXSEFQNQ,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.160957425Z,false,2025-05-21T02:02:47.160957425Z,true,2025-05-21T02:07:17.9633876Z,true,2025-05-21T02:02:47.160957425Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.160957425Z,15,2025-05-21T02:02:47.160957425Z,false,2025-05-21T02:02:47.160957425Z,Non-Communication Round 14,2025-05-21T02:02:47.160957425Z,1,2025-05-21T02:02:47.533062913Z,true,2025-05-21T02:07:06.746296705Z
01JVR98DF5B2MB84F6J9EDJDK3,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.141126307Z,false,2025-05-21T02:02:47.141126307Z,true,2025-05-21T02:08:51.240712087Z,true,2025-05-21T02:02:47.141126307Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.141126307Z,29,2025-05-21T02:02:47.141126307Z,false,2025-05-21T02:02:47.141126307Z,Non-Communication Round 28,2025-05-21T02:02:47.141126307Z,1,2025-05-21T02:02:47.755860211Z,true,2025-05-21T02:08:44.648411332Z
