id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JVR98DYY2736XH7NXJA9GY13,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.646646828Z,30,2025-05-21T02:02:47.646646828Z,true,2025-05-21T02:08:13.145653327Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.646646828Z,0,2025-05-21T02:02:47.646646828Z,true,2025-05-21T02:08:06.776060287Z,choice,2025-05-21T02:02:47.646646828Z,01JVR98DF455CB2T6WJS47N7RT,2025-05-21T02:02:47.646646828Z,true,2025-05-21T02:08:06.719725386Z,true,2025-05-21T02:08:06.806804312Z,01JVR98DYR7SB88QWH6R20P8F8,2025-05-21T02:02:47.646646828Z
01JVR98DZTNHV0168YZQDKWNX5,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.67443624Z,30,2025-05-21T02:02:47.67443624Z,true,2025-05-21T02:08:19.774817242Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.67443624Z,0,2025-05-21T02:02:47.67443624Z,true,2025-05-21T02:08:13.316938493Z,choice,2025-05-21T02:02:47.67443624Z,01JVR98DFTBRKP0FZQATWM5SAQ,2025-05-21T02:02:47.67443624Z,true,2025-05-21T02:08:13.25926082Z,true,2025-05-21T02:08:13.339164171Z,01JVR98DZQBN93EN46JEB34DG8,2025-05-21T02:02:47.67443624Z
01JVR98EDQPEHRW5RXNCTSHFVM,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:48.119365725Z,30,2025-05-21T02:02:48.119365725Z,true,2025-05-21T02:12:55.925451696Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:48.119365725Z,0,2025-05-21T02:02:48.119365725Z,true,2025-05-21T02:12:46.207439919Z,choice,2025-05-21T02:02:48.119365725Z,01JVR98DGX7J3QBDWA8EQ0564P,2025-05-21T02:02:48.119365725Z,true,2025-05-21T02:12:46.135171914Z,true,2025-05-21T02:12:46.237425347Z,01JVR98EDMATYGRM021H1RC5Z9,2025-05-21T02:02:48.119365725Z
01JVR98DTXRVKF465SH25Q7YPR,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.517241241Z,30,2025-05-21T02:02:47.517241241Z,true,2025-05-21T02:07:06.69962869Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.517241241Z,0,2025-05-21T02:02:47.517241241Z,true,2025-05-21T02:07:01.489475819Z,choice,2025-05-21T02:02:47.517241241Z,01JVR98DF356ACYK8ZAFJ934KC,2025-05-21T02:02:47.517241241Z,true,2025-05-21T02:07:01.406807884Z,true,2025-05-21T02:07:01.51698977Z,01JVR98DTN26DCJP60TF888QFQ,2025-05-21T02:02:47.517241241Z
01JVR98DWXBR7KMJGNF8JCS51S,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.581328078Z,30,2025-05-21T02:02:47.581328078Z,true,2025-05-21T02:07:40.334911913Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.581328078Z,0,2025-05-21T02:02:47.581328078Z,true,2025-05-21T02:07:35.142098213Z,choice,2025-05-21T02:02:47.581328078Z,01JVR98DFNS1EG0Z6273JH3S4F,2025-05-21T02:02:47.581328078Z,true,2025-05-21T02:07:35.093252822Z,true,2025-05-21T02:07:35.167690297Z,01JVR98DWTFYQXSN80JFB7Z5X4,2025-05-21T02:02:47.581328078Z
01JVR98DXW3J5KBX28EDTN1QXP,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.612303651Z,30,2025-05-21T02:02:47.612303651Z,true,2025-05-21T02:08:00.340782777Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.612303651Z,0,2025-05-21T02:02:47.612303651Z,true,2025-05-21T02:07:54.021819682Z,choice,2025-05-21T02:02:47.612303651Z,01JVR98DF356ACYK8ZB60P3SV4,2025-05-21T02:02:47.612303651Z,true,2025-05-21T02:07:53.962690066Z,true,2025-05-21T02:07:54.040793175Z,01JVR98DXSVATSBKZD5Z95FVN7,2025-05-21T02:02:47.612303651Z
01JVR98DY6JW4P6XPA15DEBWCE,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.62248939Z,30,2025-05-21T02:02:47.62248939Z,true,2025-05-21T02:08:06.614558832Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.62248939Z,0,2025-05-21T02:02:47.62248939Z,true,2025-05-21T02:08:00.553448667Z,choice,2025-05-21T02:02:47.62248939Z,01JVR98DF5B2MB84F6K3WE0FAT,2025-05-21T02:02:47.62248939Z,true,2025-05-21T02:08:00.480381049Z,true,2025-05-21T02:08:00.572690515Z,01JVR98DY3Q8ZJF14M9KM3A7PG,2025-05-21T02:02:47.62248939Z
01JVR98E3KTN5M3Y2ZATV9HTA8,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.795824928Z,30,2025-05-21T02:02:47.795824928Z,true,2025-05-21T02:09:23.140274515Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.795824928Z,0,2025-05-21T02:02:47.795824928Z,true,2025-05-21T02:09:15.809229796Z,choice,2025-05-21T02:02:47.795824928Z,01JVR98DGA50YK3YM3D75XXJY8,2025-05-21T02:02:47.795824928Z,true,2025-05-21T02:09:15.724687345Z,true,2025-05-21T02:09:15.84267672Z,01JVR98E3GH1YGKEXF0967FAXX,2025-05-21T02:02:47.795824928Z
01JVR98E8KW29M5876EYJEXA02,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.955996245Z,30,2025-05-21T02:02:47.955996245Z,true,2025-05-21T02:11:47.060871947Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.955996245Z,0,2025-05-21T02:02:47.955996245Z,true,2025-05-21T02:11:30.265491406Z,choice,2025-05-21T02:02:47.955996245Z,01JVR98DGK1GP3KSNHQ2Q05792,2025-05-21T02:02:47.955996245Z,true,2025-05-21T02:11:30.180918772Z,true,2025-05-21T02:11:30.286765032Z,01JVR98E8G9PD4MF0D7EKFHDJF,2025-05-21T02:02:47.955996245Z
01JVR98DKQB94RNF2FKPWKMFFH,01JVR91T163G5R5N813R5WVHQJ,2025-05-21T02:02:47.287059054Z,60,2025-05-21T02:02:47.287059054Z,true,2025-05-21T02:04:20.528324564Z,01JVR91T1XEP3CKQP9TA76QDK4,2025-05-21T02:02:47.287059054Z,0,2025-05-21T02:02:47.287059054Z,true,2025-05-21T02:03:51.041379586Z,choice,2025-05-21T02:02:47.287059054Z,01JVR98DEYNY11Y2R0W6MK2SGG,2025-05-21T02:02:47.287059054Z,true,2025-05-21T02:03:50.991511553Z,true,2025-05-21T02:03:51.055780965Z,01JVR98DKKFV8KQJKWGNJ9GH7H,2025-05-21T02:02:47.287059054Z
