Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Crimson,1.0,,,,,,{},{},{}
2,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 1}",{},"{""Crimson"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,"Crimson, Sky Blue","Crimson, Sky Blue",,"{""Crimson"": 1, ""Sky Blue"": 1}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,"Crimson, Sky Blue",,"{""Crimson"": 1, ""Sky Blue"": 2}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0}"
5,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Crimson,1.0,Sky Blue,1.0,Sky Blue,"Crimson, Sky Blue",,"{""Crimson"": 1, ""Sky Blue"": 3}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0}"
6,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,1.0,Crimson,1.0,Sky Blue,"Crimson, Sky Blue",,"{""Crimson"": 2, ""Sky Blue"": 3}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0}"
7,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Sky Blue,1.0,Bright Green,1.0,Sky Blue,"Crimson, Bright Green, Sky Blue",,"{""Crimson"": 2, ""Sky Blue"": 3, ""Bright Green"": 1}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0, ""Bright Green"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,"Crimson, Bright Green, Sky Blue",,"{""Crimson"": 2, ""Sky Blue"": 4, ""Bright Green"": 1}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0, ""Bright Green"": 1.0}"
9,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Crimson,1.0,Sky Blue,1.0,Sky Blue,"Crimson, Bright Green, Sky Blue",,"{""Crimson"": 2, ""Sky Blue"": 5, ""Bright Green"": 1}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0, ""Bright Green"": 1.0}"
10,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Sky Blue,1.0,Crimson,1.0,Sky Blue,"Crimson, Bright Green, Sky Blue",,"{""Crimson"": 3, ""Sky Blue"": 5, ""Bright Green"": 1}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0, ""Bright Green"": 1.0}"
11,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Bright Green,1.0,Sky Blue,1.0,Sky Blue,"Crimson, Bright Green, Sky Blue",,"{""Crimson"": 3, ""Sky Blue"": 6, ""Bright Green"": 1}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0, ""Bright Green"": 1.0}"
12,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Sky Blue,1.0,Bright Green,1.0,Sky Blue,"Crimson, Bright Green, Sky Blue",,"{""Crimson"": 3, ""Sky Blue"": 6, ""Bright Green"": 2}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0, ""Bright Green"": 1.0}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,"Crimson, Bright Green, Sky Blue",,"{""Crimson"": 3, ""Sky Blue"": 7, ""Bright Green"": 2}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0, ""Bright Green"": 1.0}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,"Crimson, Bright Green, Sky Blue",,"{""Crimson"": 3, ""Sky Blue"": 8, ""Bright Green"": 2}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0, ""Bright Green"": 1.0}"
15,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Crimson,1.0,Sky Blue,1.0,Sky Blue,"Crimson, Bright Green, Sky Blue",,"{""Crimson"": 3, ""Sky Blue"": 9, ""Bright Green"": 2}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0, ""Bright Green"": 1.0}"
16,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Sky Blue,1.0,Crimson,1.0,Sky Blue,"Crimson, Bright Green, Sky Blue",,"{""Crimson"": 4, ""Sky Blue"": 9, ""Bright Green"": 2}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0, ""Bright Green"": 1.0}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,"Crimson, Bright Green, Sky Blue",,"{""Crimson"": 4, ""Sky Blue"": 10, ""Bright Green"": 2}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0, ""Bright Green"": 1.0}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,"Crimson, Bright Green, Sky Blue",,"{""Crimson"": 4, ""Sky Blue"": 11, ""Bright Green"": 2}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0, ""Bright Green"": 1.0}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,0.0,Sky Blue,1.0,Sky Blue,"Crimson, Bright Green, Sky Blue",,"{""Crimson"": 4, ""Sky Blue"": 12, ""Bright Green"": 2}",{},"{""Crimson"": 1.0, ""Sky Blue"": 1.0, ""Bright Green"": 1.0}"
20,Exploit,Lose-Stay,Exploit+Lose-Stay,Sky Blue,1.0,Sky Blue,0.0,Sky Blue,"Crimson, Bright Green",Sky Blue,"{""Crimson"": 4, ""Sky Blue"": 12, ""Bright Green"": 2}","{""Sky Blue"": 1}","{""Crimson"": 1.0, ""Sky Blue"": 0.9230769230769231, ""Bright Green"": 1.0}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,"Crimson, Bright Green",Sky Blue,"{""Crimson"": 4, ""Sky Blue"": 13, ""Bright Green"": 2}","{""Sky Blue"": 1}","{""Crimson"": 1.0, ""Sky Blue"": 0.9285714285714286, ""Bright Green"": 1.0}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,"Crimson, Bright Green",Sky Blue,"{""Crimson"": 4, ""Sky Blue"": 14, ""Bright Green"": 2}","{""Sky Blue"": 1}","{""Crimson"": 1.0, ""Sky Blue"": 0.9333333333333333, ""Bright Green"": 1.0}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,0.0,Sky Blue,1.0,Sky Blue,"Crimson, Bright Green",Sky Blue,"{""Crimson"": 4, ""Sky Blue"": 15, ""Bright Green"": 2}","{""Sky Blue"": 1}","{""Crimson"": 1.0, ""Sky Blue"": 0.9375, ""Bright Green"": 1.0}"
24,Exploit,Lose-Stay,Exploit+Lose-Stay,Sky Blue,1.0,Sky Blue,0.0,Sky Blue,"Crimson, Bright Green",Sky Blue,"{""Crimson"": 4, ""Sky Blue"": 15, ""Bright Green"": 2}","{""Sky Blue"": 2}","{""Crimson"": 1.0, ""Sky Blue"": 0.8823529411764706, ""Bright Green"": 1.0}"
25,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Crimson,0.0,Sky Blue,1.0,Sky Blue,"Crimson, Bright Green",Sky Blue,"{""Crimson"": 4, ""Sky Blue"": 16, ""Bright Green"": 2}","{""Sky Blue"": 2}","{""Crimson"": 1.0, ""Sky Blue"": 0.8888888888888888, ""Bright Green"": 1.0}"
26,Exploit,Lose-Shift,Exploit+Lose-Shift,Sky Blue,1.0,Crimson,0.0,Sky Blue,Bright Green,Crimson,"{""Crimson"": 4, ""Sky Blue"": 16, ""Bright Green"": 2}","{""Sky Blue"": 2, ""Crimson"": 1}","{""Crimson"": 0.8, ""Sky Blue"": 0.8888888888888888, ""Bright Green"": 1.0}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Bright Green,Crimson,"{""Crimson"": 4, ""Sky Blue"": 17, ""Bright Green"": 2}","{""Sky Blue"": 2, ""Crimson"": 1}","{""Crimson"": 0.8, ""Sky Blue"": 0.8947368421052632, ""Bright Green"": 1.0}"
28,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Crimson,1.0,Sky Blue,1.0,Sky Blue,Bright Green,Crimson,"{""Crimson"": 4, ""Sky Blue"": 18, ""Bright Green"": 2}","{""Sky Blue"": 2, ""Crimson"": 1}","{""Crimson"": 0.8, ""Sky Blue"": 0.9, ""Bright Green"": 1.0}"
29,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Bright Green,1.0,Crimson,1.0,Sky Blue,Bright Green,Crimson,"{""Crimson"": 5, ""Sky Blue"": 18, ""Bright Green"": 2}","{""Sky Blue"": 2, ""Crimson"": 1}","{""Crimson"": 0.8333333333333334, ""Sky Blue"": 0.9, ""Bright Green"": 1.0}"
