Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 1}",{},"{""Bright Green"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 2}",{},"{""Bright Green"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 3}",{},"{""Bright Green"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 4}",{},"{""Bright Green"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 5}",{},"{""Bright Green"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 6}",{},"{""Bright Green"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 7}",{},"{""Bright Green"": 1.0}"
9,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 8}",{},"{""Bright Green"": 1.0}"
10,Explore,Switch-After-Win,Explore+Switch-After-Win,Orange,1.0,Sky Blue,1.0,Bright Green,"Bright Green, Sky Blue",,"{""Bright Green"": 8, ""Sky Blue"": 1}",{},"{""Bright Green"": 1.0, ""Sky Blue"": 1.0}"
11,Explore,Switch-After-Win,Explore+Switch-After-Win,Purple,1.0,Orange,1.0,Bright Green,"Bright Green, Orange, Sky Blue",,"{""Bright Green"": 8, ""Sky Blue"": 1, ""Orange"": 1}",{},"{""Bright Green"": 1.0, ""Sky Blue"": 1.0, ""Orange"": 1.0}"
12,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Orange,1.0,Purple,1.0,Bright Green,"Bright Green, Purple, Orange, Sky Blue",,"{""Bright Green"": 8, ""Sky Blue"": 1, ""Orange"": 1, ""Purple"": 1}",{},"{""Bright Green"": 1.0, ""Sky Blue"": 1.0, ""Orange"": 1.0, ""Purple"": 1.0}"
13,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,Orange,1.0,Bright Green,"Bright Green, Purple, Orange, Sky Blue",,"{""Bright Green"": 8, ""Sky Blue"": 1, ""Orange"": 2, ""Purple"": 1}",{},"{""Bright Green"": 1.0, ""Sky Blue"": 1.0, ""Orange"": 1.0, ""Purple"": 1.0}"
14,Explore,Switch-After-Win,Explore+Switch-After-Win,Slate,1.0,Pink,1.0,Bright Green,"Pink, Sky Blue, Bright Green, Purple, Orange",,"{""Bright Green"": 8, ""Sky Blue"": 1, ""Orange"": 2, ""Purple"": 1, ""Pink"": 1}",{},"{""Bright Green"": 1.0, ""Sky Blue"": 1.0, ""Orange"": 1.0, ""Purple"": 1.0, ""Pink"": 1.0}"
