Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Purple,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 1}",{},"{""Purple"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 2}",{},"{""Purple"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 3}",{},"{""Purple"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 4}",{},"{""Purple"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 5}",{},"{""Purple"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 6}",{},"{""Purple"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 7}",{},"{""Purple"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 8}",{},"{""Purple"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 9}",{},"{""Purple"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 10}",{},"{""Purple"": 1.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 11}",{},"{""Purple"": 1.0}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 12}",{},"{""Purple"": 1.0}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 13}",{},"{""Purple"": 1.0}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 14}",{},"{""Purple"": 1.0}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 15}",{},"{""Purple"": 1.0}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,,"{""Purple"": 16}",{},"{""Purple"": 1.0}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Purple,0.0,Purple,1.0,Purple,Purple,,"{""Purple"": 17}",{},"{""Purple"": 1.0}"
19,Exploit,Lose-Stay,Exploit+Lose-Stay,Purple,1.0,Purple,0.0,Purple,Purple,Purple,"{""Purple"": 17}","{""Purple"": 1}","{""Purple"": 0.9444444444444444}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,Purple,"{""Purple"": 18}","{""Purple"": 1}","{""Purple"": 0.9473684210526315}"
