Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 1}",{},"{""Sky Blue"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 2}",{},"{""Sky Blue"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 3}",{},"{""Sky Blue"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 4}",{},"{""Sky Blue"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 5}",{},"{""Sky Blue"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 6}",{},"{""Sky Blue"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 7}",{},"{""Sky Blue"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 8}",{},"{""Sky Blue"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 9}",{},"{""Sky Blue"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 10}",{},"{""Sky Blue"": 1.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,0.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 11}",{},"{""Sky Blue"": 1.0}"
13,Exploit,Lose-Stay,Exploit+Lose-Stay,Sky Blue,0.0,Sky Blue,0.0,Sky Blue,Sky Blue,Sky Blue,"{""Sky Blue"": 11}","{""Sky Blue"": 1}","{""Sky Blue"": 0.9166666666666666}"
14,Exploit,Lose-Stay,Exploit+Lose-Stay,Sky Blue,1.0,Sky Blue,0.0,Sky Blue,Sky Blue,Sky Blue,"{""Sky Blue"": 11}","{""Sky Blue"": 2}","{""Sky Blue"": 0.8461538461538461}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Sky Blue,"{""Sky Blue"": 12}","{""Sky Blue"": 2}","{""Sky Blue"": 0.8571428571428571}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Sky Blue,"{""Sky Blue"": 13}","{""Sky Blue"": 2}","{""Sky Blue"": 0.8666666666666667}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Sky Blue,"{""Sky Blue"": 14}","{""Sky Blue"": 2}","{""Sky Blue"": 0.875}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Sky Blue,"{""Sky Blue"": 15}","{""Sky Blue"": 2}","{""Sky Blue"": 0.8823529411764706}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Sky Blue,"{""Sky Blue"": 16}","{""Sky Blue"": 2}","{""Sky Blue"": 0.8888888888888888}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Sky Blue,"{""Sky Blue"": 17}","{""Sky Blue"": 2}","{""Sky Blue"": 0.8947368421052632}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,0.0,Sky Blue,1.0,Sky Blue,Sky Blue,Sky Blue,"{""Sky Blue"": 18}","{""Sky Blue"": 2}","{""Sky Blue"": 0.9}"
22,Exploit,Lose-Stay,Exploit+Lose-Stay,Sky Blue,1.0,Sky Blue,0.0,Sky Blue,Sky Blue,Sky Blue,"{""Sky Blue"": 18}","{""Sky Blue"": 3}","{""Sky Blue"": 0.8571428571428571}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Sky Blue,"{""Sky Blue"": 19}","{""Sky Blue"": 3}","{""Sky Blue"": 0.8636363636363636}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Sky Blue,"{""Sky Blue"": 20}","{""Sky Blue"": 3}","{""Sky Blue"": 0.8695652173913043}"
25,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Sky Blue,"{""Sky Blue"": 21}","{""Sky Blue"": 3}","{""Sky Blue"": 0.875}"
26,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,1.0,Pink,1.0,Sky Blue,Pink,Sky Blue,"{""Sky Blue"": 21, ""Pink"": 1}","{""Sky Blue"": 3}","{""Sky Blue"": 0.875, ""Pink"": 1.0}"
27,Explore,Switch-After-Win,Explore+Switch-After-Win,Slate,1.0,Indigo,1.0,Sky Blue,"Indigo, Pink",Sky Blue,"{""Sky Blue"": 21, ""Pink"": 1, ""Indigo"": 1}","{""Sky Blue"": 3}","{""Sky Blue"": 0.875, ""Pink"": 1.0, ""Indigo"": 1.0}"
28,Explore,Switch-After-Win,Explore+Switch-After-Win,Black,1.0,Slate,1.0,Sky Blue,"Indigo, Slate, Pink",Sky Blue,"{""Sky Blue"": 21, ""Pink"": 1, ""Indigo"": 1, ""Slate"": 1}","{""Sky Blue"": 3}","{""Sky Blue"": 0.875, ""Pink"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Sky Blue,"Indigo, Slate, Black, Pink",Sky Blue,"{""Sky Blue"": 21, ""Pink"": 1, ""Indigo"": 1, ""Slate"": 1, ""Black"": 1}","{""Sky Blue"": 3}","{""Sky Blue"": 0.875, ""Pink"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Black"": 1.0}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Black,0.0,Black,1.0,Sky Blue,"Indigo, Slate, Black, Pink",Sky Blue,"{""Sky Blue"": 21, ""Pink"": 1, ""Indigo"": 1, ""Slate"": 1, ""Black"": 2}","{""Sky Blue"": 3}","{""Sky Blue"": 0.875, ""Pink"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Black"": 1.0}"
31,Exploit,Lose-Stay,Exploit+Lose-Stay,Black,1.0,Black,0.0,Sky Blue,"Indigo, Slate, Pink",Black,"{""Sky Blue"": 21, ""Pink"": 1, ""Indigo"": 1, ""Slate"": 1, ""Black"": 2}","{""Sky Blue"": 3, ""Black"": 1}","{""Sky Blue"": 0.875, ""Pink"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Black"": 0.6666666666666666}"
32,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Sky Blue,0.0,Black,1.0,Sky Blue,"Indigo, Slate, Pink",Black,"{""Sky Blue"": 21, ""Pink"": 1, ""Indigo"": 1, ""Slate"": 1, ""Black"": 3}","{""Sky Blue"": 3, ""Black"": 1}","{""Sky Blue"": 0.875, ""Pink"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Black"": 0.75}"
33,Explore,Lose-Shift,Explore+Lose-Shift,Crimson,1.0,Sky Blue,0.0,Sky Blue,"Indigo, Slate, Pink",Black,"{""Sky Blue"": 21, ""Pink"": 1, ""Indigo"": 1, ""Slate"": 1, ""Black"": 3}","{""Sky Blue"": 4, ""Black"": 1}","{""Sky Blue"": 0.84, ""Pink"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Black"": 0.75}"
34,Explore,Switch-After-Win,Explore+Switch-After-Win,Purple,1.0,Crimson,1.0,Sky Blue,"Crimson, Indigo, Slate, Pink",Black,"{""Sky Blue"": 21, ""Pink"": 1, ""Indigo"": 1, ""Slate"": 1, ""Black"": 3, ""Crimson"": 1}","{""Sky Blue"": 4, ""Black"": 1}","{""Sky Blue"": 0.84, ""Pink"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Black"": 0.75, ""Crimson"": 1.0}"
35,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Sky Blue,"Indigo, Pink, Slate, Crimson, Purple",Black,"{""Sky Blue"": 21, ""Pink"": 1, ""Indigo"": 1, ""Slate"": 1, ""Black"": 3, ""Crimson"": 1, ""Purple"": 1}","{""Sky Blue"": 4, ""Black"": 1}","{""Sky Blue"": 0.84, ""Pink"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Black"": 0.75, ""Crimson"": 1.0, ""Purple"": 1.0}"
36,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Sky Blue,"Indigo, Pink, Slate, Crimson, Purple",Black,"{""Sky Blue"": 21, ""Pink"": 1, ""Indigo"": 1, ""Slate"": 1, ""Black"": 3, ""Crimson"": 1, ""Purple"": 2}","{""Sky Blue"": 4, ""Black"": 1}","{""Sky Blue"": 0.84, ""Pink"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Black"": 0.75, ""Crimson"": 1.0, ""Purple"": 1.0}"
37,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Sky Blue,"Indigo, Pink, Slate, Crimson, Purple",Black,"{""Sky Blue"": 21, ""Pink"": 1, ""Indigo"": 1, ""Slate"": 1, ""Black"": 3, ""Crimson"": 1, ""Purple"": 3}","{""Sky Blue"": 4, ""Black"": 1}","{""Sky Blue"": 0.84, ""Pink"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Black"": 0.75, ""Crimson"": 1.0, ""Purple"": 1.0}"
