Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,,,,,,{},{},{}
2,Explore,Switch-After-Win,Explore+Switch-After-Win,Amber,1.0,Pink,1.0,Pink,Pink,,"{""Pink"": 1}",{},"{""Pink"": 1.0}"
3,Explore,Switch-After-Win,Explore+Switch-After-Win,Orange,0.0,Amber,1.0,"Amber, Pink","Amber, Pink",,"{""Pink"": 1, ""Amber"": 1}",{},"{""Pink"": 1.0, ""Amber"": 1.0}"
4,Explore,Lose-Shift,Explore+Lose-Shift,Purple,1.0,Orange,0.0,"Amber, Pink","Amber, Pink",Orange,"{""Pink"": 1, ""Amber"": 1}","{""Orange"": 1}","{""Pink"": 1.0, ""Amber"": 1.0, ""Orange"": 0.0}"
5,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,1.0,Purple,1.0,"Purple, Amber, Pink","Purple, Amber, Pink",Orange,"{""Pink"": 1, ""Amber"": 1, ""Purple"": 1}","{""Orange"": 1}","{""Pink"": 1.0, ""Amber"": 1.0, ""Orange"": 0.0, ""Purple"": 1.0}"
6,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Amber,1.0,Indigo,1.0,"Indigo, Purple, Amber, Pink","Indigo, Purple, Amber, Pink",Orange,"{""Pink"": 1, ""Amber"": 1, ""Purple"": 1, ""Indigo"": 1}","{""Orange"": 1}","{""Pink"": 1.0, ""Amber"": 1.0, ""Orange"": 0.0, ""Purple"": 1.0, ""Indigo"": 1.0}"
7,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Orange,1.0,Amber,1.0,Amber,"Indigo, Purple, Amber, Pink",Orange,"{""Pink"": 1, ""Amber"": 2, ""Purple"": 1, ""Indigo"": 1}","{""Orange"": 1}","{""Pink"": 1.0, ""Amber"": 1.0, ""Orange"": 0.0, ""Purple"": 1.0, ""Indigo"": 1.0}"
8,Explore,Switch-After-Win,Explore+Switch-After-Win,Black,1.0,Orange,1.0,Amber,"Indigo, Purple, Amber, Pink",Orange,"{""Pink"": 1, ""Amber"": 2, ""Purple"": 1, ""Indigo"": 1, ""Orange"": 1}","{""Orange"": 1}","{""Pink"": 1.0, ""Amber"": 1.0, ""Orange"": 0.5, ""Purple"": 1.0, ""Indigo"": 1.0}"
9,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Orange,0.0,Black,1.0,Amber,"Indigo, Pink, Purple, Amber, Black",Orange,"{""Pink"": 1, ""Amber"": 2, ""Purple"": 1, ""Indigo"": 1, ""Orange"": 1, ""Black"": 1}","{""Orange"": 1}","{""Pink"": 1.0, ""Amber"": 1.0, ""Orange"": 0.5, ""Purple"": 1.0, ""Indigo"": 1.0, ""Black"": 1.0}"
10,Exploit,Lose-Shift,Exploit+Lose-Shift,Amber,1.0,Orange,0.0,Amber,"Indigo, Pink, Purple, Amber, Black",Orange,"{""Pink"": 1, ""Amber"": 2, ""Purple"": 1, ""Indigo"": 1, ""Orange"": 1, ""Black"": 1}","{""Orange"": 2}","{""Pink"": 1.0, ""Amber"": 1.0, ""Orange"": 0.3333333333333333, ""Purple"": 1.0, ""Indigo"": 1.0, ""Black"": 1.0}"
11,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,1.0,Amber,1.0,Amber,"Indigo, Pink, Purple, Amber, Black",Orange,"{""Pink"": 1, ""Amber"": 3, ""Purple"": 1, ""Indigo"": 1, ""Orange"": 1, ""Black"": 1}","{""Orange"": 2}","{""Pink"": 1.0, ""Amber"": 1.0, ""Orange"": 0.3333333333333333, ""Purple"": 1.0, ""Indigo"": 1.0, ""Black"": 1.0}"
12,Explore,Switch-After-Win,Explore+Switch-After-Win,Crimson,1.0,Sky Blue,1.0,Amber,"Indigo, Pink, Sky Blue, Purple, Amber, Black",Orange,"{""Pink"": 1, ""Amber"": 3, ""Purple"": 1, ""Indigo"": 1, ""Orange"": 1, ""Black"": 1, ""Sky Blue"": 1}","{""Orange"": 2}","{""Pink"": 1.0, ""Amber"": 1.0, ""Orange"": 0.3333333333333333, ""Purple"": 1.0, ""Indigo"": 1.0, ""Black"": 1.0, ""Sky Blue"": 1.0}"
13,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,1.0,Crimson,1.0,Amber,"Indigo, Pink, Sky Blue, Crimson, Purple, Amber, Black",Orange,"{""Pink"": 1, ""Amber"": 3, ""Purple"": 1, ""Indigo"": 1, ""Orange"": 1, ""Black"": 1, ""Sky Blue"": 1, ""Crimson"": 1}","{""Orange"": 2}","{""Pink"": 1.0, ""Amber"": 1.0, ""Orange"": 0.3333333333333333, ""Purple"": 1.0, ""Indigo"": 1.0, ""Black"": 1.0, ""Sky Blue"": 1.0, ""Crimson"": 1.0}"
14,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Sky Blue,0.0,Bright Green,1.0,Amber,"Indigo, Pink, Sky Blue, Crimson, Bright Green, Purple, Amber, Black",Orange,"{""Pink"": 1, ""Amber"": 3, ""Purple"": 1, ""Indigo"": 1, ""Orange"": 1, ""Black"": 1, ""Sky Blue"": 1, ""Crimson"": 1, ""Bright Green"": 1}","{""Orange"": 2}","{""Pink"": 1.0, ""Amber"": 1.0, ""Orange"": 0.3333333333333333, ""Purple"": 1.0, ""Indigo"": 1.0, ""Black"": 1.0, ""Sky Blue"": 1.0, ""Crimson"": 1.0, ""Bright Green"": 1.0}"
15,Exploit,Lose-Shift,Exploit+Lose-Shift,Pink,1.0,Sky Blue,0.0,Amber,"Indigo, Pink, Crimson, Bright Green, Purple, Amber, Black",Sky Blue,"{""Pink"": 1, ""Amber"": 3, ""Purple"": 1, ""Indigo"": 1, ""Orange"": 1, ""Black"": 1, ""Sky Blue"": 1, ""Crimson"": 1, ""Bright Green"": 1}","{""Orange"": 2, ""Sky Blue"": 1}","{""Pink"": 1.0, ""Amber"": 1.0, ""Orange"": 0.3333333333333333, ""Purple"": 1.0, ""Indigo"": 1.0, ""Black"": 1.0, ""Sky Blue"": 0.5, ""Crimson"": 1.0, ""Bright Green"": 1.0}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Amber,"Indigo, Pink, Crimson, Bright Green, Purple, Amber, Black",Sky Blue,"{""Pink"": 2, ""Amber"": 3, ""Purple"": 1, ""Indigo"": 1, ""Orange"": 1, ""Black"": 1, ""Sky Blue"": 1, ""Crimson"": 1, ""Bright Green"": 1}","{""Orange"": 2, ""Sky Blue"": 1}","{""Pink"": 1.0, ""Amber"": 1.0, ""Orange"": 0.3333333333333333, ""Purple"": 1.0, ""Indigo"": 1.0, ""Black"": 1.0, ""Sky Blue"": 0.5, ""Crimson"": 1.0, ""Bright Green"": 1.0}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,"Amber, Pink","Indigo, Pink, Crimson, Bright Green, Purple, Amber, Black",Sky Blue,"{""Pink"": 3, ""Amber"": 3, ""Purple"": 1, ""Indigo"": 1, ""Orange"": 1, ""Black"": 1, ""Sky Blue"": 1, ""Crimson"": 1, ""Bright Green"": 1}","{""Orange"": 2, ""Sky Blue"": 1}","{""Pink"": 1.0, ""Amber"": 1.0, ""Orange"": 0.3333333333333333, ""Purple"": 1.0, ""Indigo"": 1.0, ""Black"": 1.0, ""Sky Blue"": 0.5, ""Crimson"": 1.0, ""Bright Green"": 1.0}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,"Indigo, Pink, Crimson, Bright Green, Purple, Amber, Black",Sky Blue,"{""Pink"": 4, ""Amber"": 3, ""Purple"": 1, ""Indigo"": 1, ""Orange"": 1, ""Black"": 1, ""Sky Blue"": 1, ""Crimson"": 1, ""Bright Green"": 1}","{""Orange"": 2, ""Sky Blue"": 1}","{""Pink"": 1.0, ""Amber"": 1.0, ""Orange"": 0.3333333333333333, ""Purple"": 1.0, ""Indigo"": 1.0, ""Black"": 1.0, ""Sky Blue"": 0.5, ""Crimson"": 1.0, ""Bright Green"": 1.0}"
