Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Slate,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 1}",{},"{""Slate"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 2}",{},"{""Slate"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 3}",{},"{""Slate"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 4}",{},"{""Slate"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 5}",{},"{""Slate"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 6}",{},"{""Slate"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 7}",{},"{""Slate"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 8}",{},"{""Slate"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 9}",{},"{""Slate"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Slate,0.0,Slate,1.0,Slate,Slate,,"{""Slate"": 10}",{},"{""Slate"": 1.0}"
12,Explore,Lose-Shift,Explore+Lose-Shift,Bright Green,1.0,Slate,0.0,Slate,Slate,Slate,"{""Slate"": 10}","{""Slate"": 1}","{""Slate"": 0.9090909090909091}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Slate,Bright Green,Slate,"{""Slate"": 10, ""Bright Green"": 1}","{""Slate"": 1}","{""Slate"": 0.9090909090909091, ""Bright Green"": 1.0}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Slate,Bright Green,Slate,"{""Slate"": 10, ""Bright Green"": 2}","{""Slate"": 1}","{""Slate"": 0.9090909090909091, ""Bright Green"": 1.0}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Slate,Bright Green,Slate,"{""Slate"": 10, ""Bright Green"": 3}","{""Slate"": 1}","{""Slate"": 0.9090909090909091, ""Bright Green"": 1.0}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Slate,Bright Green,Slate,"{""Slate"": 10, ""Bright Green"": 4}","{""Slate"": 1}","{""Slate"": 0.9090909090909091, ""Bright Green"": 1.0}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Slate,Bright Green,Slate,"{""Slate"": 10, ""Bright Green"": 5}","{""Slate"": 1}","{""Slate"": 0.9090909090909091, ""Bright Green"": 1.0}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Slate,Bright Green,Slate,"{""Slate"": 10, ""Bright Green"": 6}","{""Slate"": 1}","{""Slate"": 0.9090909090909091, ""Bright Green"": 1.0}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,0.0,Bright Green,1.0,Slate,Bright Green,Slate,"{""Slate"": 10, ""Bright Green"": 7}","{""Slate"": 1}","{""Slate"": 0.9090909090909091, ""Bright Green"": 1.0}"
20,Explore,Lose-Shift,Explore+Lose-Shift,Purple,1.0,Bright Green,0.0,Slate,Slate,"Bright Green, Slate","{""Slate"": 10, ""Bright Green"": 7}","{""Slate"": 1, ""Bright Green"": 1}","{""Slate"": 0.9090909090909091, ""Bright Green"": 0.875}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Slate,Purple,"Bright Green, Slate","{""Slate"": 10, ""Bright Green"": 7, ""Purple"": 1}","{""Slate"": 1, ""Bright Green"": 1}","{""Slate"": 0.9090909090909091, ""Bright Green"": 0.875, ""Purple"": 1.0}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Slate,Purple,"Bright Green, Slate","{""Slate"": 10, ""Bright Green"": 7, ""Purple"": 2}","{""Slate"": 1, ""Bright Green"": 1}","{""Slate"": 0.9090909090909091, ""Bright Green"": 0.875, ""Purple"": 1.0}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Slate,Purple,"Bright Green, Slate","{""Slate"": 10, ""Bright Green"": 7, ""Purple"": 3}","{""Slate"": 1, ""Bright Green"": 1}","{""Slate"": 0.9090909090909091, ""Bright Green"": 0.875, ""Purple"": 1.0}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Slate,Purple,"Bright Green, Slate","{""Slate"": 10, ""Bright Green"": 7, ""Purple"": 4}","{""Slate"": 1, ""Bright Green"": 1}","{""Slate"": 0.9090909090909091, ""Bright Green"": 0.875, ""Purple"": 1.0}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Slate,Purple,"Bright Green, Slate","{""Slate"": 10, ""Bright Green"": 7, ""Purple"": 5}","{""Slate"": 1, ""Bright Green"": 1}","{""Slate"": 0.9090909090909091, ""Bright Green"": 0.875, ""Purple"": 1.0}"
