Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Black,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 1}",{},"{""Black"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 2}",{},"{""Black"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 3}",{},"{""Black"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 4}",{},"{""Black"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 5}",{},"{""Black"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 6}",{},"{""Black"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 7}",{},"{""Black"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 8}",{},"{""Black"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 9}",{},"{""Black"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 10}",{},"{""Black"": 1.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 11}",{},"{""Black"": 1.0}"
13,Explore,Switch-After-Win,Explore+Switch-After-Win,Crimson,1.0,Black,1.0,Black,Black,,"{""Black"": 12}",{},"{""Black"": 1.0}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Black,"Crimson, Black",,"{""Black"": 12, ""Crimson"": 1}",{},"{""Black"": 1.0, ""Crimson"": 1.0}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,0.0,Crimson,1.0,Black,"Crimson, Black",,"{""Black"": 12, ""Crimson"": 2}",{},"{""Black"": 1.0, ""Crimson"": 1.0}"
16,Exploit,Lose-Shift,Exploit+Lose-Shift,Black,1.0,Crimson,0.0,Black,Black,Crimson,"{""Black"": 12, ""Crimson"": 2}","{""Crimson"": 1}","{""Black"": 1.0, ""Crimson"": 0.6666666666666666}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Crimson,"{""Black"": 13, ""Crimson"": 2}","{""Crimson"": 1}","{""Black"": 1.0, ""Crimson"": 0.6666666666666666}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Black,0.0,Black,1.0,Black,Black,Crimson,"{""Black"": 14, ""Crimson"": 2}","{""Crimson"": 1}","{""Black"": 1.0, ""Crimson"": 0.6666666666666666}"
19,Explore,Lose-Shift,Explore+Lose-Shift,Purple,1.0,Black,0.0,Black,Black,"Crimson, Black","{""Black"": 14, ""Crimson"": 2}","{""Crimson"": 1, ""Black"": 1}","{""Black"": 0.9333333333333333, ""Crimson"": 0.6666666666666666}"
20,Explore,Switch-After-Win,Explore+Switch-After-Win,Slate,1.0,Purple,1.0,Black,Purple,"Crimson, Black","{""Black"": 14, ""Crimson"": 2, ""Purple"": 1}","{""Crimson"": 1, ""Black"": 1}","{""Black"": 0.9333333333333333, ""Crimson"": 0.6666666666666666, ""Purple"": 1.0}"
21,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,0.0,Slate,1.0,Black,"Slate, Purple","Crimson, Black","{""Black"": 14, ""Crimson"": 2, ""Purple"": 1, ""Slate"": 1}","{""Crimson"": 1, ""Black"": 1}","{""Black"": 0.9333333333333333, ""Crimson"": 0.6666666666666666, ""Purple"": 1.0, ""Slate"": 1.0}"
22,Explore,Lose-Shift,Explore+Lose-Shift,Bright Green,1.0,Sky Blue,0.0,Black,"Slate, Purple","Crimson, Sky Blue, Black","{""Black"": 14, ""Crimson"": 2, ""Purple"": 1, ""Slate"": 1}","{""Crimson"": 1, ""Black"": 1, ""Sky Blue"": 1}","{""Black"": 0.9333333333333333, ""Crimson"": 0.6666666666666666, ""Purple"": 1.0, ""Slate"": 1.0, ""Sky Blue"": 0.0}"
23,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Black,1.0,Bright Green,1.0,Black,"Bright Green, Slate, Purple","Crimson, Sky Blue, Black","{""Black"": 14, ""Crimson"": 2, ""Purple"": 1, ""Slate"": 1, ""Bright Green"": 1}","{""Crimson"": 1, ""Black"": 1, ""Sky Blue"": 1}","{""Black"": 0.9333333333333333, ""Crimson"": 0.6666666666666666, ""Purple"": 1.0, ""Slate"": 1.0, ""Sky Blue"": 0.0, ""Bright Green"": 1.0}"
24,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,1.0,Black,1.0,Black,"Bright Green, Slate, Purple","Crimson, Sky Blue, Black","{""Black"": 15, ""Crimson"": 2, ""Purple"": 1, ""Slate"": 1, ""Bright Green"": 1}","{""Crimson"": 1, ""Black"": 1, ""Sky Blue"": 1}","{""Black"": 0.9375, ""Crimson"": 0.6666666666666666, ""Purple"": 1.0, ""Slate"": 1.0, ""Sky Blue"": 0.0, ""Bright Green"": 1.0}"
