age,gender,genderOther,race,raceOther,education,educationOther,country,politicalOrientation,experience,engagement,clearity,interference,interferenceOption,keyFactors,strategy,motivation,followUp,additionalFeedback,playerID
34,Male,,Caucasian,,College,,USA,Slightly Conservative,No,Engaging,Very Clear,,No,"The position, the colors, the amount of time between each rounds, and the failure to success ratio.","The approach to the game for me was picking the best candidate every time out of each round. However, I was thrown off because there was a long wait to even enter the game. Once we got going, I went with my gut instinct to pick the best option available.","I enjoy sharing valuable and insightful opinions and information. I am able to do this via surveys like this. Often times I even learn something from surveys believe it or not, or become interested in other topics I may not of been interested in due to some surveys.",Yes,,01JVTR9QD0KS2SPX7QDY0N8AX9
40,Male,,Asian,,College,,United States,Slightly Liberal,No,Moderately Engaging,Clear,,No,I based on consistency to see if there was a trend I could identify.,I based mainly on success to see which candidates were more effective.,The monetary incentive and it was a fun study to be a part of.,Yes,,01JVTRAF0HXMZCY9NBDR1R33B5
47,Female,,Caucasian,,Graduate Professional School,,United States,Moderately Liberal,No,Engaging,Moderately Clear,,No,What influence my decision was the consistency,I decided to stick with my initial instincts and it was based purely on the success.,I was curious about this type of experiment and the monetary incentive was nice.,Yes,,01JVTRAJAADTMDBY98SF5BTZYA
33,Male,,Caucasian,,College,,USA,Slightly Liberal,No,Moderately Engaging,Very Clear,,No,how many failures the workers had to success ratio,I wanted to find out the most productive worker as soon as possible.,"Money, interest, helping",Yes,thanks,01JVTRAV3J92CQV9NS03SPXKSA
20,Male,,Caucasian,,High School,,USA,Extremely Liberal,No,Engaging,Very Clear,,No,"The failure influenced my decision. I believe my decisions influenced my team member more. When I picked someone, they followed suit. ","I initially went with the most productive one, which was the one we started of default. After its failure I decided to look into the other options to test and see if they beat the original. By the end, I had gone back to the original until it failed. ","I was curious, willing to participate and incentivized by the bonus.",Yes,"Everything was clear, detailed, and straightforward. No technical issues. Thank you for the opportunity!",01JVTRE4R10CMZ58FNZBA0F8SK
35,Male,,Caucasian,,College,,USA,Prefer not to say,No,Not Engaging,Clear,,No,Success vs failure ratio,Success vs failure ratio,Money,Yes,,01JVTRHRM8FSZ0DF5N0TYB06YD
18,Male,,African,,High School,,United States,Extremely Liberal,No,Moderately Engaging,Slightly Clear,The exit survey kept reloading and putting be back at the start.,Yes,The key factors that influenced my decisions were the consistency in which success was reached.,"I made my decisions based on the frequency of success compared to the frequency of failure, but I don't think I had enough data to make my decision well.",It was well paying and seemed like a fun study to participate in.,Yes,,01JVTRJ3HRK6JKTBT2Y7JNDGFQ
24,Female,,Native American,,College,,United States of America,Moderately Liberal,No,Very Engaging,Very Clear,,No,consistency,mostly on success,monetary incentive,Yes,,01JVTRA85X3DQ0TYNXS6VDR197
37,Female,,Caucasian,,College,,USA,Slightly Liberal,No,Moderately Engaging,Slightly Clear,,No,I just waited to see which numbers went up and chose those users from that point on.,"I based my decisions on both success and failure, with more weight to success.",Monetary incentive and interest in research.,Yes,,01JVTRC4KZKV9QDS72D4E9B4N9
48,Male,,Caucasian,,Some College,,United States,Slightly Liberal,No,Slightly Engaging,Clear,,No,the amoutn of successes versus failure for each try,i based it on the success and failure rate and also how many attempts were made by that person,love doing surveys,Yes,,01JVTRCE9Y9SR72Y626JN9Z02V
