id,batchID,batchIDLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,score,scoreLastChangedAt
01JVTS1BKTP1TXCVW73RT58Z3Z,01JVTR8NP6FBR38YTMEZQNGR4H,2025-05-22T01:17:01.946606115Z,Crimson,2025-05-22T01:17:04.587868052Z,01JVTR8NPVGAAXA16741W48P3V,2025-05-22T01:17:01.946606115Z,01JVTRA85X3DQ0TYNXS6VDR197,2025-05-22T01:17:01.946606115Z,01JVTRJVCET7CQ9BNBWRC8HGA8,2025-05-22T01:17:01.946606115Z,1,2025-05-22T01:17:04.590542803Z
01JVTRZSNFJQ2XSXW7DRBYP76Q,01JVTR8NP6FBR38YTMEZQNGR4H,2025-05-22T01:16:10.799376481Z,Amber,2025-05-22T01:16:13.937735027Z,01JVTR8NPVGAAXA16741W48P3V,2025-05-22T01:16:10.799376481Z,01JVTRAF0HXMZCY9NBDR1R33B5,2025-05-22T01:16:10.799376481Z,01JVTRJVCCQPKFAT0G4F9040E6,2025-05-22T01:16:10.799376481Z,1,2025-05-22T01:16:13.939873158Z
01JVTRZSNFJQ2XSXW7E37Y0121,01JVTR8NP6FBR38YTMEZQNGR4H,2025-05-22T01:16:10.799943636Z,Purple,2025-05-22T01:16:12.470667347Z,01JVTR8NPVGAAXA16741W48P3V,2025-05-22T01:16:10.799943636Z,01JVTRAJAADTMDBY98SF5BTZYA,2025-05-22T01:16:10.799943636Z,01JVTRJVCCQPKFAT0G4F9040E6,2025-05-22T01:16:10.799943636Z,0,2025-05-22T01:16:12.474331218Z
01JVTS488KCTFMHGQRCCZ639J2,01JVTR8NP6FBR38YTMEZQNGR4H,2025-05-22T01:18:36.819532913Z,Amber,2025-05-22T01:18:44.003472811Z,01JVTR8NPVGAAXA16741W48P3V,2025-05-22T01:18:36.819532913Z,01JVTRC4KZKV9QDS72D4E9B4N9,2025-05-22T01:18:36.819532913Z,01JVTRJVCHJZBY6Z6CJMDVNARA,2025-05-22T01:18:36.819532913Z,1,2025-05-22T01:18:44.000255046Z
01JVTSDFX2JPNJM6H8VGW6MQAC,01JVTR8NP6FBR38YTMEZQNGR4H,2025-05-22T01:23:39.554982051Z,Orange,2025-05-22T01:23:43.855344647Z,01JVTR8NPVGAAXA16741W48P3V,2025-05-22T01:23:39.554982051Z,01JVTRHRM8FSZ0DF5N0TYB06YD,2025-05-22T01:23:39.554982051Z,01JVTRJVCW5AV3T9FPG3327EK9,2025-05-22T01:23:39.554982051Z,1,2025-05-22T01:23:43.852819243Z
01JVTRYSXWZX5VV0GA78KWYGB1,01JVTR8NP6FBR38YTMEZQNGR4H,2025-05-22T01:15:38.300520992Z,Crimson,2025-05-22T01:15:48.185343067Z,01JVTR8NPVGAAXA16741W48P3V,2025-05-22T01:15:38.300520992Z,01JVTRAF0HXMZCY9NBDR1R33B5,2025-05-22T01:15:38.300520992Z,01JVTRJVCCQPKFAT0G2YTPNMXH,2025-05-22T01:15:38.300520992Z,0,2025-05-22T01:15:48.184262685Z
01JVTRZ9HFB7Q597EATX9P4PA8,01JVTR8NP6FBR38YTMEZQNGR4H,2025-05-22T01:15:54.287690588Z,Black,2025-05-22T01:15:56.845830141Z,01JVTR8NPVGAAXA16741W48P3V,2025-05-22T01:15:54.287690588Z,01JVTRA85X3DQ0TYNXS6VDR197,2025-05-22T01:15:54.287690588Z,01JVTRJVCCQPKFAT0G3Q08A2SZ,2025-05-22T01:15:54.287690588Z,1,2025-05-22T01:15:56.848487704Z
01JVTSCSPDCQMXVB7QEVET7E3X,01JVTR8NP6FBR38YTMEZQNGR4H,2025-05-22T01:23:16.813356616Z,Orange,2025-05-22T01:23:18.750588149Z,01JVTR8NPVGAAXA16741W48P3V,2025-05-22T01:23:16.813356616Z,01JVTRE4R10CMZ58FNZBA0F8SK,2025-05-22T01:23:16.813356616Z,01JVTRJVCVABFB68Z541TTA5X2,2025-05-22T01:23:16.813356616Z,1,2025-05-22T01:23:18.757040763Z
01JVTRXZ0XG8WCE7JP333MF9QF,01JVTR8NP6FBR38YTMEZQNGR4H,2025-05-22T01:15:10.749385788Z,Crimson,2025-05-22T01:15:27.775364554Z,01JVTR8NPVGAAXA16741W48P3V,2025-05-22T01:15:10.749385788Z,01JVTRAF0HXMZCY9NBDR1R33B5,2025-05-22T01:15:10.749385788Z,01JVTRJVCBWYK749GWBZHVB0GV,2025-05-22T01:15:10.749385788Z,1,2025-05-22T01:15:27.774277669Z
01JVTS1BKY39YZVDC26XBKXY5G,01JVTR8NP6FBR38YTMEZQNGR4H,2025-05-22T01:17:01.950647772Z,Indigo,2025-05-22T01:17:10.941868717Z,01JVTR8NPVGAAXA16741W48P3V,2025-05-22T01:17:01.950647772Z,01JVTRCE9Y9SR72Y626JN9Z02V,2025-05-22T01:17:01.950647772Z,01JVTRJVCET7CQ9BNBWRC8HGA8,2025-05-22T01:17:01.950647772Z,1,2025-05-22T01:17:10.95370146Z
