roundID,01JVTR9QD0KS2SPX7QDY0N8AX9,01JVTRC4KZKV9QDS72D4E9B4N9,01JVTRHRM8FSZ0DF5N0TYB06YD,01JVTRCE9Y9SR72Y626JN9Z02V,01JVTRE4R10CMZ58FNZBA0F8SK,01JVTRJ3HRK6JKTBT2Y7JNDGFQ,01JVTRAV3J92CQV9NS03SPXKSA,01JVTRAJAADTMDBY98SF5BTZYA,01JVTRA85X3DQ0TYNXS6VDR197,01JVTRAF0HXMZCY9NBDR1R33B5
01JVTRJVBTVN7S51GVQQ6GGCRM,,,,,,,,,,
01JVTRJVC6PNGMRM9ZGF1XK4PC,Crimson,Pink,Orange,Indigo,Slate,Black,Sky Blue,Purple,Bright Green,Amber
01JVTRJVC7RC8NHAH0WKH4F88T,Sky Blue,Amber,Orange,Indigo,Slate,Black,Sky Blue,Purple,Bright Green,Sky Blue
01JVTRJVC7RC8NHAH0XB7H73TZ,Sky Blue,Orange,Orange,Indigo,Slate,Black,Sky Blue,Purple,Bright Green,Black
01JVTRJVC806679ZVHAQ1QHE81,Sky Blue,Purple,Orange,Indigo,Slate,Black,Sky Blue,Purple,Bright Green,Sky Blue
01JVTRJVC93GP83Z0DDQF2PX34,Crimson,Indigo,Orange,Indigo,Slate,Black,Sky Blue,Purple,Bright Green,Sky Blue
01JVTRJVC806679ZVH9BF3BMKT,Bright Green,Amber,Orange,Indigo,Slate,Black,Sky Blue,Purple,Bright Green,Sky Blue
01JVTRJVC93GP83Z0DF4RYJYWN,Sky Blue,Orange,Orange,Indigo,Slate,Black,Sky Blue,Purple,Bright Green,Sky Blue
01JVTRJVCATDPCQDKPKZ448Q74,Sky Blue,Black,Orange,Indigo,Slate,Black,Sky Blue,Purple,Bright Green,Sky Blue
01JVTRJVC806679ZVHA0T9KVGZ,Crimson,Orange,Orange,Indigo,Slate,Black,Sky Blue,Purple,Sky Blue,Sky Blue
01JVTRJVCATDPCQDKPMSZNDKKH,Sky Blue,Amber,Orange,Indigo,Slate,Black,Sky Blue,Purple,Orange,Crimson
01JVTRJVCATDPCQDKPN92EBPHX,Bright Green,Sky Blue,Orange,Indigo,Slate,Black,Sky Blue,Purple,Purple,Crimson
01JVTRJVCBWYK749GWAYP1ETDW,Sky Blue,Crimson,,Indigo,Bright Green,Black,Sky Blue,Purple,Orange,Amber
01JVTRJVC93GP83Z0DECHMXH44,Sky Blue,Bright Green,,Indigo,Bright Green,Crimson,Sky Blue,Purple,Pink,Amber
01JVTRJVCBWYK749GWBC3EWNYJ,Sky Blue,Sky Blue,Orange,Indigo,Bright Green,Crimson,Sky Blue,Purple,Slate,Amber
01JVTRJVCBWYK749GWBZHVB0GV,Crimson,Pink,Orange,Indigo,Bright Green,Crimson,Sky Blue,Purple,Crimson,Crimson
01JVTRJVCCQPKFAT0G2YTPNMXH,Sky Blue,Pink,Orange,Indigo,Bright Green,Black,Sky Blue,Purple,Crimson,Crimson
01JVTRJVCCQPKFAT0G3Q08A2SZ,Sky Blue,Pink,Orange,Indigo,Bright Green,Black,Sky Blue,Purple,Black,Amber
01JVTRJVCCQPKFAT0G4F9040E6,Sky Blue,Pink,Orange,Indigo,Bright Green,Black,Sky Blue,Purple,Indigo,Amber
01JVTRJVCDYF69AK2M8KF4QZHC,Sky Blue,,Orange,Indigo,Bright Green,Purple,Sky Blue,Purple,Amber,Amber
01JVTRJVCDYF69AK2M99H0552M,Sky Blue,Pink,Orange,Indigo,Purple,Slate,Sky Blue,Purple,Amber,Amber
01JVTRJVCET7CQ9BNBWRC8HGA8,Sky Blue,Pink,Orange,Indigo,Purple,Sky Blue,Sky Blue,Purple,Crimson,Amber
01JVTRJVCET7CQ9BNBXCZM8RFD,Sky Blue,Pink,Orange,Indigo,Purple,Bright Green,Sky Blue,Purple,Black,Amber
