Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Crimson,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 1}",{},"{""Crimson"": 1.0}"
3,Explore,Switch-After-Win,Explore+Switch-After-Win,Purple,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 2}",{},"{""Crimson"": 1.0}"
4,Explore,Switch-After-Win,Explore+Switch-After-Win,Black,1.0,Purple,1.0,Crimson,"Crimson, Purple",,"{""Crimson"": 2, ""Purple"": 1}",{},"{""Crimson"": 1.0, ""Purple"": 1.0}"
5,Explore,Switch-After-Win,Explore+Switch-After-Win,Orange,1.0,Black,1.0,Crimson,"Crimson, Purple, Black",,"{""Crimson"": 2, ""Purple"": 1, ""Black"": 1}",{},"{""Crimson"": 1.0, ""Purple"": 1.0, ""Black"": 1.0}"
6,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,1.0,Orange,1.0,Crimson,"Crimson, Purple, Orange, Black",,"{""Crimson"": 2, ""Purple"": 1, ""Black"": 1, ""Orange"": 1}",{},"{""Crimson"": 1.0, ""Purple"": 1.0, ""Black"": 1.0, ""Orange"": 1.0}"
7,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,1.0,Sky Blue,1.0,Crimson,"Sky Blue, Crimson, Black, Purple, Orange",,"{""Crimson"": 2, ""Purple"": 1, ""Black"": 1, ""Orange"": 1, ""Sky Blue"": 1}",{},"{""Crimson"": 1.0, ""Purple"": 1.0, ""Black"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0}"
8,Explore,Switch-After-Win,Explore+Switch-After-Win,Slate,1.0,Indigo,1.0,Crimson,"Indigo, Sky Blue, Crimson, Black, Purple, Orange",,"{""Crimson"": 2, ""Purple"": 1, ""Black"": 1, ""Orange"": 1, ""Sky Blue"": 1, ""Indigo"": 1}",{},"{""Crimson"": 1.0, ""Purple"": 1.0, ""Black"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0}"
9,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,Slate,1.0,Crimson,"Indigo, Sky Blue, Slate, Crimson, Black, Purple, Orange",,"{""Crimson"": 2, ""Purple"": 1, ""Black"": 1, ""Orange"": 1, ""Sky Blue"": 1, ""Indigo"": 1, ""Slate"": 1}",{},"{""Crimson"": 1.0, ""Purple"": 1.0, ""Black"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Crimson,"Indigo, Sky Blue, Pink, Slate, Crimson, Black, Purple, Orange",,"{""Crimson"": 2, ""Purple"": 1, ""Black"": 1, ""Orange"": 1, ""Sky Blue"": 1, ""Indigo"": 1, ""Slate"": 1, ""Pink"": 1}",{},"{""Crimson"": 1.0, ""Purple"": 1.0, ""Black"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Pink"": 1.0}"
11,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Black,1.0,Pink,1.0,"Crimson, Pink","Indigo, Sky Blue, Pink, Slate, Crimson, Black, Purple, Orange",,"{""Crimson"": 2, ""Purple"": 1, ""Black"": 1, ""Orange"": 1, ""Sky Blue"": 1, ""Indigo"": 1, ""Slate"": 1, ""Pink"": 2}",{},"{""Crimson"": 1.0, ""Purple"": 1.0, ""Black"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Pink"": 1.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,"Crimson, Pink, Black","Indigo, Sky Blue, Pink, Slate, Crimson, Black, Purple, Orange",,"{""Crimson"": 2, ""Purple"": 1, ""Black"": 2, ""Orange"": 1, ""Sky Blue"": 1, ""Indigo"": 1, ""Slate"": 1, ""Pink"": 2}",{},"{""Crimson"": 1.0, ""Purple"": 1.0, ""Black"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Pink"": 1.0}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Black,0.0,Black,1.0,Black,"Indigo, Sky Blue, Pink, Slate, Crimson, Black, Purple, Orange",,"{""Crimson"": 2, ""Purple"": 1, ""Black"": 3, ""Orange"": 1, ""Sky Blue"": 1, ""Indigo"": 1, ""Slate"": 1, ""Pink"": 2}",{},"{""Crimson"": 1.0, ""Purple"": 1.0, ""Black"": 1.0, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Pink"": 1.0}"
14,Explore,Lose-Shift,Explore+Lose-Shift,Amber,1.0,Black,0.0,Black,"Indigo, Sky Blue, Pink, Slate, Crimson, Purple, Orange",Black,"{""Crimson"": 2, ""Purple"": 1, ""Black"": 3, ""Orange"": 1, ""Sky Blue"": 1, ""Indigo"": 1, ""Slate"": 1, ""Pink"": 2}","{""Black"": 1}","{""Crimson"": 1.0, ""Purple"": 1.0, ""Black"": 0.75, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Pink"": 1.0}"
15,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,1.0,Amber,1.0,Black,"Indigo, Sky Blue, Pink, Slate, Crimson, Purple, Amber, Orange",Black,"{""Crimson"": 2, ""Purple"": 1, ""Black"": 3, ""Orange"": 1, ""Sky Blue"": 1, ""Indigo"": 1, ""Slate"": 1, ""Pink"": 2, ""Amber"": 1}","{""Black"": 1}","{""Crimson"": 1.0, ""Purple"": 1.0, ""Black"": 0.75, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Pink"": 1.0, ""Amber"": 1.0}"
16,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Indigo,1.0,Bright Green,1.0,Black,"Indigo, Sky Blue, Pink, Slate, Crimson, Bright Green, Purple, Amber, Orange",Black,"{""Crimson"": 2, ""Purple"": 1, ""Black"": 3, ""Orange"": 1, ""Sky Blue"": 1, ""Indigo"": 1, ""Slate"": 1, ""Pink"": 2, ""Amber"": 1, ""Bright Green"": 1}","{""Black"": 1}","{""Crimson"": 1.0, ""Purple"": 1.0, ""Black"": 0.75, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Pink"": 1.0, ""Amber"": 1.0, ""Bright Green"": 1.0}"
17,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Slate,1.0,Indigo,1.0,Black,"Indigo, Sky Blue, Pink, Slate, Crimson, Bright Green, Purple, Amber, Orange",Black,"{""Crimson"": 2, ""Purple"": 1, ""Black"": 3, ""Orange"": 1, ""Sky Blue"": 1, ""Indigo"": 2, ""Slate"": 1, ""Pink"": 2, ""Amber"": 1, ""Bright Green"": 1}","{""Black"": 1}","{""Crimson"": 1.0, ""Purple"": 1.0, ""Black"": 0.75, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Pink"": 1.0, ""Amber"": 1.0, ""Bright Green"": 1.0}"
18,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Orange,1.0,Slate,1.0,Black,"Indigo, Sky Blue, Pink, Slate, Crimson, Bright Green, Purple, Amber, Orange",Black,"{""Crimson"": 2, ""Purple"": 1, ""Black"": 3, ""Orange"": 1, ""Sky Blue"": 1, ""Indigo"": 2, ""Slate"": 2, ""Pink"": 2, ""Amber"": 1, ""Bright Green"": 1}","{""Black"": 1}","{""Crimson"": 1.0, ""Purple"": 1.0, ""Black"": 0.75, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Pink"": 1.0, ""Amber"": 1.0, ""Bright Green"": 1.0}"
19,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Sky Blue,1.0,Orange,1.0,Black,"Indigo, Sky Blue, Pink, Slate, Crimson, Bright Green, Purple, Amber, Orange",Black,"{""Crimson"": 2, ""Purple"": 1, ""Black"": 3, ""Orange"": 2, ""Sky Blue"": 1, ""Indigo"": 2, ""Slate"": 2, ""Pink"": 2, ""Amber"": 1, ""Bright Green"": 1}","{""Black"": 1}","{""Crimson"": 1.0, ""Purple"": 1.0, ""Black"": 0.75, ""Orange"": 1.0, ""Sky Blue"": 1.0, ""Indigo"": 1.0, ""Slate"": 1.0, ""Pink"": 1.0, ""Amber"": 1.0, ""Bright Green"": 1.0}"
