Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 1}",{},"{""Bright Green"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 2}",{},"{""Bright Green"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 3}",{},"{""Bright Green"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 4}",{},"{""Bright Green"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 5}",{},"{""Bright Green"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 6}",{},"{""Bright Green"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 7}",{},"{""Bright Green"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,0.0,Bright Green,1.0,Bright Green,Bright Green,,"{""Bright Green"": 8}",{},"{""Bright Green"": 1.0}"
10,Exploit,Lose-Stay,Exploit+Lose-Stay,Bright Green,1.0,Bright Green,0.0,Bright Green,Bright Green,Bright Green,"{""Bright Green"": 8}","{""Bright Green"": 1}","{""Bright Green"": 0.8888888888888888}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Bright Green,"{""Bright Green"": 9}","{""Bright Green"": 1}","{""Bright Green"": 0.9}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Bright Green,"{""Bright Green"": 10}","{""Bright Green"": 1}","{""Bright Green"": 0.9090909090909091}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Bright Green,"{""Bright Green"": 11}","{""Bright Green"": 1}","{""Bright Green"": 0.9166666666666666}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Bright Green,"{""Bright Green"": 12}","{""Bright Green"": 1}","{""Bright Green"": 0.9230769230769231}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Bright Green,"{""Bright Green"": 13}","{""Bright Green"": 1}","{""Bright Green"": 0.9285714285714286}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Bright Green,"{""Bright Green"": 14}","{""Bright Green"": 1}","{""Bright Green"": 0.9333333333333333}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Bright Green,1.0,Bright Green,1.0,Bright Green,Bright Green,Bright Green,"{""Bright Green"": 15}","{""Bright Green"": 1}","{""Bright Green"": 0.9375}"
