Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Amber,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 1}",{},"{""Amber"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 2}",{},"{""Amber"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 3}",{},"{""Amber"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 4}",{},"{""Amber"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 5}",{},"{""Amber"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 6}",{},"{""Amber"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 7}",{},"{""Amber"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 8}",{},"{""Amber"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 9}",{},"{""Amber"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 10}",{},"{""Amber"": 1.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 11}",{},"{""Amber"": 1.0}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 12}",{},"{""Amber"": 1.0}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 13}",{},"{""Amber"": 1.0}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 14}",{},"{""Amber"": 1.0}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 15}",{},"{""Amber"": 1.0}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 16}",{},"{""Amber"": 1.0}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 17}",{},"{""Amber"": 1.0}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,,"{""Amber"": 18}",{},"{""Amber"": 1.0}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,,"{""Amber"": 19}",{},"{""Amber"": 1.0}"
21,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 19}","{""Amber"": 1}","{""Amber"": 0.95}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 20}","{""Amber"": 1}","{""Amber"": 0.9523809523809523}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 21}","{""Amber"": 1}","{""Amber"": 0.9545454545454546}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 22}","{""Amber"": 1}","{""Amber"": 0.9565217391304348}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 23}","{""Amber"": 1}","{""Amber"": 0.9583333333333334}"
26,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 23}","{""Amber"": 2}","{""Amber"": 0.92}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 24}","{""Amber"": 2}","{""Amber"": 0.9230769230769231}"
28,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 25}","{""Amber"": 2}","{""Amber"": 0.9259259259259259}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 26}","{""Amber"": 2}","{""Amber"": 0.9285714285714286}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 27}","{""Amber"": 2}","{""Amber"": 0.9310344827586207}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 28}","{""Amber"": 2}","{""Amber"": 0.9333333333333333}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 29}","{""Amber"": 2}","{""Amber"": 0.9354838709677419}"
33,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 29}","{""Amber"": 3}","{""Amber"": 0.90625}"
34,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 30}","{""Amber"": 3}","{""Amber"": 0.9090909090909091}"
35,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 31}","{""Amber"": 3}","{""Amber"": 0.9117647058823529}"
36,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 31}","{""Amber"": 4}","{""Amber"": 0.8857142857142857}"
37,Exploit,Win-Stay,Exploit+Win-Stay,Amber,0.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 32}","{""Amber"": 4}","{""Amber"": 0.8888888888888888}"
38,Exploit,Lose-Stay,Exploit+Lose-Stay,Amber,1.0,Amber,0.0,Amber,Amber,Amber,"{""Amber"": 32}","{""Amber"": 5}","{""Amber"": 0.8648648648648649}"
39,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 33}","{""Amber"": 5}","{""Amber"": 0.868421052631579}"
40,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 34}","{""Amber"": 5}","{""Amber"": 0.8717948717948718}"
41,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 35}","{""Amber"": 5}","{""Amber"": 0.875}"
42,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 36}","{""Amber"": 5}","{""Amber"": 0.8780487804878049}"
43,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 37}","{""Amber"": 5}","{""Amber"": 0.8809523809523809}"
44,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 38}","{""Amber"": 5}","{""Amber"": 0.8837209302325582}"
45,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 39}","{""Amber"": 5}","{""Amber"": 0.8863636363636364}"
46,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 40}","{""Amber"": 5}","{""Amber"": 0.8888888888888888}"
47,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 41}","{""Amber"": 5}","{""Amber"": 0.8913043478260869}"
48,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 42}","{""Amber"": 5}","{""Amber"": 0.8936170212765957}"
49,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 43}","{""Amber"": 5}","{""Amber"": 0.8958333333333334}"
50,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 44}","{""Amber"": 5}","{""Amber"": 0.8979591836734694}"
51,Exploit,Win-Stay,Exploit+Win-Stay,Amber,1.0,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 45}","{""Amber"": 5}","{""Amber"": 0.9}"
52,N/A,N/A,N/A+N/A,,,Amber,1.0,Amber,Amber,Amber,"{""Amber"": 46}","{""Amber"": 5}","{""Amber"": 0.9019607843137255}"
