Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Purple,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Purple,0.0,Purple,1.0,Purple,Purple,,"{""Purple"": 1}",{},"{""Purple"": 1.0}"
3,Explore,Lose-Shift,Explore+Lose-Shift,Bright Green,0.0,Purple,0.0,Purple,Purple,Purple,"{""Purple"": 1}","{""Purple"": 1}","{""Purple"": 0.5}"
4,Exploit,Lose-Shift,Exploit+Lose-Shift,Purple,1.0,Bright Green,0.0,Purple,Purple,"Bright Green, Purple","{""Purple"": 1}","{""Purple"": 1, ""Bright Green"": 1}","{""Purple"": 0.5, ""Bright Green"": 0.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Bright Green, Purple","{""Purple"": 2}","{""Purple"": 1, ""Bright Green"": 1}","{""Purple"": 0.6666666666666666, ""Bright Green"": 0.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Bright Green, Purple","{""Purple"": 3}","{""Purple"": 1, ""Bright Green"": 1}","{""Purple"": 0.75, ""Bright Green"": 0.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Bright Green, Purple","{""Purple"": 4}","{""Purple"": 1, ""Bright Green"": 1}","{""Purple"": 0.8, ""Bright Green"": 0.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Bright Green, Purple","{""Purple"": 5}","{""Purple"": 1, ""Bright Green"": 1}","{""Purple"": 0.8333333333333334, ""Bright Green"": 0.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Bright Green, Purple","{""Purple"": 6}","{""Purple"": 1, ""Bright Green"": 1}","{""Purple"": 0.8571428571428571, ""Bright Green"": 0.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Bright Green, Purple","{""Purple"": 7}","{""Purple"": 1, ""Bright Green"": 1}","{""Purple"": 0.875, ""Bright Green"": 0.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,"Bright Green, Purple","{""Purple"": 8}","{""Purple"": 1, ""Bright Green"": 1}","{""Purple"": 0.8888888888888888, ""Bright Green"": 0.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Purple,0.0,Purple,1.0,Purple,Purple,"Bright Green, Purple","{""Purple"": 9}","{""Purple"": 1, ""Bright Green"": 1}","{""Purple"": 0.9, ""Bright Green"": 0.0}"
13,Exploit,Lose-Stay,Exploit+Lose-Stay,Purple,1.0,Purple,0.0,Purple,Purple,Bright Green,"{""Purple"": 9}","{""Purple"": 2, ""Bright Green"": 1}","{""Purple"": 0.8181818181818182, ""Bright Green"": 0.0}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Purple,Purple,Bright Green,"{""Purple"": 10}","{""Purple"": 2, ""Bright Green"": 1}","{""Purple"": 0.8333333333333334, ""Bright Green"": 0.0}"
