Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 1}",{},"{""Sky Blue"": 1.0}"
3,Explore,Switch-After-Win,Explore+Switch-After-Win,Purple,0.0,Sky Blue,1.0,Sky Blue,Sky Blue,,"{""Sky Blue"": 2}",{},"{""Sky Blue"": 1.0}"
4,Exploit,Lose-Shift,Exploit+Lose-Shift,Sky Blue,1.0,Purple,0.0,Sky Blue,Sky Blue,Purple,"{""Sky Blue"": 2}","{""Purple"": 1}","{""Sky Blue"": 1.0, ""Purple"": 0.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Purple,"{""Sky Blue"": 3}","{""Purple"": 1}","{""Sky Blue"": 1.0, ""Purple"": 0.0}"
6,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,Purple,"{""Sky Blue"": 4}","{""Purple"": 1}","{""Sky Blue"": 1.0, ""Purple"": 0.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Pink,0.0,Pink,1.0,Sky Blue,"Pink, Sky Blue",Purple,"{""Sky Blue"": 4, ""Pink"": 1}","{""Purple"": 1}","{""Sky Blue"": 1.0, ""Purple"": 0.0, ""Pink"": 1.0}"
8,Exploit,Lose-Shift,Exploit+Lose-Shift,Sky Blue,1.0,Pink,0.0,Sky Blue,Sky Blue,"Purple, Pink","{""Sky Blue"": 4, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1}","{""Sky Blue"": 1.0, ""Purple"": 0.0, ""Pink"": 0.5}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Pink","{""Sky Blue"": 5, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1}","{""Sky Blue"": 1.0, ""Purple"": 0.0, ""Pink"": 0.5}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Pink","{""Sky Blue"": 6, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1}","{""Sky Blue"": 1.0, ""Purple"": 0.0, ""Pink"": 0.5}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Pink","{""Sky Blue"": 7, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1}","{""Sky Blue"": 1.0, ""Purple"": 0.0, ""Pink"": 0.5}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,0.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Pink","{""Sky Blue"": 8, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1}","{""Sky Blue"": 1.0, ""Purple"": 0.0, ""Pink"": 0.5}"
13,Exploit,Lose-Stay,Exploit+Lose-Stay,Sky Blue,1.0,Sky Blue,0.0,Sky Blue,Sky Blue,"Purple, Sky Blue, Pink","{""Sky Blue"": 8, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Sky Blue"": 0.8888888888888888, ""Purple"": 0.0, ""Pink"": 0.5}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Sky Blue, Pink","{""Sky Blue"": 9, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Sky Blue"": 0.9, ""Purple"": 0.0, ""Pink"": 0.5}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Sky Blue, Pink","{""Sky Blue"": 10, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Sky Blue"": 0.9090909090909091, ""Purple"": 0.0, ""Pink"": 0.5}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Sky Blue, Pink","{""Sky Blue"": 11, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Sky Blue"": 0.9166666666666666, ""Purple"": 0.0, ""Pink"": 0.5}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Sky Blue, Pink","{""Sky Blue"": 12, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Sky Blue"": 0.9230769230769231, ""Purple"": 0.0, ""Pink"": 0.5}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Sky Blue, Pink","{""Sky Blue"": 13, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Sky Blue"": 0.9285714285714286, ""Purple"": 0.0, ""Pink"": 0.5}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Sky Blue, Pink","{""Sky Blue"": 14, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Sky Blue"": 0.9333333333333333, ""Purple"": 0.0, ""Pink"": 0.5}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Sky Blue, Pink","{""Sky Blue"": 15, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Sky Blue"": 0.9375, ""Purple"": 0.0, ""Pink"": 0.5}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Sky Blue, Pink","{""Sky Blue"": 16, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Sky Blue"": 0.9411764705882353, ""Purple"": 0.0, ""Pink"": 0.5}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Sky Blue, Pink","{""Sky Blue"": 17, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Sky Blue"": 0.9444444444444444, ""Purple"": 0.0, ""Pink"": 0.5}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Sky Blue, Pink","{""Sky Blue"": 18, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Sky Blue"": 0.9473684210526315, ""Purple"": 0.0, ""Pink"": 0.5}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Sky Blue, Pink","{""Sky Blue"": 19, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Sky Blue"": 0.95, ""Purple"": 0.0, ""Pink"": 0.5}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Sky Blue, Pink","{""Sky Blue"": 20, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Sky Blue"": 0.9523809523809523, ""Purple"": 0.0, ""Pink"": 0.5}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Sky Blue, Pink","{""Sky Blue"": 21, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Sky Blue"": 0.9545454545454546, ""Purple"": 0.0, ""Pink"": 0.5}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,0.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Sky Blue, Pink","{""Sky Blue"": 22, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 1}","{""Sky Blue"": 0.9565217391304348, ""Purple"": 0.0, ""Pink"": 0.5}"
28,Exploit,Lose-Stay,Exploit+Lose-Stay,Sky Blue,1.0,Sky Blue,0.0,Sky Blue,Sky Blue,"Purple, Pink","{""Sky Blue"": 22, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 2}","{""Sky Blue"": 0.9166666666666666, ""Purple"": 0.0, ""Pink"": 0.5}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Pink","{""Sky Blue"": 23, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 2}","{""Sky Blue"": 0.92, ""Purple"": 0.0, ""Pink"": 0.5}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Pink","{""Sky Blue"": 24, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 2}","{""Sky Blue"": 0.9230769230769231, ""Purple"": 0.0, ""Pink"": 0.5}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Pink","{""Sky Blue"": 25, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 2}","{""Sky Blue"": 0.9259259259259259, ""Purple"": 0.0, ""Pink"": 0.5}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Pink","{""Sky Blue"": 26, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 2}","{""Sky Blue"": 0.9285714285714286, ""Purple"": 0.0, ""Pink"": 0.5}"
33,Exploit,Win-Stay,Exploit+Win-Stay,Sky Blue,1.0,Sky Blue,1.0,Sky Blue,Sky Blue,"Purple, Pink","{""Sky Blue"": 27, ""Pink"": 1}","{""Purple"": 1, ""Pink"": 1, ""Sky Blue"": 2}","{""Sky Blue"": 0.9310344827586207, ""Purple"": 0.0, ""Pink"": 0.5}"
