Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,,"{""Pink"": 1}",{},"{""Pink"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,,"{""Pink"": 2}",{},"{""Pink"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,,"{""Pink"": 3}",{},"{""Pink"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,,"{""Pink"": 4}",{},"{""Pink"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,,"{""Pink"": 5}",{},"{""Pink"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,,"{""Pink"": 6}",{},"{""Pink"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,,"{""Pink"": 7}",{},"{""Pink"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,,"{""Pink"": 8}",{},"{""Pink"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Pink,0.0,Pink,1.0,Pink,Pink,,"{""Pink"": 9}",{},"{""Pink"": 1.0}"
11,Exploit,Lose-Stay,Exploit+Lose-Stay,Pink,1.0,Pink,0.0,Pink,Pink,Pink,"{""Pink"": 9}","{""Pink"": 1}","{""Pink"": 0.9}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 10}","{""Pink"": 1}","{""Pink"": 0.9090909090909091}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 11}","{""Pink"": 1}","{""Pink"": 0.9166666666666666}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 12}","{""Pink"": 1}","{""Pink"": 0.9230769230769231}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 13}","{""Pink"": 1}","{""Pink"": 0.9285714285714286}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 14}","{""Pink"": 1}","{""Pink"": 0.9333333333333333}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Pink,0.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 15}","{""Pink"": 1}","{""Pink"": 0.9375}"
18,Exploit,Lose-Stay,Exploit+Lose-Stay,Pink,1.0,Pink,0.0,Pink,Pink,Pink,"{""Pink"": 15}","{""Pink"": 2}","{""Pink"": 0.8823529411764706}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 16}","{""Pink"": 2}","{""Pink"": 0.8888888888888888}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 17}","{""Pink"": 2}","{""Pink"": 0.8947368421052632}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 18}","{""Pink"": 2}","{""Pink"": 0.9}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 19}","{""Pink"": 2}","{""Pink"": 0.9047619047619048}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 20}","{""Pink"": 2}","{""Pink"": 0.9090909090909091}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Pink,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 21}","{""Pink"": 2}","{""Pink"": 0.9130434782608695}"
25,Explore,Switch-After-Win,Explore+Switch-After-Win,Purple,1.0,Pink,1.0,Pink,Pink,Pink,"{""Pink"": 22}","{""Pink"": 2}","{""Pink"": 0.9166666666666666}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Pink,Purple,Pink,"{""Pink"": 22, ""Purple"": 1}","{""Pink"": 2}","{""Pink"": 0.9166666666666666, ""Purple"": 1.0}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Pink,Purple,Pink,"{""Pink"": 22, ""Purple"": 2}","{""Pink"": 2}","{""Pink"": 0.9166666666666666, ""Purple"": 1.0}"
28,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Pink,Purple,Pink,"{""Pink"": 22, ""Purple"": 3}","{""Pink"": 2}","{""Pink"": 0.9166666666666666, ""Purple"": 1.0}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Pink,Purple,Pink,"{""Pink"": 22, ""Purple"": 4}","{""Pink"": 2}","{""Pink"": 0.9166666666666666, ""Purple"": 1.0}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Pink,Purple,Pink,"{""Pink"": 22, ""Purple"": 5}","{""Pink"": 2}","{""Pink"": 0.9166666666666666, ""Purple"": 1.0}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Pink,Purple,Pink,"{""Pink"": 22, ""Purple"": 6}","{""Pink"": 2}","{""Pink"": 0.9166666666666666, ""Purple"": 1.0}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Pink,Purple,Pink,"{""Pink"": 22, ""Purple"": 7}","{""Pink"": 2}","{""Pink"": 0.9166666666666666, ""Purple"": 1.0}"
33,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Pink,Purple,Pink,"{""Pink"": 22, ""Purple"": 8}","{""Pink"": 2}","{""Pink"": 0.9166666666666666, ""Purple"": 1.0}"
34,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Pink,Purple,Pink,"{""Pink"": 22, ""Purple"": 9}","{""Pink"": 2}","{""Pink"": 0.9166666666666666, ""Purple"": 1.0}"
35,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Pink,Purple,Pink,"{""Pink"": 22, ""Purple"": 10}","{""Pink"": 2}","{""Pink"": 0.9166666666666666, ""Purple"": 1.0}"
36,Exploit,Win-Stay,Exploit+Win-Stay,Purple,1.0,Purple,1.0,Pink,Purple,Pink,"{""Pink"": 22, ""Purple"": 11}","{""Pink"": 2}","{""Pink"": 0.9166666666666666, ""Purple"": 1.0}"
37,Explore,Switch-After-Win,Explore+Switch-After-Win,Black,1.0,Purple,1.0,Pink,Purple,Pink,"{""Pink"": 22, ""Purple"": 12}","{""Pink"": 2}","{""Pink"": 0.9166666666666666, ""Purple"": 1.0}"
38,Explore,Switch-After-Win,Explore+Switch-After-Win,Orange,1.0,Black,1.0,Pink,"Purple, Black",Pink,"{""Pink"": 22, ""Purple"": 12, ""Black"": 1}","{""Pink"": 2}","{""Pink"": 0.9166666666666666, ""Purple"": 1.0, ""Black"": 1.0}"
39,Explore,Switch-After-Win,Explore+Switch-After-Win,Slate,1.0,Orange,1.0,Pink,"Purple, Orange, Black",Pink,"{""Pink"": 22, ""Purple"": 12, ""Black"": 1, ""Orange"": 1}","{""Pink"": 2}","{""Pink"": 0.9166666666666666, ""Purple"": 1.0, ""Black"": 1.0, ""Orange"": 1.0}"
40,Explore,Switch-After-Win,Explore+Switch-After-Win,Indigo,1.0,Slate,1.0,Pink,"Slate, Purple, Orange, Black",Pink,"{""Pink"": 22, ""Purple"": 12, ""Black"": 1, ""Orange"": 1, ""Slate"": 1}","{""Pink"": 2}","{""Pink"": 0.9166666666666666, ""Purple"": 1.0, ""Black"": 1.0, ""Orange"": 1.0, ""Slate"": 1.0}"
