Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Slate,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 1}",{},"{""Slate"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 2}",{},"{""Slate"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 3}",{},"{""Slate"": 1.0}"
5,Explore,Switch-After-Win,Explore+Switch-After-Win,Bright Green,1.0,Slate,1.0,Slate,Slate,,"{""Slate"": 4}",{},"{""Slate"": 1.0}"
6,Exploit,Switch-After-Win,Exploit+Switch-After-Win,Slate,1.0,Bright Green,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 4, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 5, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 6, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 7, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 8, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 9, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 10, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 11, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 12, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 13, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 14, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 15, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 16, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 17, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 18, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 19, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 20, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 21, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 22, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Slate,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 23, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
26,Explore,Switch-After-Win,Explore+Switch-After-Win,Pink,1.0,Slate,1.0,Slate,"Bright Green, Slate",,"{""Slate"": 24, ""Bright Green"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0}"
27,Explore,Switch-After-Win,Explore+Switch-After-Win,Sky Blue,1.0,Pink,1.0,Slate,"Bright Green, Slate, Pink",,"{""Slate"": 24, ""Bright Green"": 1, ""Pink"": 1}",{},"{""Slate"": 1.0, ""Bright Green"": 1.0, ""Pink"": 1.0}"
