Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Black,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 1}",{},"{""Black"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 2}",{},"{""Black"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 3}",{},"{""Black"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 4}",{},"{""Black"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 5}",{},"{""Black"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 6}",{},"{""Black"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 7}",{},"{""Black"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 8}",{},"{""Black"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 9}",{},"{""Black"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 10}",{},"{""Black"": 1.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 11}",{},"{""Black"": 1.0}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 12}",{},"{""Black"": 1.0}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 13}",{},"{""Black"": 1.0}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 14}",{},"{""Black"": 1.0}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 15}",{},"{""Black"": 1.0}"
17,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,,"{""Black"": 16}",{},"{""Black"": 1.0}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Black,0.0,Black,1.0,Black,Black,,"{""Black"": 17}",{},"{""Black"": 1.0}"
19,Exploit,Lose-Stay,Exploit+Lose-Stay,Black,1.0,Black,0.0,Black,Black,Black,"{""Black"": 17}","{""Black"": 1}","{""Black"": 0.9444444444444444}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Black,"{""Black"": 18}","{""Black"": 1}","{""Black"": 0.9473684210526315}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Black,"{""Black"": 19}","{""Black"": 1}","{""Black"": 0.95}"
22,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Black,"{""Black"": 20}","{""Black"": 1}","{""Black"": 0.9523809523809523}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Black,"{""Black"": 21}","{""Black"": 1}","{""Black"": 0.9545454545454546}"
24,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Black,"{""Black"": 22}","{""Black"": 1}","{""Black"": 0.9565217391304348}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Black,"{""Black"": 23}","{""Black"": 1}","{""Black"": 0.9583333333333334}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Black,"{""Black"": 24}","{""Black"": 1}","{""Black"": 0.96}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Black,"{""Black"": 25}","{""Black"": 1}","{""Black"": 0.9615384615384616}"
28,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Black,"{""Black"": 26}","{""Black"": 1}","{""Black"": 0.9629629629629629}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Black,"{""Black"": 27}","{""Black"": 1}","{""Black"": 0.9642857142857143}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Black,"{""Black"": 28}","{""Black"": 1}","{""Black"": 0.9655172413793104}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Black,"{""Black"": 29}","{""Black"": 1}","{""Black"": 0.9666666666666667}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Black,0.0,Black,1.0,Black,Black,Black,"{""Black"": 30}","{""Black"": 1}","{""Black"": 0.967741935483871}"
33,Exploit,Lose-Stay,Exploit+Lose-Stay,Black,1.0,Black,0.0,Black,Black,Black,"{""Black"": 30}","{""Black"": 2}","{""Black"": 0.9375}"
34,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Black,"{""Black"": 31}","{""Black"": 2}","{""Black"": 0.9393939393939394}"
35,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Black,"{""Black"": 32}","{""Black"": 2}","{""Black"": 0.9411764705882353}"
36,Exploit,Win-Stay,Exploit+Win-Stay,Black,1.0,Black,1.0,Black,Black,Black,"{""Black"": 33}","{""Black"": 2}","{""Black"": 0.9428571428571428}"
