age,gender,genderOther,race,raceOther,education,educationOther,country,politicalOrientation,experience,engagement,clearity,interference,interferenceOption,keyFactors,strategy,motivation,followUp,additionalFeedback,playerID,experienceDetails
31,Male,,African,,College,,United States,Slightly Liberal,No,Engaging,Clear,,No,"Communication was not enabled, so it was purely the results, how many failures to successes.","Once I experimented around with some of the candidates, I just kept riding the one with the lowest failure rate and I think that did well.","Monetary incentive, to be honest!",Yes,,01JVXC6GEC8939A025XQQVG1HJ,
23,Female,,Caucasian,,High School,,United States,Slightly Conservative,No,Very Engaging,Very Clear,,No,Successes any how many failures. If there are more failures than successes I would not choose them,I paid attention to how many successes they had compared to failures,It seemed interesting,Yes,,01JVXC7XBE9ASR61RPRWVE5ERF,
25,Female,,Caucasian,,College,,USA,Slightly Conservative,No,Engaging,Very Clear,,No,"Just math, productivity shoulder be based on what % of the time they're succeeding to failing. ",The ratio of success to failures was always how I decided. ,I am conducting research so I love to do other research projects to help people out. ,No,,01JVXC4PARHT6FMXR1M49QCM6S,
36,Male,,African,,Graduate Professional School,,United States,Moderately Liberal,No,Engaging,Clear,,No,Success rate and the total amount of successful performances.,I largely focused on percentage of group success.,I like testing my brain.,Yes,,01JVXC51SFT28Q7E9G7G4MYSZN,
24,Female,,Latin/x,,College,,USA,Extremely Liberal,No,Moderately Engaging,Moderately Clear,,No,"At first the continued success rate of one candidate influenced me, but then seeing that none of the candidates failed given a few chances, my decisions were mostly random or accounting for the basic consistency among the candidates","First I just compulsively picked one candidate. I randomly decided to pick another one and keep picking them, and then I decided to spread my choices out between the remaining candidates to see if any would fail given a few chances.",The payment,Yes,,01JVXC6MBY0G4XF0D8BS261DQJ,
28,Female,,Asian,,College,,USA,Extremely Liberal,No,Very Engaging,Very Clear,,No,consistency ,I was looking at both success and failure. Whoever had the most success that was the one I was picking,learning experience ,Yes,,01JVXC6Y18B46DHSEY7S3NQSBJ,
41,Female,,Caucasian,,Some College,,USA,Moderately Conservative,No,Moderately Engaging,Slightly Clear,,No,Consistency heavily and also the ratio of failure and success.,"I weighed on both success and failure, relying on the ratio of their relationship.","Curiosity and interest, mainly because it was a game version and dealt with actual job experience.",Yes,,01JVXC7CBBKP24XVEFBH7WHZ9Z,
55,Female,,Caucasian,,Some College,,United States,Moderately Liberal,No,Slightly Engaging,Moderately Clear,,No,I'm not sure how to answer that question.,I just picked the candidate that had the most success. ,Monetary compensation.,Yes,No.,01JVXC7NASJQYAVC8CKF6V1EF3,
40,Male,,Caucasian,,Graduate Professional School,,usa,Extremely Conservative,Yes,Engaging,Clear,,No,Mainly consistency and personal experience from earlier rounds. I tried to establish a strategy based on what had worked before and adjusted if results deviated significantly.,I based my decisions on a combination of observing patterns and analyzing trends. I paid close attention to both successes and failures but weighed failures slightly more to avoid repeating mistakes. I also used trial and error during earlier rounds to refine my strategy.,Primarily curiosity and interest in how game theory and decision-making studies are conducted. I also saw it as a learning opportunity to understand human behavior in strategic environments.,Yes,,01JVXC8CGDXK4WDNP8CB6RTC9F,"The study involved decision-making under risk and reward conditions, and participants made choices over several rounds based on hypothetical monetary outcomes."
41,Female,,Other,black,College,,USA,Moderately Conservative,No,Very Engaging,Clear,,No,"If it gave a failure I decided to move on, I tried to have them all move together in a group. ",I just decided to click on the pictures in a random order until it gave failure. ,The amount paid for the study. ,Yes,,01JVXC39FGS30GXDG3APMH9E18,
27,Male,,Caucasian,,Graduate Professional School,,USA,Moderately Conservative,No,Moderately Engaging,Moderately Clear,,No,Consistency and the bonus count for staying consistent.,"Based purely on success. Once the game started and my team started selecting, I followed the successes.",Monetary reward as well as potential to learn something about hiring.,Yes,,01JVXC6CCJ5ZVP3EPBMR0WG146,
