id,Sky Blue,Slate,Purple,Indigo,Amber,Crimson,Pink,Black,Bright Green,Orange,entropy
01JVXC6GEC8939A025XQQVG1HJ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JVXC7XBE9ASR61RPRWVE5ERF,5.0,2.0,10.0,2.0,10.0,10.0,3.0,47.0,10.0,1.0,2.5007829117652873
01JVXC4PARHT6FMXR1M49QCM6S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
01JVXC51SFT28Q7E9G7G4MYSZN,3.0,3.0,3.0,3.0,73.0,3.0,3.0,3.0,3.0,3.0,1.6973443865976
01JVXC6MBY0G4XF0D8BS261DQJ,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.321928094887362
01JVXC6Y18B46DHSEY7S3NQSBJ,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JVXC7CBBKP24XVEFBH7WHZ9Z,11.0,42.0,3.0,3.0,3.0,3.0,15.0,4.0,14.0,2.0,2.5892866156416616
01JVXC7NASJQYAVC8CKF6V1EF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
01JVXC39FGS30GXDG3APMH9E18,0.0,19.0,5.0,19.0,0.0,19.0,19.0,0.0,0.0,19.0,2.4922286472589503
01JVXC6CCJ5ZVP3EPBMR0WG146,1.0,1.0,91.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7217630671939108
average,13.0,7.7,12.2,13.8,9.7,4.6,5.1,6.5,13.8,13.6,1.3323333723344772
