roundID,01JVXC39FGS30GXDG3APMH9E18,01JVXC51SFT28Q7E9G7G4MYSZN,01JVXC7XBE9ASR61RPRWVE5ERF,01JVXC7NASJQYAVC8CKF6V1EF3,01JVXC7CBBKP24XVEFBH7WHZ9Z,01JVXC6MBY0G4XF0D8BS261DQJ,01JVXC6CCJ5ZVP3EPBMR0WG146,01JVXC6GEC8939A025XQQVG1HJ,01JVXC6Y18B46DHSEY7S3NQSBJ,01JVXC4PARHT6FMXR1M49QCM6S
01JVXC8R2WXMSHVY7688RKMM03,,,,,,,,,,
01JVXC8R3BHDBGPP3YKBKQF710,Crimson,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3CQ5Y1AH6JC8NTA90H,Crimson,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3CQ5Y1AH6JCSAJJQ9G,Purple,Amber,Black,Orange,Slate,Pink,Bright Green,Purple,Indigo,Bright Green
01JVXC8R3BHDBGPP3YKZHSDA45,Black,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3CQ5Y1AH6JD92B1JXG,Orange,Amber,Black,Orange,Bright Green,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3DBEEYCP8541MDAZJW,Sky Blue,Amber,Black,Orange,Slate,Pink,Purple,Pink,Indigo,Bright Green
01JVXC8R3DBEEYCP855HDMSWG6,Indigo,Amber,Black,Orange,Slate,Pink,Purple,Pink,Indigo,Bright Green
01JVXC8R3E73T4ZDYZ6RCCZY9E,Slate,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3E73T4ZDYZ5YTG77AM,Pink,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3F8B9Q35CDSD732YTN,Pink,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3E73T4ZDYZ7A8PMHRX,Black,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3F8B9Q35CDT1XFC0W7,Black,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3G39YFMY4Z21PE4DJ8,Black,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3G39YFMY4Z2JDWQBHY,Amber,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3DBEEYCP854S86MXA5,Bright Green,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3G39YFMY4Z38W2PAVD,Indigo,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3G39YFMY4Z3TTV89PS,Slate,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3H4XX3NFDH4TXBFMMF,Orange,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3DBEEYCP8565WVN034,Sky Blue,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3KRZGG0AXEAQTX538V,Purple,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3H4XX3NFDH5DMKN9G7,Amber,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3H4XX3NFDH5Z31D118,Bright Green,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3KRZGG0AXEB8VF1Z21,Crimson,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3M8GM452PFCPHM9E11,Bright Green,Amber,Black,Orange,Slate,Pink,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3M8GM452PFDDJNC5GB,Amber,Amber,Black,Orange,Slate,Purple,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3NR5VQ2TJJBM6WFHAY,Purple,Amber,Black,Orange,Pink,Purple,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3PF6S5HSFQENCYQZNK,Sky Blue,Amber,Black,Orange,Sky Blue,Purple,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3NR5VQ2TJJC8VVTHH0,Black,Amber,Black,Orange,Slate,Purple,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3QJ1QHX1BJQTCM3MT2,Orange,Amber,Black,Orange,Slate,Purple,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3PF6S5HSFQF6JDYNKS,Slate,Amber,Black,Orange,Slate,Purple,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3QJ1QHX1BJREK3FJMJ,Indigo,Amber,Black,Orange,Slate,Purple,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3R0J8CW11CEW2M6GNM,Pink,Amber,Black,Orange,Slate,Purple,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3R0J8CW11CFHGXT1XN,Crimson,Amber,Black,Orange,Slate,Purple,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3R0J8CW11CG5Z1FECV,Pink,Amber,Black,Orange,Slate,Purple,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3S17B4QVXNMJG63YVV,Indigo,Amber,Black,Orange,Slate,Purple,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3S17B4QVXNKZF15GRX,Bright Green,Amber,Black,Orange,Slate,Purple,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3S17B4QVXNN79FHPH2,Slate,Amber,Black,Orange,Bright Green,Black,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3TF7BVST5PJ9TB4STD,Orange,Amber,Black,Orange,Bright Green,Orange,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3TF7BVST5PHMDP0SRT,Purple,Amber,Black,Orange,Bright Green,Slate,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3V2XKNHXTAHK11XMVD,Sky Blue,Amber,Black,Orange,Bright Green,Indigo,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3V2XKNHXTAJF8E3BZ3,Purple,Amber,Black,Orange,Bright Green,Sky Blue,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3V2XKNHXTAJVKG57KH,Crimson,Amber,Black,Orange,Pink,Amber,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3WSAV2ESPTWYPD8XCT,Pink,Amber,Black,Orange,Pink,Bright Green,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3WSAV2ESPTXDY6VTQH,Indigo,Amber,Black,Orange,Pink,Crimson,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3X6396RB7KMD62FJNQ,Slate,Amber,Black,Orange,Bright Green,Black,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3Y0WMY26BZ5TRXACP4,Orange,Amber,Black,Orange,Sky Blue,Slate,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3X6396RB7KN4N35TB2,Crimson,Amber,Black,Orange,Sky Blue,Sky Blue,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3ZD830YWDRPXNF6HNX,Pink,Amber,Black,Orange,Pink,Bright Green,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3Y0WMY26BZ6HGFX27J,Indigo,Amber,Black,Orange,Sky Blue,Crimson,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R3ZD830YWDRPBG62NSP,Slate,Amber,Black,Orange,Black,Amber,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R40DGCMSS17G8HP845H,Orange,Amber,Black,Orange,Pink,Indigo,Purple,Sky Blue,Indigo,Bright Green
01JVXC8R43N7KSJZKJBH6NZ35B,,,,,,,,,,
