Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
0,N/A,N/A,N/A+N/A,,,,,,,,{},{},{}
1,Explore,Switch-After-Win,Explore+Switch-After-Win,Crimson,1.0,,,,,,{},{},{}
2,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 1}",{},"{""Crimson"": 1.0}"
3,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 2}",{},"{""Crimson"": 1.0}"
4,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 3}",{},"{""Crimson"": 1.0}"
5,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 4}",{},"{""Crimson"": 1.0}"
6,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 5}",{},"{""Crimson"": 1.0}"
7,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 6}",{},"{""Crimson"": 1.0}"
8,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 7}",{},"{""Crimson"": 1.0}"
9,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 8}",{},"{""Crimson"": 1.0}"
10,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 9}",{},"{""Crimson"": 1.0}"
11,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 10}",{},"{""Crimson"": 1.0}"
12,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 11}",{},"{""Crimson"": 1.0}"
13,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 12}",{},"{""Crimson"": 1.0}"
14,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 13}",{},"{""Crimson"": 1.0}"
15,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 14}",{},"{""Crimson"": 1.0}"
16,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,0.0,Crimson,1.0,Crimson,Crimson,,"{""Crimson"": 15}",{},"{""Crimson"": 1.0}"
17,Exploit,Lose-Stay,Exploit+Lose-Stay,Crimson,1.0,Crimson,0.0,Crimson,Crimson,Crimson,"{""Crimson"": 15}","{""Crimson"": 1}","{""Crimson"": 0.9375}"
18,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 16}","{""Crimson"": 1}","{""Crimson"": 0.9411764705882353}"
19,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 17}","{""Crimson"": 1}","{""Crimson"": 0.9444444444444444}"
20,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,0.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 18}","{""Crimson"": 1}","{""Crimson"": 0.9473684210526315}"
21,Exploit,Lose-Stay,Exploit+Lose-Stay,Crimson,0.0,Crimson,0.0,Crimson,Crimson,Crimson,"{""Crimson"": 18}","{""Crimson"": 2}","{""Crimson"": 0.9}"
22,Exploit,Lose-Stay,Exploit+Lose-Stay,Crimson,1.0,Crimson,0.0,Crimson,Crimson,Crimson,"{""Crimson"": 18}","{""Crimson"": 3}","{""Crimson"": 0.8571428571428571}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,0.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 19}","{""Crimson"": 3}","{""Crimson"": 0.8636363636363636}"
24,Exploit,Lose-Stay,Exploit+Lose-Stay,Crimson,1.0,Crimson,0.0,Crimson,Crimson,Crimson,"{""Crimson"": 19}","{""Crimson"": 4}","{""Crimson"": 0.8260869565217391}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 20}","{""Crimson"": 4}","{""Crimson"": 0.8333333333333334}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 21}","{""Crimson"": 4}","{""Crimson"": 0.84}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 22}","{""Crimson"": 4}","{""Crimson"": 0.8461538461538461}"
28,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 23}","{""Crimson"": 4}","{""Crimson"": 0.8518518518518519}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 24}","{""Crimson"": 4}","{""Crimson"": 0.8571428571428571}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 25}","{""Crimson"": 4}","{""Crimson"": 0.8620689655172413}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 26}","{""Crimson"": 4}","{""Crimson"": 0.8666666666666667}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 27}","{""Crimson"": 4}","{""Crimson"": 0.8709677419354839}"
33,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 28}","{""Crimson"": 4}","{""Crimson"": 0.875}"
34,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 29}","{""Crimson"": 4}","{""Crimson"": 0.8787878787878788}"
35,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 30}","{""Crimson"": 4}","{""Crimson"": 0.8823529411764706}"
36,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,0.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 31}","{""Crimson"": 4}","{""Crimson"": 0.8857142857142857}"
37,Exploit,Lose-Stay,Exploit+Lose-Stay,Crimson,1.0,Crimson,0.0,Crimson,Crimson,Crimson,"{""Crimson"": 31}","{""Crimson"": 5}","{""Crimson"": 0.8611111111111112}"
38,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 32}","{""Crimson"": 5}","{""Crimson"": 0.8648648648648649}"
39,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 33}","{""Crimson"": 5}","{""Crimson"": 0.868421052631579}"
40,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 34}","{""Crimson"": 5}","{""Crimson"": 0.8717948717948718}"
41,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 35}","{""Crimson"": 5}","{""Crimson"": 0.875}"
42,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 36}","{""Crimson"": 5}","{""Crimson"": 0.8780487804878049}"
43,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 37}","{""Crimson"": 5}","{""Crimson"": 0.8809523809523809}"
44,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 38}","{""Crimson"": 5}","{""Crimson"": 0.8837209302325582}"
45,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 39}","{""Crimson"": 5}","{""Crimson"": 0.8863636363636364}"
46,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 40}","{""Crimson"": 5}","{""Crimson"": 0.8888888888888888}"
47,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,1.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 41}","{""Crimson"": 5}","{""Crimson"": 0.8913043478260869}"
48,Exploit,Win-Stay,Exploit+Win-Stay,Crimson,0.0,Crimson,1.0,Crimson,Crimson,Crimson,"{""Crimson"": 42}","{""Crimson"": 5}","{""Crimson"": 0.8936170212765957}"
